sna, tot, sbi, lat, lng, bemp, act, sno, sarea, mday, ar, sareaen, snaen, aren 
 中央大學圖書館, 60, 21, 24.968128, 121.194666, 38, 1, 2001, 中壢區, 20200817231731, 中大路300號(中央大學校內圖書館前), Zhongli Dist., National Central University Library, No.300, Zhongda Rd. 
 中壢高中, 52, 22, 24.960815, 121.212038, 26, 1, 2002, 中壢區, 20200817231719, 中央西路二段215號對面人行道, Zhongli Dist., Jhungli Senior High School, No.215, Sec. 2, Zhongyang W. Rd. (opposite) 
 中正公園(中美路), 54, 21, 24.959113, 121.224805, 27, 1, 2003, 中壢區, 20200817231636, 中美路101-113號對面人行道, Zhongli Dist., Zhongzheng Park (Zhongmei Rd.), No.101 to No.113, Zhongmei Rd. (opposite) 
 中壢火車站(前站), 114, 17, 24.953874, 121.2256, 93, 1, 2004, 中壢區, 20200817231715, 中和路139號對面圓環, Zhongli Dist., TRA Zhongli Station (Front), No.139, Zhonghe Rd. (opposite) 
 中原大學, 82, 33, 24.957943, 121.240201, 46, 1, 2005, 中壢區, 20200817231732, 中北路200號(中原大學校內懷恩樓後方空地), Zhongli Dist., Chung Yuan Christian University, No.200, Zhongbei Rd. 
 銀河廣場, 58, 30, 24.961716, 121.224241, 27, 1, 2006, 中壢區, 20200817231739, 九和一街48號對面銀河廣場人行道, Zhongli Dist., Galaxy Square, No.48, Jiuhe 1st St. (opposite) 
 中壢區公所, 40, 20, 24.965697, 121.224696, 19, 1, 2007, 中壢區, 20200817231718, 環北路380號旁人行道, Zhongli Dist., Civil Affairs Office of Zhongli District, No.380, Huanbei Rd. 
 光明公園, 96, 2, 24.962812, 121.217385, 92, 1, 2008, 中壢區, 20200817231722, 民權路322號對面停車場, Zhongli Dist., Guangming Park, No.322, Minquan Rd. (opposite) 
 翠堤橋, 46, 17, 24.953265, 121.215878, 28, 1, 2009, 中壢區, 20200817231737, 義民路105號旁人行道, Zhongli Dist., Cuiti Bridge, No.105, Yimin Rd. 
 中壢國小, 46, 9, 24.954097, 121.220349, 36, 1, 2010, 中壢區, 20200817231724, 康樂路61號旁公園, Zhongli Dist., Chungli Elementary School, No.61, Kangle Rd. (opposite) 
