鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
中正區,房地(土地+建物),重慶南路三段27巷1~30號,80.3,其他,,,1090224,土地2建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,185.59,5,2,3,有,無,38000000,204752,,0.0,0,其他增建;,RPWOMLSKQHPFFAA66DA,185.59,0.0,0.0,無
大同區,土地,橋北段一小段571~600地號,5.17,其他,,,1090807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,150000,29014,,0.0,0,土地增值稅由買方繳納親友、員工、共有人或其他特殊關係間之交易;,RPXOMLSKQHPFFBA86DA,0.0,0.0,0.0,無
萬華區,房地(土地+建物),環河南路二段149巷1~30號,7.68,其他,,,1090721,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0690729,50.75,1,1,1,有,有,7000000,137931,,0.0,0,,RPOPMLSKQHPFFBA68DA,38.18,0.0,0.0,有
大同區,房地(土地+建物),環河北路二段161巷1~30號,31.93,其他,,,1090621,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731120,114.98,3,2,2,有,無,12900000,112193,,0.0,0,其他增建;,RPPPMLSKQHPFFBA78DA,96.17,0.0,10.23,無
萬華區,房地(土地+建物),康定路46巷1~30號,3.6,其他,,,1090803,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0601006,20.57,1,0,1,有,有,2500000,121536,,0.0,0,,RPWNMLOJQHPFFBA78DA,16.71,0.0,0.0,有
大同區,房地(土地+建物),西寧北路61~90號,16.65,其他,,,1090721,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0711111,87.14,2,2,1,有,無,10740000,123250,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPVPMLTKQHPFFBA86DA,62.67,0.0,19.3,有
內湖區,房地(土地+建物),新明路460巷17弄1~30號,24.5,其他,,,1090720,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650529,86.03,4,1,1,有,無,11500000,133674,,0.0,0,急買急賣;,RPQWMLKLPHPFFCA88DA,86.03,0.0,0.0,無
中山區,房地(土地+建物),長春路301~330號,18.25,其他,,,1090706,土地2建物1車位0,八層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0820309,261.37,1,1,0,有,有,51500000,197039,,0.0,0,陽台外推;,RPWOMLOLPHPFFCA09DA,150.0,3.75,20.85,有
內湖區,房地(土地+建物),星雲街168巷1~30號,19.23,其他,,,1090721,土地1建物1車位0,六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841116,81.27,3,2,2,有,有,18000000,221484,,0.0,0,陽台外推;,RPSNMLOJQHPFFCA48DA,61.14,1.83,6.22,有
