編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPXOMLLLPHPFFCA98CC,22,81.16,住家用,鋼筋混凝土造,87年5月6日,九層,
RPPPMLLLPHPFFCA28CC,31,58.99,住家用,鋼筋混凝土造,78年9月20日,五層,
RPPPMLLLPHPFFCA28CC,31,1.46,共有部分,鋼筋混凝土造,78年9月20日,五層,
RPXOMLLLPHPFFCA98CC,22,14.76,共有部分,鋼筋混凝土造,87年5月6日,十層,
RPXOMLLLPHPFFCA98CC,22,28.16,共有部分,鋼筋混凝土造,87年5月6日,十層,
RPTNMLLLPHPFFBA38CC,11,55.15,住家用,見其他登記事項,98年7月24日,十八層,
RPTNMLLLPHPFFBA38CC,11,16.48,共有部分,見其他登記事項,98年7月24日,十八層,
RPTNMLLLPHPFFBA38CC,11,.12,共有部分,見其他登記事項,98年7月24日,十八層,
RPTNMLLLPHPFFBA38CC,11,8.16,共有部分,見其他登記事項,98年7月24日,十八層,
RPTQMLLLPHPFFCA78CC,11,777.52,見其他登記事項,鋼筋混凝土造,98年3月27日,七層,
RPTQMLLLPHPFFCA78CC,11,644.67,共有部分,鋼筋混凝土造,98年3月27日,七層,
RPTQMLLLPHPFFCA78CC,11,31.24,共有部分,鋼筋混凝土造,98年3月27日,七層,
RPOTMLLLPHPFFCA58CC,20,99.55,商業用,鋼筋混凝土造,89年5月1日,十二層,
RPOTMLLLPHPFFCA58CC,20,16.69,共有部分,鋼筋混凝土造,89年5月1日,十二層,
RPOTMLLLPHPFFCA58CC,20,20.08,共有部分,鋼筋混凝土造,89年5月1日,十二層,
RPOPMLLLPHPFFCA18CC,31,58.99,住家用,鋼筋混凝土造,78年9月20日,五層,
RPOPMLLLPHPFFCA18CC,31,1.46,共有部分,鋼筋混凝土造,78年9月20日,五層,
RPQSMLLLPHPFFCA68CC,22,178.84,工業用,鋼筋混凝土造,87年10月29日,十層,
RPVQMLLLPHPFFCA98CC,34,841.18,商業用,鋼筋混凝土造,75年4月12日,十六層,
RPQSMLLLPHPFFCA68CC,22,44.45,共有部分,鋼筋混凝土造,87年10月29日,十層,
RPQSMLLLPHPFFCA68CC,22,27.21,共有部分,鋼筋混凝土造,87年10月29日,十層,
RPURMLLLPHPFFCA98CC,31,115.25,商業用,鋼筋混凝土造,78年1月23日,八層,
RPURMLLLPHPFFCA98CC,31,7.48,共有部分,鋼筋混凝土造,78年1月23日,八層,
RPROMLLLPHPFFBA28CC,,846.88,,鋼筋混凝土造,,十一層,
RPQPMLLLPHPFFDA48CC,34,107.28,商業用,鋼筋混凝土造,75年9月23日,十四層,
RPQPMLLLPHPFFDA48CC,34,23.10,共有部分,鋼筋混凝土造,75年9月23日,十四層,
RPTOMLLLPHPFFBA48CC,9,.07,見其他登記事項,鋼筋混凝土造,100年11月29日,九層,
RPTOMLLLPHPFFBA48CC,9,5.12,見其他登記事項,鋼筋混凝土造,100年11月29日,九層,
