鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
東區,房地(土地+建物),振興路437巷59弄151~180號,97.0,其他,,,1090725,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0670303,111.83,4,2,2,有,無,9300000,83162,,0.0,0,其他增建;,RPUWMLSLPHPFFAB37DA,111.83,0.0,0.0,無
南區,房地(土地+建物)+車位,學府路151~180號,13.85,其他,,,1090724,土地3建物1車位1,一層，二層，騎樓,十五層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0831228,142.17000000000002,2,1,1,有,有,8400000,59084,坡道機械,0.0,0,,RPSPMLTLPHPFFAB56DA,94.03,0.0,0.0,有
東區,房地(土地+建物)+車位,東光園路601~630號,15.19,其他,,,1090723,土地2建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081028,123.17,2,1,2,有,有,8820000,71608,坡道平面,33.49,0,,RPSPMLNJQHPFFAB48DA,52.36,7.47,0.0,有
西區,房地(土地+建物)+車位,梅川西路二段1~30號,9.05,其他,,,1090801,土地1建物1車位1,十六層，十七層,二十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0941223,102.47999999999999,3,2,2,有,有,6600000,64403,升降機械,8.27,0,,RPSNMLTJQHPFFAB88DA,58.44,11.16,0.0,有
中區,房地(土地+建物),民族路181~210號,13.28,其他,,,1090812,土地1建物2車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820312,70.88,2,2,2,有,無,4000000,56433,,0.0,0,陽台外推;,RPVNMLMKQHPFFAB58DA,44.82,8.64,0.0,有
南區,房地(土地+建物),南和路142巷1~30號,107.0,其他,,,1090722,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0650802,108.88,4,2,2,有,無,12500000,114805,,0.0,0,,RPWNMLNKQHPFFAB78DA,108.88,0.0,0.0,無
南區,房地(土地+建物),工學北路61~90號,3.42,其他,,,1090805,土地1建物1車位0,十三層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0850506,56.870000000000005,1,1,1,有,有,2850000,50114,,0.0,0,,RPRPMLNKQHPFFAB48DA,29.31,9.12,0.0,有
西區,房地(土地+建物),五權一街61~90號,280.0,其他,,,1090115,土地3建物1車位0,全,二層,透天厝,住家用,加強磚造,0620705,150.75,4,2,2,有,無,46000000,305141,,0.0,0,,RPQPMLRKQHPFFAB78DA,150.75,0.0,0.0,無
西區,房地(土地+建物)+車位,英才路470巷1~30號,5.16,其他,,,1090809,土地1建物1車位1,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830606,53.050000000000004,1,0,1,有,有,3500000,65975,升降平面,0.0,0,含仲介費;,RPQNMLSKQHPFFAB68DA,15.6,4.18,0.0,有
南區,房地(土地+建物)+車位,信義南街61~90號,18.67,其他,,,1090718,土地3建物1車位1,七層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0851005,134.57,3,2,2,有,有,7330000,54470,坡道平面,0.0,0,,RPVNMLSKQHPFFAB56DA,86.8,14.0,0.0,有
西區,房地(土地+建物),自治街211~240號,24.66,其他,,,1090731,土地5建物1車位0,四層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0721129,100.23,3,2,2,有,無,3300000,32924,,0.0,0,,RPWNMLSKQHPFFAB66DA,94.35,5.88,0.0,無
西區,房地(土地+建物)+車位,向上路一段289巷1~30號,13.22,其他,,,1090726,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821124,81.5,1,1,1,有,有,4800000,58896,坡道機械,0.0,0,,RPOOMLSKQHPFFAB58DA,39.53,8.1,0.0,有
西區,房地(土地+建物),向上南路一段91~120號,27.35,其他,,,1090630,土地4建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731030,98.7,3,2,2,有,無,3960000,40122,,0.0,0,,RPPOMLSKQHPFFAB68DA,82.33,10.11,0.0,無
東區,房地(土地+建物),和平街228巷17弄1~30號,18.57,其他,,,1090716,土地2建物1車位0,一層，二層,四層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,,46.42,1,0,1,有,無,2200000,47393,,0.0,0,,RPTOMLSKQHPFFAB09DA,46.42,0.0,0.0,無
