編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPUWMLSLPHPFFAB37DA,旱溪段,97.00,都市：其他,全筆移轉
RPSPMLNJQHPFFAB48DA,旱溪段,12.31,都市：其他,持分移轉
RPSPMLNJQHPFFAB48DA,旱溪段,2.88,都市：其他,持分移轉
RPQPMLRKQHPFFAB78DA,土庫段,195.00,都市：其他,全筆移轉
RPQPMLRKQHPFFAB78DA,土庫段,34.00,非都市： ; 非都市編定：,全筆移轉
RPQPMLRKQHPFFAB78DA,土庫段,51.00,非都市： ; 非都市編定：,全筆移轉
RPVNMLMKQHPFFAB58DA,仁愛段二小段,3.32,都市：其他,持分移轉
RPVNMLMKQHPFFAB58DA,仁愛段二小段,3.32,都市：其他,持分移轉
RPVNMLMKQHPFFAB58DA,仁愛段二小段,3.32,都市：其他,持分移轉
RPVNMLMKQHPFFAB58DA,仁愛段二小段,3.32,都市：其他,持分移轉
RPRPMLNKQHPFFAB48DA,下橋子頭段,3.42,都市：其他,持分移轉
RPSPMLTLPHPFFAB56DA,萬安段九小段,9.44,都市：其他,持分移轉
RPSPMLTLPHPFFAB56DA,正義段九小段,.70,都市：其他,持分移轉
RPSPMLTLPHPFFAB56DA,頂橋子頭段,3.72,都市：其他,持分移轉
RPWNMLNKQHPFFAB78DA,下橋子頭段,97.00,都市：其他,全筆移轉
RPWNMLNKQHPFFAB78DA,下橋子頭段,10.00,都市：其他,全筆移轉
RPQNMLSKQHPFFAB68DA,後子段,5.16,都市：其他,持分移轉
RPSNMLTJQHPFFAB88DA,後子段,9.05,都市：其他,持分移轉
RPVNMLSKQHPFFAB56DA,萬安段九小段,4.83,都市：其他,持分移轉
RPVNMLSKQHPFFAB56DA,信義段九小段,.92,都市：其他,持分移轉
RPVNMLSKQHPFFAB56DA,頂橋子頭段,12.91,都市：其他,持分移轉
RPOOMLSKQHPFFAB58DA,土庫段,13.22,都市：其他,持分移轉
RPPOMLSKQHPFFAB68DA,土庫段,1.24,都市：其他,持分移轉
RPPOMLSKQHPFFAB68DA,土庫段,9.49,都市：其他,持分移轉
RPPOMLSKQHPFFAB68DA,土庫段,9.39,都市：其他,持分移轉
RPPOMLSKQHPFFAB68DA,土庫段,7.22,都市：其他,持分移轉
RPWNMLSKQHPFFAB66DA,後子段,.64,都市：其他,持分移轉
RPWNMLSKQHPFFAB66DA,後子段,21.16,都市：其他,持分移轉
RPWNMLSKQHPFFAB66DA,後子段,.37,都市：其他,持分移轉
RPWNMLSKQHPFFAB66DA,後子段,.28,都市：其他,持分移轉
RPWNMLSKQHPFFAB66DA,後子段,2.21,都市：其他,持分移轉
RPPUMLPKPHPFFBB98DA,大昌段,394.41,都市：其他,全筆移轉
RPPUMLPKPHPFFBB98DA,大昌段,39.54,非都市： ; 非都市編定：,持分移轉
RPPUMLPKPHPFFBB98DA,大昌段,911.37,都市：其他,全筆移轉
RPPUMLPKPHPFFBB98DA,大昌段,10.85,非都市： ; 非都市編定：,持分移轉
RPPUMLPKPHPFFBB98DA,大昌段,35.38,非都市： ; 非都市編定：,持分移轉
RPXSMLPKPHPFFBB96DA,邱厝子段,7.85,都市：其他,持分移轉
RPUPMLSKQHPFFAB66DA,尚武段,38.28,都市：其他,持分移轉
RPVPMLTKQHPFFAB86DA,正義段七小段,6.34,都市：其他,持分移轉
RPVPMLTKQHPFFAB86DA,正義段七小段,11.92,都市：其他,持分移轉
RPTOMLSKQHPFFAB09DA,花園段六小段,5.48,都市：其他,持分移轉
RPTOMLSKQHPFFAB09DA,花園段六小段,13.09,都市：其他,持分移轉
RPRPMLTKQHPFFAB09DA,番婆段,9.02,都市：其他,持分移轉
RPRPMLTKQHPFFAB09DA,番婆段,.05,非都市： ; 非都市編定：,持分移轉
RPSPMLTKQHPFFAB56DA,番婆段,72.00,都市：其他,全筆移轉
RPWNMLSLPHPFFBB76DA,同榮段,24.33,都市：其他,持分移轉
RPQVMLMLPHPFFBB98DA,北屯段,6.84,都市：其他,持分移轉
RPWNMLPJQHPFFBB98DA,景美段,19.67,都市：其他,持分移轉
RPTTMLRLPHPFFBB96DA,東峰段,9.24,都市：其他,持分移轉
RPPTMLRJQHPFFBB09DA,錦村段,71.00,都市：其他,全筆移轉
RPPTMLRJQHPFFBB09DA,錦村段,3.00,都市：其他,全筆移轉
RPXOMLPJQHPFFBB56DA,仁美段,67.00,都市：其他,全筆移轉
RPSRNLLKQHPFFBB78DA,景美段,13.67,都市：其他,持分移轉
RPSRNLLKQHPFFBB78DA,景美段,.40,都市：其他,持分移轉
RPSRNLLKQHPFFBB78DA,建功段,14.85,都市：其他,持分移轉
RPTNMLNKQHPFFBB58DA,北屯段,35.00,都市：其他,全筆移轉
RPTNMLNKQHPFFBB58DA,北屯段,.60,都市：其他,持分移轉
RPTNMLNKQHPFFBB58DA,北屯段,64.00,都市：其他,全筆移轉
RPTNMLNKQHPFFBB58DA,北屯段,7.00,都市：其他,全筆移轉
RPTNMLNKQHPFFBB58DA,北屯段,4.00,都市：其他,全筆移轉
RPSUNLLKQHPFFBB09DA,太順段,21.77,都市：其他,持分移轉
RPOQMLMKQHPFFBB28DA,景美段,27.31,都市：其他,持分移轉
RPXQMLKMPHPFFBB09DA,北屯段,6.13,都市：其他,持分移轉
RPXQMLKMPHPFFBB09DA,北屯段,6.13,都市：其他,持分移轉
RPUNMLRKQHPFFBB09DA,溝背段,142.67,都市：其他,全筆移轉
RPWPMLNKQHPFFBB09DA,錦村段,.20,都市：其他,持分移轉
RPWPMLNKQHPFFBB09DA,錦村段,.22,都市：其他,持分移轉
RPWPMLNKQHPFFBB09DA,錦村段,13.95,都市：其他,持分移轉
RPWPMLNKQHPFFBB09DA,錦村段,15.22,都市：其他,持分移轉
RPXQMLNKQHPFFBB66DA,東信段,10.37,都市：其他,持分移轉
RPPQMLNKQHPFFBB48DA,錦村段,4.33,都市：其他,持分移轉
RPPQMLNKQHPFFBB48DA,錦村段,6.84,都市：其他,持分移轉
RPTQMLNKQHPFFBB88DA,陳平段,32.13,都市：其他,持分移轉
RPPRMLRKQHPFFBB98DA,溝背段,52.48,都市：其他,持分移轉
RPTQMLRKQHPFFBB66DA,松茂段,17.25,都市：其他,持分移轉
RPRNMLQKQHPFFBB68DA,賴厝82bb段,5.24,都市：其他,持分移轉
RPPQMLSKQHPFFBB98DA,錦村段,11.00,都市：其他,全筆移轉
RPPSMLRKQHPFFBB09DA,景美段,12.11,都市：其他,持分移轉
RPPSMLRKQHPFFBB09DA,景美段,13.43,都市：其他,持分移轉
RPQRMLRKQHPFFBB09DA,東峰段,5.26,都市：其他,持分移轉
RPTOMLSKQHPFFBB56DA,錦村段,20.68,都市：其他,持分移轉
RPTOMLSKQHPFFBB56DA,錦村段,1.31,都市：其他,持分移轉
RPOSMLRKQHPFFBB98DA,景美段,21.05,都市：其他,持分移轉
RPUOMLSKQHPFFBB66DA,乾溝子段,14.30,都市：其他,持分移轉
RPUSMLSKQHPFFBB07DA,中清段,20.00,都市：其他,持分移轉
RPXOMLSKQHPFFBB96DA,東新段,8.47,都市：其他,持分移轉
RPPNMLTKQHPFFBB78DA,錦村段,13.03,都市：其他,持分移轉
RPUNMLTKQHPFFBB66DA,東新段,770.00,都市：其他,全筆移轉
RPUQMLSKQHPFFBB86DA,昌平段,15.29,都市：其他,持分移轉
RPTNMLTKQHPFFBB56DA,長安段,14.62,都市：其他,持分移轉
RPROMLTKQHPFFBB09DA,文正段,3.16,都市：其他,持分移轉
RPXOMLTKQHPFFBB07DA,太順段,20.23,都市：其他,持分移轉
RPVOMLPKPHPFFCB09DA,龍富段,1065.82,都市：其他,全筆移轉
RPWQMLTKQHPFFBB17DA,錦村段,88.00,都市：其他,全筆移轉
RPWPMLTKQHPFFBB07DA,中德段,83.00,都市：其他,全筆移轉
RPQPMLTKQHPFFBB09DA,松觀段,104.00,都市：其他,全筆移轉
RPTPMLTKQHPFFBB76DA,水源段,2.74,都市：其他,持分移轉
RPSQMLTKQHPFFBB76DA,東峰段,9.01,都市：其他,持分移轉
RPOUMLMLPHPFFCB78DA,,412.75,都市：住,全筆移轉
RPPNMLLJQHPFFCB97DA,楓樹段,88.00,都市：其他,全筆移轉
RPPNMLLJQHPFFCB97DA,楓樹段,80.00,都市：其他,全筆移轉
RPPNMLLJQHPFFCB97DA,楓樹段,90.00,都市：其他,全筆移轉
