鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北屯區,房地(土地+建物)+車位,竹興段91~120地號,6324.26,住,,,1090130,土地1建物1車位1,一層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,153.27,0,0,0,無,無,17700000,132025,坡道平面,29.43,1350000,,RPXPMLLLPHPFFBB98CB
北屯區,房地(土地+建物)+車位,竹興段91~120地號,6324.26,住,,,1090505,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.84,3,2,2,有,無,11400000,81542,坡道平面,29.43,1500000,,RPRQMLLLPHPFFBB48CB
北屯區,房地(土地+建物)+車位,竹興段91~120地號,6324.26,住,,,1090608,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.06,3,2,2,有,無,10760000,76327,坡道平面,29.43,1400000,,RPSRMLLLPHPFFBB68CB
北屯區,房地(土地+建物)+車位,竹興段91~120地號,6324.26,住,,,1090106,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.06,2,2,2,有,無,11200000,79915,坡道平面,29.43,1400000,,RPTRMLLLPHPFFBB78CB
北屯區,房地(土地+建物)+車位,竹興段91~120地號,6324.26,住,,,1090601,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.06,3,2,2,有,無,10680000,76490,坡道平面,29.43,1300000,,RPWRMLLLPHPFFBB09CB
北屯區,房地(土地+建物)+車位,竹興段91~120地號,6324.26,住,,,1090111,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.06,3,2,2,有,無,11100000,79507,坡道平面,29.43,1350000,,RPPSMLLLPHPFFBB48CB
北屯區,房地(土地+建物)+車位,竹興段91~120地號,6324.26,住,,,1090623,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.84,3,2,2,有,無,10300000,73717,坡道平面,29.43,1350000,,RPTSMLLLPHPFFBB88CB
北屯區,房地(土地+建物)+車位,竹興段91~120地號,6324.26,住,,,1090608,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.84,3,2,2,有,無,10810000,77506,坡道平面,29.43,1400000,,RPVSMLLLPHPFFBB09CB
北屯區,房地(土地+建物)+車位,竹興段91~120地號,6324.26,住,,,1090614,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.84,3,2,2,有,無,10920000,78412,坡道平面,29.43,1400000,,RPOTMLLLPHPFFBB48CB
北屯區,房地(土地+建物)+車位,竹興段91~120地號,6324.26,住,,,1090106,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.06,3,2,2,有,無,10380000,73636,坡道平面,29.43,1350000,,RPQTMLLLPHPFFBB68CB
