編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPSRMLLLPHPFFBB68CB,竹興段,6324.26,都市：住,全筆移轉
RPRQMLLLPHPFFBB48CB,竹興段,6324.26,都市：住,全筆移轉
RPXPMLLLPHPFFBB98CB,竹興段,6324.26,都市：住,全筆移轉
RPTSMLLLPHPFFBB88CB,竹興段,6324.26,都市：住,全筆移轉
RPWRMLLLPHPFFBB09CB,竹興段,6324.26,都市：住,全筆移轉
RPQTMLLLPHPFFBB68CB,竹興段,6324.26,都市：住,全筆移轉
RPPSMLLLPHPFFBB48CB,竹興段,6324.26,都市：住,全筆移轉
RPOTMLLLPHPFFBB48CB,竹興段,6324.26,都市：住,全筆移轉
RPTRMLLLPHPFFBB78CB,竹興段,6324.26,都市：住,全筆移轉
RPVSMLLLPHPFFBB09CB,竹興段,6324.26,都市：住,全筆移轉
RPWTMLLLPHPFFBB66CB,竹興段,6324.26,都市：住,全筆移轉
RPUTMLLLPHPFFBB09CB,竹興段,6324.26,都市：住,全筆移轉
RPQUMLLLPHPFFBB78CB,竹興段,6324.26,都市：住,全筆移轉
RPPOMLMLPHPFFBB18CB,竹興段,6324.26,都市：住,全筆移轉
RPROMLMLPHPFFBB38CB,竹興段,6324.26,都市：住,全筆移轉
RPWOMLMLPHPFFBB88CB,竹興段,6324.26,都市：住,全筆移轉
RPSOMLMLPHPFFBB48CB,竹興段,6324.26,都市：住,全筆移轉
RPPPMLMLPHPFFBB28CB,竹興段,6324.26,都市：住,全筆移轉
RPWPMLMLPHPFFBB98CB,竹興段,6324.26,都市：住,全筆移轉
RPUPMLMLPHPFFBB78CB,竹興段,6324.26,都市：住,全筆移轉
RPRQMLMLPHPFFBB58CB,竹興段,6324.26,都市：住,全筆移轉
RPPRMLMLPHPFFBB48CB,竹興段,6324.26,都市：住,全筆移轉
RPRRMLMLPHPFFBB68CB,竹興段,6324.26,都市：住,全筆移轉
RPRPMLMLPHPFFBB48CB,竹興段,6324.26,都市：住,全筆移轉
RPTRMLMLPHPFFBB88CB,竹興段,6324.26,都市：住,全筆移轉
RPSQMLMLPHPFFBB68CB,竹興段,6324.26,都市：住,全筆移轉
RPOSMLMLPHPFFBB48CB,竹興段,6324.26,都市：住,全筆移轉
RPQSMLMLPHPFFBB68CB,竹興段,6324.26,都市：住,全筆移轉
RPTSMLMLPHPFFBB98CB,竹興段,6324.26,都市：住,全筆移轉
RPWSMLMLPHPFFBB66CB,竹興段,6324.26,都市：住,全筆移轉
RPUTMLMLPHPFFBB56CB,竹興段,6324.26,都市：住,全筆移轉
RPVTMLMLPHPFFBB66CB,竹興段,6324.26,都市：住,全筆移轉
RPOUMLMLPHPFFBB68CB,竹興段,6324.26,都市：住,全筆移轉
RPQUMLMLPHPFFBB88CB,竹興段,6324.26,都市：住,全筆移轉
RPXUMLMLPHPFFBB96CB,竹興段,6324.26,都市：住,全筆移轉
RPUSMLMLPHPFFBB09CB,竹興段,6324.26,都市：住,全筆移轉
RPUUMLMLPHPFFBB66CB,竹興段,6324.26,都市：住,全筆移轉
