鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
中正區,房地(土地+建物),中正路541~570號,77.0,商,,,1090715,土地1建物1車位0,全,三層,透天厝,,加強磚造,0570312,198.99,3,3,4,有,無,15200000,76386,,0.0,0,,RPPOMLPJQHPFFBC48DA,198.99,0.0,0.0,
信義區,房地(土地+建物),仁一路37巷31~60號,24.25,其他,,,1090713,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0650913,61.92,3,2,1,有,無,3100000,50065,,0.0,0,,RPWNMLTKQHPFFBC96DA,61.92,0.0,0.0,
中正區,房地(土地+建物),觀海街1~30號,23.69,住,,,1090506,土地2建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,114.39,3,2,2,有,有,3700000,32345,,0.0,0,,RPROMLTKQHPFFBC56DA,80.78,0.0,11.69,
安樂區,房地(土地+建物)+車位,基金一路112巷110弄1~30號,24.62,其他,,,1090620,土地4建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851126,184.20999999999998,4,2,2,有,有,6150000,33386,坡道平面,0.0,0,,RPPOMLKKPHPFFCC08DA,123.6,0.0,15.53,
安樂區,房地(土地+建物)+車位,武崙街151~180號,31.63,其他,,,1090728,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1071009,108.44,2,2,1,有,有,6350000,58558,坡道機械,17.92,0,,RPOOMLKMPHPFFCC18DA,50.76,2.69,5.46,
中山區,房地(土地+建物),復興路259巷31~60號,21.04,其他,,,1090726,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840512,80.62,2,1,1,有,有,2520000,31258,,0.0,0,,RPWOMLKKQHPFFCC88DA,63.57,0.0,7.52,
安樂區,房地(土地+建物),崇德路10巷1~30號,44.6,其他,,,1090722,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0810401,152.03,3,1,1,有,無,4400000,28942,,0.0,0,,RPQOMLLKQHPFFCC38DA,134.94,0.0,14.54,
中山區,土地,協和段121~150地號,38.62,其他,,,1090726,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,574784,14883,,0.0,0,,RPUNMLOKQHPFFCC98DA,0.0,0.0,0.0,
七堵區,房地(土地+建物),百六街100巷1~30號,25.25,其他,,,1090710,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0670118,87.36,3,2,2,有,無,3800000,43498,,0.0,0,,RPTOMLRKQHPFFCC66DA,87.36,0.0,0.0,
暖暖區,房地(土地+建物),暖暖街610巷1~30號,59.42,其他,,,1090722,土地1建物1車位0,一層，騎樓，地下層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0810507,154.28,3,3,3,有,無,5800000,37594,,0.0,0,,RPVNMLSKQHPFFCC86DA,136.92,5.84,6.94,
安樂區,房地(土地+建物),樂利三街34巷31~60號,24.94,其他,,,1090723,土地9建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680228,51.34,1,1,1,有,無,1680000,32723,,0.0,0,,RPXNMLSKQHPFFCC07DA,44.4,0.0,6.94,
暖暖區,房地(土地+建物),八堵路20巷1~30號,24.9,其他,,,1090718,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0901004,101.01,3,2,1,有,有,4450000,44055,,0.0,0,,RPQOMLSKQHPFFCC09DA,72.64,1.92,7.5,
暖暖區,房地(土地+建物),源遠路249巷181~210號,12.9,其他,,,1090724,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860125,78.53999999999999,4,2,2,有,有,4380000,55768,,0.0,0,,RPSOMLTKQHPFFCC76DA,49.21,0.0,8.04,
安樂區,房地(土地+建物),基金一路135巷21弄31~60號,33.64,其他,,,1090730,土地33建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820902,142.60999999999999,3,2,2,有,有,6500000,45579,,0.0,0,,RPSOMLKLQHPFFCC58DA,113.62,1.71,9.74,
中正區,房地(土地+建物),漁港三街121~150號,36.29,住,,,1090630,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720715,89.86,3,1,2,有,無,2300000,25595,,0.0,0,,RPVOMLLMPHPFFBC98EA,80.8,9.06,0.0,
信義區,房地(土地+建物),東信路180巷61~90號,28.5,住,,,1090722,土地3建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0640325,83.82,3,2,2,有,無,2700000,32212,,0.0,0,,RPRPMLMKQHPFFBC68EA,83.82,0.0,0.0,
信義區,土地,深美段121~150地號,19.58,其他,,,1090731,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,25536,,0.0,0,,RPPNMLRKQHPFFBC78EA,0.0,0.0,0.0,
中正區,房地(土地+建物),武昌街1~30號,19.0,商,,,1090708,土地1建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0621129,61.42,1,1,1,有,無,2860000,46565,,0.0,0,,RPPNMLSKQHPFFBC88EA,61.42,0.0,0.0,
中正區,房地(土地+建物),正榮街112巷1~30號,20.33,住,,,1090713,土地3建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680710,55.53,2,1,1,有,無,2300000,41419,,0.0,0,,RPTNMLSKQHPFFBC66EA,53.36,0.0,2.17,
暖暖區,房地(土地+建物)+車位,過港路1~30號,23.44,其他,,,1090716,土地1建物1車位1,六層,六層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060124,83.56,2,1,2,有,有,6800000,81379,升降機械,0.0,0,,RPSNMLRKQHPFFCC56EA,46.84,4.38,4.8,
安樂區,房地(土地+建物),麥金路271~300號,7.13,其他,,,1090707,土地3建物1車位0,二十層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,73.31,2,1,1,有,有,6100000,83208,,0.0,0,,RPTNMLRKQHPFFCC66EA,38.99,1.89,10.81,
七堵區,房地(土地+建物)+車位,綠葉街31~60號,62.3,,山坡地保育區,丙種建築用地,1090725,土地1建物1車位2,三層，四層，五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0880611,207.47,3,2,2,有,無,7900000,38078,坡道平面,0.0,0,,RPXOMLSKQHPFFCC27EA,92.64,17.77,10.79,
七堵區,土地,台五線段541~570地號,19.48,其他,,,1090715,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,631152,32400,,0.0,0,,RPOPMLSKQHPFFCC09EA,0.0,0.0,0.0,
安樂區,房地(土地+建物),樂利二街62巷211~240號,14.37,其他,,,1090731,土地2建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,86.73,3,1,1,有,有,3800000,43814,,0.0,0,,RPWNMLSLPHPFFCC07EA,55.16,0.53,7.34,
安樂區,房地(土地+建物),樂利三街32巷10弄1~30號,45.17,其他,,,1090711,土地6建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701116,88.14,3,2,2,有,無,2500000,28364,,0.0,0,,RPSNMLSKQHPFFCC66EA,77.7,0.0,10.44,
七堵區,房地(土地+建物),長安街286巷31~60號,137.51,,鄉村區,乙種建築用地,1090726,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0701223,122.4,0,0,0,無,無,4000000,32680,,0.0,0,,RPTNMLKLQHPFFCC68EA,102.72,9.84,9.84,
安樂區,房地(土地+建物)+車位,武崙街151~180號,32.69,其他,,,1090719,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1071009,127.52,2,1,1,有,有,7110000,55756,坡道平面,0.0,0,,RPPNMLTKQHPFFCC09EA,52.07,2.95,4.62,
七堵區,房地(土地+建物)+車位,麗景二街31~60號,226.0,,山坡地保育區,丙種建築用地,1090720,土地1建物1車位2,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0800704,354.38,10,3,3,有,有,16000000,45149,其他,0.0,0,,RPTNMLTKQHPFFCC86EA,321.17,16.95,16.26,
