編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLTKQHPFFBC96DA,44,61.92,住家用,鋼筋混凝土加強磚造,65年9月13日,四層,二層
RPQOMLLKQHPFFCC38DA,28,149.48,住家用,鋼筋混凝土造,81年4月1日,五層,三層
RPQOMLLKQHPFFCC38DA,28,.16,共用部份,鋼筋混凝土造,81年4月1日,五層,
RPQOMLLKQHPFFCC38DA,24,2.39,共用部份,鋼筋混凝土造,85年2月15日,五層,
RPROMLTKQHPFFBC56DA,21,92.47,住家用,鋼筋混凝土造,88年1月14日,十五層,五層
RPWOMLKKQHPFFCC88DA,25,71.09,住家用,鋼筋混凝土造,84年5月12日,五層,二層
RPWOMLKKQHPFFCC88DA,25,9.53,共用部份,鋼筋混凝土造,84年5月12日,五層,
RPROMLTKQHPFFBC56DA,21,13.49,共用部份,鋼筋混凝土造,88年1月14日,十五層,
RPROMLTKQHPFFBC56DA,21,5.18,共用部份,鋼筋混凝土造,88年1月14日,十五層,
RPROMLTKQHPFFBC56DA,21,2.19,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPROMLTKQHPFFBC56DA,21,1.06,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPPOMLPJQHPFFBC48DA,,198.99,,加強磚造,57年3月12日,三層,一層 二層 三層 騎樓
RPVNMLSKQHPFFCC86DA,28,149.70,商業用,鋼筋混凝土造,81年5月7日,五層,一層 騎樓 地下層
RPVNMLSKQHPFFCC86DA,28,4.58,共用部份,鋼筋混凝土造,81年5月7日,五層,
RPTOMLRKQHPFFCC66DA,42,87.36,住家用,鋼筋混凝土加強磚造,67年1月18日,四層,四層
RPXNMLSKQHPFFCC07DA,41,51.34,住家用,鋼筋混凝土造,68年2月28日,四層,三層
RPPOMLKKPHPFFCC08DA,24,139.13,住家用,鋼筋混凝土造,85年11月26日,十二層,十一層
RPPOMLKKPHPFFCC08DA,24,5.83,共用部份,鋼筋混凝土造,85年11月26日,十二層,
RPPOMLKKPHPFFCC08DA,24,39.25,共用部份,鋼筋混凝土造,85年11月26日,十二層,
RPOOMLKMPHPFFCC18DA,2,58.91,見其他登記事項,鋼筋混凝土造,107年10月9日,七層,四層
RPOOMLKMPHPFFCC18DA,2,17.93,見其他登記事項,鋼筋混凝土造,107年10月9日,七層,
RPOOMLKMPHPFFCC18DA,2,31.61,見其他登記事項,鋼筋混凝土造,107年10月9日,七層,
RPVOMLLMPHPFFBC98EA,37,89.86,住家用,鋼筋混凝土造,72年7月15日,五層,一層
RPQOMLSKQHPFFCC09DA,19,82.06,住家用,鋼筋混凝土造,90年10月4日,五層,三層
RPQOMLSKQHPFFCC09DA,19,8.56,共用部份,鋼筋混凝土造,90年10月4日,五層,
RPQOMLSKQHPFFCC09DA,19,10.39,共用部份,鋼筋混凝土造,90年10月4日,五層,
RPSOMLTKQHPFFCC76DA,23,57.25,住家用,鋼筋混凝土造,86年1月25日,十二層,四層
RPSOMLTKQHPFFCC76DA,23,11.86,共用部份,鋼筋混凝土造,86年1月25日,十二層,
RPSOMLTKQHPFFCC76DA,23,9.43,共用部份,鋼筋混凝土造,86年1月25日,十二層,
RPTNMLSKQHPFFBC66EA,41,55.53,住家用,鋼筋混凝土造,68年7月10日,四層,四層
RPRPMLMKQHPFFBC68EA,45,83.82,住家用,鋼筋混凝土加強磚造,64年3月25日,四層,三層
RPSOMLKLQHPFFCC58DA,,125.07,住家用,鋼筋混凝土造,82年9月2日,七層,三層
RPSOMLKLQHPFFCC58DA,,1.02,共用部份,鋼筋混凝土造,82年9月2日,七層,
RPSOMLKLQHPFFCC58DA,,4.98,共用部份,鋼筋混凝土造,82年9月2日,七層,
RPSOMLKLQHPFFCC58DA,,1.53,共用部份,鋼筋混凝土造,82年9月2日,七層,
RPSOMLKLQHPFFCC58DA,,10.01,共用部份,鋼筋混凝土造,82年9月2日,七層,
RPSNMLRKQHPFFCC56EA,3,56.02,見其他登記事項,鋼筋混凝土造,106年1月24日,六層,六層
RPSNMLRKQHPFFCC56EA,3,8.34,見其他登記事項,鋼筋混凝土造,106年1月24日,六層,
RPSNMLRKQHPFFCC56EA,3,10.96,見其他登記事項,鋼筋混凝土造,106年1月24日,六層,
