編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPUNMLOKQHPFFCC98DA,協和段,38.62,都市：其他,全筆移轉
RPWNMLTKQHPFFBC96DA,田寮段,24.25,都市：其他,持分移轉
RPQOMLLKQHPFFCC38DA,觀音段,44.60,都市：其他,持分移轉
RPROMLTKQHPFFBC56DA,長潭段,2.15,都市：住,持分移轉
RPWOMLKKQHPFFCC88DA,德安段,21.04,都市：其他,持分移轉
RPROMLTKQHPFFBC56DA,長潭段,21.54,都市：住,持分移轉
RPPOMLPJQHPFFBC48DA,港濱段,77.00,都市：商,全筆移轉
RPVNMLSKQHPFFCC86DA,暖暖段東勢坑小段,59.42,都市：其他,持分移轉
RPTOMLRKQHPFFCC66DA,五堵段五堵北小段,25.25,都市：其他,持分移轉
RPXNMLSKQHPFFCC07DA,麥金段,.11,都市：其他,持分移轉
RPXNMLSKQHPFFCC07DA,麥金段,11.02,都市：其他,持分移轉
RPXNMLSKQHPFFCC07DA,麥金段,8.22,都市：其他,持分移轉
RPXNMLSKQHPFFCC07DA,麥金段,3.31,都市：其他,持分移轉
RPXNMLSKQHPFFCC07DA,麥金段,.01,都市：其他,持分移轉
RPXNMLSKQHPFFCC07DA,麥金段,1.61,都市：其他,持分移轉
RPXNMLSKQHPFFCC07DA,麥金段,.50,都市：其他,持分移轉
RPXNMLSKQHPFFCC07DA,麥金段,.06,都市：其他,持分移轉
RPXNMLSKQHPFFCC07DA,麥金段,.10,都市：其他,持分移轉
RPPOMLKKPHPFFCC08DA,新會段,.61,都市：其他,持分移轉
RPPOMLKKPHPFFCC08DA,新會段,21.29,都市：其他,持分移轉
RPPOMLKKPHPFFCC08DA,新會段,1.57,都市：其他,持分移轉
RPPOMLKKPHPFFCC08DA,新會段,1.14,都市：其他,持分移轉
RPOOMLKMPHPFFCC18DA,武嶺段,31.63,都市：其他,持分移轉
RPSOMLTKQHPFFCC76DA,源遠段,12.90,都市：其他,持分移轉
RPVOMLLMPHPFFBC98EA,正隆段,26.97,都市：住,持分移轉
RPVOMLLMPHPFFBC98EA,長潭段,9.31,都市：住,持分移轉
RPQOMLSKQHPFFCC09DA,過港段,24.87,都市：其他,持分移轉
RPQOMLSKQHPFFCC09DA,過港段,.03,都市：其他,持分移轉
RPPNMLRKQHPFFBC78EA,深美段,19.58,都市：其他,持分移轉
RPOPMLSKQHPFFCC09EA,台五線段,19.48,都市：其他,持分移轉
RPTNMLSKQHPFFBC66EA,港濱段,13.44,都市：住,持分移轉
RPTNMLSKQHPFFBC66EA,港濱段,.56,都市：其他,持分移轉
RPTNMLSKQHPFFBC66EA,港濱段,6.33,都市：住,持分移轉
RPRPMLMKQHPFFBC68EA,福祿段,1.20,都市：其他,持分移轉
RPRPMLMKQHPFFBC68EA,福祿段,26.80,都市：住,持分移轉
RPRPMLMKQHPFFBC68EA,福祿段,.50,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,.05,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,.08,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,6.27,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,.07,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,.15,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,2.88,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,.02,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,6.63,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,.14,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,.06,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,.26,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,.03,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,.15,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,.02,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,.03,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,.00,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,1.43,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,.10,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,9.41,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,.00,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,2.12,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,.02,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,.07,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,.03,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,3.24,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,.07,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,.04,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,.02,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,.04,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,.02,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,.10,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,.06,都市：其他,持分移轉
RPSOMLKLQHPFFCC58DA,武嶺段,.00,都市：其他,持分移轉
RPSNMLRKQHPFFCC56EA,過港段,23.44,都市：其他,持分移轉
RPSNMLSKQHPFFCC66EA,麥金段,.15,都市：其他,持分移轉
