編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPUNMLKKQHPFFAD48DA,五條港段,2.72,都市：其他,持分移轉
RPUNMLKKQHPFFAD48DA,五條港段,4.12,都市：其他,持分移轉
RPXNMLTKQHPFFAD07DA,北華段,.84,都市：其他,持分移轉
RPXNMLTKQHPFFAD07DA,北華段,51.00,都市：其他,全筆移轉
RPUPMLSKQHPFFAD86DA,普濟段,15.11,都市：其他,持分移轉
RPUPMLSKQHPFFAD86DA,普濟段,3.11,都市：其他,持分移轉
RPUPMLSKQHPFFAD86DA,普濟段,2.05,都市：其他,持分移轉
RPUPMLSKQHPFFAD86DA,普濟段,3.71,都市：其他,持分移轉
RPUPMLSKQHPFFAD86DA,普濟段,.16,都市：其他,持分移轉
RPRNMLNKQHPFFAD48DA,永福段,50.27,都市：其他,全筆移轉
RPPNMLTKQHPFFAD88DA,金華段,25.10,都市：其他,持分移轉
RPVQMLNKQHPFFAD56DA,裕民段,36.86,都市：其他,持分移轉
RPVQMLNKQHPFFAD56DA,裕民段,36.86,都市：其他,持分移轉
RPVQMLNKQHPFFAD56DA,裕民段,.13,都市：其他,持分移轉
RPVQMLNKQHPFFAD56DA,裕民段,.13,都市：其他,持分移轉
RPXNMLTLPHPFFAD07DA,立人段,7.56,都市：其他,持分移轉
RPXNMLTLPHPFFAD07DA,立人段,.99,都市：其他,持分移轉
RPRNMLRKQHPFFAD88DA,金城段,28.86,都市：其他,持分移轉
RPRNMLRKQHPFFAD88DA,金城段,68.90,都市：其他,全筆移轉
RPQNMLTKQHPFFAD98DA,金華段,21.84,都市：其他,持分移轉
RPWOMLRKQHPFFBD96DA,國安段,203.35,都市：其他,持分移轉
RPVNMLSKQHPFFBD86DA,學東段,174.04,都市：住,全筆移轉
RPQOMLSKQHPFFBD09DA,學東段,151.12,都市：住,全筆移轉
RPPOMLTKQHPFFAD98DA,金華段,3.18,都市：其他,持分移轉
RPSOMLTKQHPFFAD66DA,金華段,9.83,都市：其他,持分移轉
RPPNMLTKQHPFFBD98DA,安東段,13.29,都市：住,持分移轉
RPPNMLTKQHPFFBD98DA,安東段,13.29,都市：住,持分移轉
RPQOMLTKQHPFFAD09DA,實踐段,32.04,都市：其他,持分移轉
RPWNMLRKQHPFFBD86DA,鹿北段,15.24,都市：住,持分移轉
RPWNMLRKQHPFFBD86DA,鹿北段,79.88,都市：住,全筆移轉
RPOOMLTKQHPFFBD98DA,長和段,15.76,都市：住,持分移轉
RPOOMLTKQHPFFBD98DA,長和段,72.36,都市：住,全筆移轉
RPOOMLTKQHPFFBD98DA,長和段,.02,都市：其他,持分移轉
RPOOMLTKQHPFFBD98DA,長和段,.12,都市：住,持分移轉
RPOOMLTKQHPFFBD98DA,長和段,2.57,都市：其他,全筆移轉
RPVPMLTLPHPFFCD27DA,竹篙厝段,12.24,都市：其他,持分移轉
RPSNMLLLQHPFFBD58DA,溪東段,66.04,都市：住,全筆移轉
RPSNMLTKQHPFFBD66DA,淵北段,58.05,都市：住,全筆移轉
RPSNMLTKQHPFFBD66DA,淵北段,26.66,都市：住,持分移轉
RPTNMLPKPHPFFCD98DA,竹篙厝段,141.00,非都市： ; 非都市編定：,全筆移轉
RPSNMLRKQHPFFCD56DA,公英段,99.66,都市：其他,持分移轉
RPVOMLKKQHPFFCD88DA,仁和段,19.34,都市：其他,持分移轉
RPRPMLRKQHPFFCD66DA,竹篙厝段,22.21,都市：其他,持分移轉
RPUNMLSKQHPFFCD86DA,龍泉段,6.03,都市：其他,持分移轉
RPVNMLSKQHPFFCD96DA,鹽埕段,30.79,都市：其他,持分移轉
RPPNMLKKQHPFFED38DA,新港東段新港東小段,1595.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPOQMLSKQHPFFCD56DA,裕東段,153.01,都市：其他,全筆移轉
RPSNMLTKQHPFFCD76DA,虎尾寮段,29.60,都市：其他,持分移轉
RPSNMLTKQHPFFCD76DA,虎尾寮段,.03,都市：其他,持分移轉
RPTNMLKLQHPFFCD68DA,鹽埕段,28.31,都市：其他,持分移轉
RPTNMLKLQHPFFCD68DA,鹽埕段,.50,都市：其他,持分移轉
RPUNMLSKQHPFFDD96DA,民權段,6.78,都市：其他,持分移轉
RPUNMLSKQHPFFDD96DA,民權段,6.21,都市：其他,持分移轉
RPUNMLSKQHPFFDD96DA,民權段,8.61,都市：其他,持分移轉
RPQNMLKKQHPFFED48DA,長短樹段,3500.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPRNMLKKQHPFFED58DA,長短樹段,1900.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPXPMLSKQHPFFCD37DA,裕東段,156.19,都市：其他,全筆移轉
RPSNMLKKQHPFFED68DA,新港東段新港東小段,3200.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPUOMLTKQHPFFCD07DA,大同段,8.17,都市：其他,持分移轉
RPUOMLTKQHPFFCD07DA,大同段,.01,都市：其他,持分移轉
RPQNMLTLPHPFFED76DA,長短樹段,760.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPTOMLTKQHPFFCD96DA,富裕段,19.17,都市：其他,持分移轉
RPRNMLRKQHPFFFD76DA,隆興段,37.56,都市：其他,全筆移轉
SPVNMLSKQHPFFFD37DA,官中段,95.00,非都市：特定農業區 ; 非都市編定：水利用地,持分移轉
RPVNMLSKQHPFFFD27DA,官田段,172.50,都市：其他,持分移轉
RPTNMLRKQHPFFED86DA,東河段,39.94,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
