編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLTKQHPFFAD88DA,坡道平面,1060000,26.49,地下二樓
RPPNMLTKQHPFFAD88DA,坡道平面,1100000,28.87,地下二樓
RPQNMLTKQHPFFAD98DA,坡道平面,1000000,31.57,地下四樓
RPVOMLKKQHPFFCD88DA,坡道機械,0,9.82,地下一樓
RPVNMLSKQHPFFCD96DA,坡道平面,0,,地下二樓
RPUOMLTKQHPFFCD07DA,坡道機械,0,,地下一樓
RPTOMLTKQHPFFCD96DA,坡道平面,0,,地下一樓
RPUNMLNKQHPFFKD17DA,一樓平面,0,9.54,一樓
RPSQMLNKQHPFFKD27DA,一樓平面,0,,一樓
RPPNMLPKQHPFFKD86DA,坡道機械,0,13.13,地下二樓
RPOQMLSKQHPFFKD37DA,坡道平面,0,30.42,地下一樓
RPSOMLTKQHPFFAD76EA,坡道平面,0,,地下一樓
RPSPMLTKQHPFFKD77DA,坡道平面,0,,地下一樓
RPTOMLMJRHPFFKD07DA,坡道平面,0,,地下五樓含以下
RPRNMLKLQHPFFCD58EA,坡道平面,0,,地下二樓
RPUOMLNKQHPFFKD27DA,一樓平面,0,9.54,一樓
RPXOMLNKQHPFFKD57DA,一樓平面,0,9.54,一樓
RPUNMLOKQHPFFKD27DA,坡道機械,0,,地下二樓
RPQQMLPJQHPFFKD17DA,升降機械,0,,地下一樓
RPPOMLKLQHPFFHD88DA,坡道平面,0,,地下一樓
RPROMLTKQHPFFHD27DA,坡道平面,950000,22.16,地下一樓
RPSOMLTKQHPFFHD37DA,一樓平面,950000,22.16,一樓
RPVOMLTKQHPFFHD67DA,一樓平面,1000000,22.16,一樓
RPWOMLTKQHPFFHD77DA,坡道平面,950000,22.16,地下一樓
RPPPMLTKQHPFFHD17DA,一樓平面,950000,22.16,一樓
RPUOMLTKQHPFFHD57DA,坡道平面,900000,22.16,地下一樓
RPTPMLTKQHPFFHD57DA,一樓平面,1000000,22.16,一樓
RPWOMLPKPHPFFHD27DA,一樓平面,0,,一樓
RPRNMLSKQHPFFDD66DA,坡道平面,1100000,22.53,地下二樓
RPOPMLTKQHPFFCD56DA,坡道平面,0,41.41,地下二樓
RPWNMLKLQHPFFCD98DA,坡道平面,0,,地下一樓
RPVNMLLKQHPFFDD98DA,坡道平面,0,22.53,地下二樓
RPVNMLLKQHPFFDD98DA,坡道平面,0,22.53,地下二樓
RPSNMLLKQHPFFDD68DA,坡道平面,1200000,22.53,地下一樓
RPROMLMKQHPFFCD68DA,坡道平面,0,,地下一樓
RPUOMLMKQHPFFCD98DA,坡道平面,0,,地下一樓
RPUOMLMKQHPFFCD98DA,坡道平面,0,,地下一樓
RPUOMLPJQHPFFCD56DA,坡道平面,0,25.54,地下三樓
RPUOMLPJQHPFFCD56DA,坡道平面,0,25.54,地下三樓
RPUOMLPJQHPFFCD56DA,坡道平面,0,25.54,地下三樓
RPRNMLTKQHPFFAD09DA,坡道平面,1100000,28.87,地下二樓
RPRNMLTKQHPFFAD09DA,坡道平面,1100000,28.87,地下二樓
RPRPMLSKQHPFFAD56DA,坡道平面,1000000,31.89,地下四樓
RPUPMLOLPHPFFCD66DA,坡道平面,0,,地下二樓
RPVPMLSKQHPFFAD96DA,坡道平面,0,,地下二樓
RPWPMLSKQHPFFAD07DA,坡道平面,0,,地下一樓
RPVNMLOLQHPFFAD09DA,坡道機械,0,10.36,地下一樓
RPVNMLLLQHPFFAD78DA,坡道平面,0,32.55,地下一樓
