鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
永康區,房地(土地+建物)+車位,兵南段481~510地號,39.55,住,,,1090602,土地1建物1車位1,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,193.68,4,1,2,有,無,11600000,65622,坡道平面,36.72,1300000,,RPVPMLMLPHPFFKD37CB
永康區,房地(土地+建物)+車位,兵南段481~510地號,40.04,住,,,1081218,土地1建物1車位2,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,230.4,4,1,2,有,無,12600000,63710,坡道平面,73.44,2600000,,RPWPMLMLPHPFFKD47CB
永康區,房地(土地+建物)+車位,兵南段481~510地號,40.04,住,,,1081018,土地1建物1車位2,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,230.4,4,1,2,有,無,12910000,64411,坡道平面,73.44,2800000,,RPXPMLMLPHPFFKD57CB
永康區,房地(土地+建物)+車位,兵南段481~510地號,36.14,住,,,1090313,土地1建物1車位1,一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,179.35,4,1,2,有,無,10650000,64152,坡道平面,36.72,1500000,,RPTNMLOLPHPFFKD17CB
永康區,房地(土地+建物)+車位,兵南段481~510地號,39.55,住,,,1090225,土地1建物1車位1,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,193.53,4,1,2,有,無,11480000,63644,坡道平面,36.72,1500000,,RPXNMLOLPHPFFKD57CB
永康區,房地(土地+建物)+車位,兵南段481~510地號,39.55,住,,,1081025,土地1建物1車位1,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,193.53,4,1,2,有,無,11750000,66003,坡道平面,36.72,1400000,,RPQOMLOLPHPFFKD96CB
永康區,房地(土地+建物)+車位,兵南段481~510地號,39.55,住,,,1080920,土地1建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,193.53,4,1,2,有,無,11800000,66322,坡道平面,36.72,1400000,,RPWPMLOLPHPFFKD67CB
永康區,房地(土地+建物)+車位,兵南段481~510地號,39.55,住,,,1081007,土地1建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,193.53,4,1,2,有,無,11800000,66322,坡道平面,36.72,1400000,,RPXPMLOLPHPFFKD77CB
永康區,房地(土地+建物)+車位,兵南段481~510地號,40.04,住,,,1081115,土地1建物1車位2,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,230.25,4,1,2,有,無,12800000,63771,坡道平面,73.44,2800000,,RPOQMLOLPHPFFKD96CB
永康區,房地(土地+建物)+車位,兵南段481~510地號,40.53,住,,,1090227,土地1建物1車位3,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,266.97,4,1,2,有,無,14180000,62368,坡道平面,110.16,4400000,,RPPQMLOLPHPFFKD07CB
永康區,房地(土地+建物)+車位,兵南段481~510地號,39.55,住,,,1090608,土地1建物1車位1,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,193.68,4,1,2,有,無,11200000,62436,坡道平面,36.72,1400000,,RPQQMLOLPHPFFKD17CB
永康區,房地(土地+建物)+車位,兵南段481~510地號,39.55,住,,,1090225,土地1建物1車位1,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,193.68,4,1,2,有,無,11480000,63583,坡道平面,36.72,1500000,,RPVOMLTLPHPFFKD97CB
永康區,房地(土地+建物)+車位,兵南段481~510地號,40.04,住,,,1090324,土地1建物1車位2,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,230.4,4,1,2,有,無,12580000,63583,坡道平面,73.44,2600000,,RPXOMLTLPHPFFKD18CB
永康區,房地(土地+建物)+車位,兵南段481~510地號,40.04,住,,,1081014,土地1建物1車位2,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,230.4,4,1,2,有,無,13180000,64857,坡道平面,73.44,3000000,,RPRPMLTLPHPFFKD67CB
