編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPTNMLOLPHPFFKD17CB,兵南段,36.14,都市：住,持分移轉
RPWPMLMLPHPFFKD47CB,兵南段,40.04,都市：住,持分移轉
RPOQMLOLPHPFFKD96CB,兵南段,40.04,都市：住,持分移轉
RPXNMLOLPHPFFKD57CB,兵南段,39.55,都市：住,持分移轉
RPVPMLMLPHPFFKD37CB,兵南段,39.55,都市：住,持分移轉
RPQOMLOLPHPFFKD96CB,兵南段,39.55,都市：住,持分移轉
RPXPMLOLPHPFFKD77CB,兵南段,39.55,都市：住,持分移轉
RPPQMLOLPHPFFKD07CB,兵南段,40.53,都市：住,持分移轉
RPXPMLMLPHPFFKD57CB,兵南段,40.04,都市：住,持分移轉
RPWPMLOLPHPFFKD67CB,兵南段,39.55,都市：住,持分移轉
RPQQMLOLPHPFFKD17CB,兵南段,39.55,都市：住,持分移轉
RPXOMLTLPHPFFKD18CB,兵南段,40.04,都市：住,持分移轉
RPVOMLTLPHPFFKD97CB,兵南段,39.55,都市：住,持分移轉
RPTPMLTLPHPFFKD87CB,兵南段,39.55,都市：住,持分移轉
RPRPMLTLPHPFFKD67CB,兵南段,40.04,都市：住,持分移轉
RPVPMLTLPHPFFKD08CB,兵南段,33.21,都市：住,持分移轉
RPPQMLTLPHPFFKD57CB,兵南段,33.21,都市：住,持分移轉
RPOQMLTLPHPFFKD47CB,兵南段,33.21,都市：住,持分移轉
RPSQMLTLPHPFFKD87CB,兵南段,33.21,都市：住,持分移轉
RPRQMLTLPHPFFKD77CB,兵南段,33.69,都市：住,持分移轉
RPTQMLTLPHPFFKD97CB,兵南段,33.21,都市：住,持分移轉
RPUQMLTLPHPFFKD08CB,兵南段,33.69,都市：住,持分移轉
