鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
鼓山區,房地(土地+建物)+車位,龍勝路151~180號,9.54,其他,,,1090713,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950809,92.49,2,1,1,有,有,6500000,70278,坡道機械,11.82,0,含傢俱設備費;,RPXQMLNKPHPFFAE76DA,49.6,5.38,0.0,有
鼓山區,房地(土地+建物)+車位,鼓山一路133巷1~30號,20.25,其他,,,1090701,土地2建物1車位1,十二層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000120,190.06,3,2,2,有,有,13200000,69452,坡道平面,33.1,0,,RPROMLQJQHPFFAE88DA,97.76,13.77,0.0,有
鼓山區,房地(土地+建物)+車位,昌盛路1~30號,11.26,其他,,,1090726,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880930,132.71,3,2,2,有,有,7800000,58775,坡道平面,0.0,0,,RPVOMLLKQHPFFAE88DA,70.1,12.44,0.0,有
前金區,房地(土地+建物),中華三路211~240號,4.68,其他,,,1090725,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0720223,50.51,2,1,1,有,有,2400000,47515,,0.0,0,陽台外推;,RPSNMLRKQHPFFAE09DA,40.76,0.0,0.0,有
前金區,房地(土地+建物)+車位,市中一路91~120號,8.39,其他,,,1090701,土地1建物1車位1,二層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910618,141.07999999999998,2,2,1,有,有,6850000,48554,坡道平面,38.22,0,,RPTRMLRKQHPFFAE96DA,65.32,6.68,0.0,有
鼓山區,房地(土地+建物),鼓山一路161巷50弄31~60號,36.69,其他,,,1090719,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720321,79.33,3,2,1,有,無,3010000,37943,,0.0,0,,RPQNMLSKQHPFFAE98DA,62.5,10.73,0.0,無
鼓山區,房地(土地+建物)+車位,美術東二路451~480號,31.8,其他,,,1090719,土地1建物1車位2,十三層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010419,327.55,3,2,2,有,有,26500000,80904,坡道平面,61.62,0,固定含裝潢,RPOOMLSKQHPFFAE88DA,157.59,19.0,0.0,有
前金區,房地(土地+建物),允文街31~60號,3.54,其他,,,1090727,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940624,46.25,1,1,1,有,有,2880000,62270,,0.0,0,,RPUNMLTKQHPFFAE86DA,28.45,0.0,0.0,有
鼓山區,房地(土地+建物)+車位,南屏路841~870號,17.15,其他,,,1090630,土地1建物1車位1,三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951205,201.31,3,2,2,有,有,15800000,78486,坡道平面,20.93,0,,RPWNMLTKQHPFFAE07DA,114.96,12.44,0.0,有
苓雅區,房地(土地+建物)+車位,新光路121~150號,21.39,其他,,,1090704,土地2建物2車位1,七層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840210,268.38,6,2,2,有,有,12680000,47246,坡道平面,0.0,0,二戶打通,RPSOMLRKPHPFFBE56DA,168.58,27.88,0.0,有
苓雅區,房地(土地+建物),廣州一街122巷1~30號,31.0,其他,,,1090711,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0721111,89.05,5,2,3,有,無,4080000,45817,,0.0,0,六樓增建部分原建設公司合約載明由頂樓住戶保管使用。其他增建;,RPRPMLOJQHPFFBE88DA,89.05,0.0,0.0,無
苓雅區,車位,民權一路61~90號,0.0,,,,1090728,土地0建物1車位1,,,其他,,,,22.11,0,0,0,有,有,1200000,,坡道平面,22.11,1200000,僅車位交易;,RPPOMLLKQHPFFBE38DA,0.0,0.0,0.0,有
苓雅區,房地(土地+建物)+車位,光華一路181~210號,11.45,其他,,,1090813,土地2建物1車位1,十六層,二十五層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0810629,222.25,0,0,0,無,有,8600000,38695,坡道機械,0.0,0,,RPQOMLNKQHPFFBE68DA,155.08,0.0,0.0,有
苓雅區,房地(土地+建物),林森二路135巷1~30號,72.0,其他,,,1090710,土地2建物1車位0,全,二層,透天厝,住商用,加強磚造,0540815,85.91,6,0,6,有,無,9550000,111163,,0.0,0,增建至3樓,RPROMLOKQHPFFBE88DA,85.91,0.0,0.0,無
新興區,房地(土地+建物),東海街61~90號,264.0,其他,,,1090329,土地5建物4車位0,全,三層,透天厝,,加強磚造,0590925,452.7,15,8,8,有,無,43000000,94986,,0.0,0,,RPUNMLRKQHPFFBE76DA,452.7,0.0,0.0,無
新興區,土地,新興段二小段61~90地號,0.25,其他,,,1090729,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30000,0,,0.0,0,本案移轉為停車位交換之土地持分差額移轉過戶交易總價為停車位交換之土地差額價金,RPROMLRKQHPFFBE56DA,0.0,0.0,0.0,無
苓雅區,房地(土地+建物),三多四路61~90號,2.94,其他,,,1090704,土地2建物1車位0,十三層,十九層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0790530,39.75,1,1,1,有,有,1930000,48553,,0.0,0,,RPPPMLRKQHPFFBE09DA,25.6,0.0,0.0,有
新興區,房地(土地+建物),民主路1~30號,3.79,其他,,,1090722,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801126,31.82,1,0,1,有,無,1220000,38341,,0.0,0,,RPTPMLRKQHPFFBE86DA,19.46,0.0,0.0,有
苓雅區,房地(土地+建物),仁愛三街275巷1~30號,91.0,其他,,,1090725,土地2建物1車位0,全,五層,透天厝,見其它登記事項,鋼筋混凝土造,1080520,329.73,5,2,5,有,無,24000000,72787,,0.0,0,,RPQNMLSKQHPFFBE09DA,300.84,28.89,0.0,有
