編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPXQMLNKPHPFFAE76DA,14,54.98,住家用,鋼筋混凝土造,95年8月9日,十五層,十層
RPXQMLNKPHPFFAE76DA,14,37.51,共有部分,鋼筋混凝土造,95年8月9日,十五層,
RPUNMLTKQHPFFAE86DA,15,28.45,住家用,鋼筋混凝土造,94年6月24日,十五層,五層
RPUNMLTKQHPFFAE86DA,15,2.50,共有部分,鋼筋混凝土造,94年6月24日,十五層,
RPUNMLTKQHPFFAE86DA,15,5.70,共有部分,鋼筋混凝土造,94年6月24日,十五層,
RPUNMLTKQHPFFAE86DA,15,9.59,共有部分,鋼筋混凝土造,94年6月24日,十五層,
RPOOMLSKQHPFFAE88DA,8,176.59,住家用,鋼筋混凝土造,101年4月19日,二十八層,十三層
RPOOMLSKQHPFFAE88DA,8,150.96,見其它登記事項,鋼筋混凝土造,101年4月19日,二十八層,
RPWNMLTKQHPFFAE07DA,14,127.40,住家用,鋼筋混凝土造,95年12月5日,十九層,三層
RPWNMLTKQHPFFAE07DA,14,73.91,見其它登記事項,鋼筋混凝土造,95年12月5日,十九層,
RPSNMLRKQHPFFAE09DA,37,40.76,,鋼筋混凝土造,72年2月23日,十二層,八層
RPSNMLRKQHPFFAE09DA,37,9.75,,鋼筋混凝土造,72年2月23日,十二層,
RPSOMLRKPHPFFBE56DA,25,107.33,住家用,鋼筋混凝土造,84年2月10日,二十一層,七層
RPSOMLRKPHPFFBE56DA,25,89.13,住家用,鋼筋混凝土造,84年2月10日,二十一層,七層
RPSOMLRKPHPFFBE56DA,25,19.65,見使用執照,鋼筋混凝土造,84年2月10日,二十一層,
RPSOMLRKPHPFFBE56DA,25,52.28,見使用執照,鋼筋混凝土造,84年2月10日,二十一層,
RPTRMLRKQHPFFAE96DA,18,72.00,住家用,鋼筋混凝土造,91年6月18日,二十二層,二層
RPTRMLRKQHPFFAE96DA,18,69.08,共有部分,鋼筋混凝土造,91年6月18日,二十二層,
RPQNMLSKQHPFFAE98DA,37,.01,,鋼筋混凝土造,72年3月21日,五層,
RPQNMLSKQHPFFAE98DA,37,.19,住家用,鋼筋混凝土造,72年3月21日,五層,一層
RPQNMLSKQHPFFAE98DA,37,6.07,,鋼筋混凝土造,72年3月21日,五層,
RPQNMLSKQHPFFAE98DA,37,73.05,住家用,鋼筋混凝土造,72年3月21日,五層,三層
RPROMLQJQHPFFAE88DA,,55.76,住家用,鋼筋混凝土造,100年1月20日,十九層,十二層
RPROMLQJQHPFFAE88DA,,55.76,住家用,鋼筋混凝土造,100年1月20日,十九層,十二層
RPROMLQJQHPFFAE88DA,,39.27,見其它登記事項,鋼筋混凝土造,100年1月20日,十九層,
RPROMLQJQHPFFAE88DA,,39.27,見其它登記事項,鋼筋混凝土造,100年1月20日,十九層,
RPVOMLLKQHPFFAE88DA,21,82.54,住家用,鋼筋混凝土造,88年9月30日,十四層,五層
RPVOMLLKQHPFFAE88DA,21,50.17,共有部分,鋼筋混凝土造,88年9月30日,十四層,
RPPOMLLKQHPFFBE38DA,11,22.11,見其它登記事項,鋼筋混凝土造,98年11月9日,二十四層,
RPRPMLOJQHPFFBE88DA,37,89.05,,鋼筋混凝土造,72年11月11日,五層,五層
RPROMLOKQHPFFBE88DA,55,85.91,住商用,加強磚造,54年8月15日,二層,一層 二層
RPPPMLRKQHPFFBE09DA,30,25.60,,鋼筋混凝土造,79年5月30日,十九層,十三層
RPPPMLRKQHPFFBE09DA,30,14.15,,鋼筋混凝土造,79年5月30日,十九層,
