編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPXQMLNKPHPFFAE76DA,坡道機械,0,11.82,地下二樓
RPOOMLSKQHPFFAE88DA,坡道平面,0,30.81,地下四樓
RPOOMLSKQHPFFAE88DA,坡道平面,0,30.81,地下四樓
RPWNMLTKQHPFFAE07DA,坡道平面,0,20.93,地下一樓
RPSOMLRKPHPFFBE56DA,坡道平面,0,,地下二樓
RPTRMLRKQHPFFAE96DA,坡道平面,0,38.22,地下二樓
RPROMLQJQHPFFAE88DA,坡道平面,0,33.10,地下二樓
RPVOMLLKQHPFFAE88DA,坡道平面,0,,地下一樓
RPPOMLLKQHPFFBE38DA,坡道平面,1200000,22.11,地下三樓
RPQOMLNKQHPFFBE68DA,坡道機械,0,,地下二樓
RPQOMLLKQHPFFCE58DA,坡道機械,0,14.09,地下三樓
RPVNMLNKQHPFFCE56DA,坡道平面,0,,地下二樓
RPVNMLKLQHPFFCE98DA,坡道平面,0,8.67,地下三樓
RPVRMLRLPHPFFDE47DA,坡道平面,1800000,21.40,地下二樓
RPXRMLRLPHPFFDE67DA,坡道平面,1750000,21.40,地下三樓
RPXRMLKKPHPFFDE86DA,坡道平面,0,20.71,地下二樓
RPQSMLRLPHPFFDE07DA,坡道平面,1750000,21.40,地下三樓
RPURMLRKPHPFFDE27DA,坡道平面,1750000,21.40,地下三樓
RPSRMLQJQHPFFDE96DA,升降平面,0,21.44,地下二樓
RPTNMLRJQHPFFDE76DA,坡道平面,1800000,21.40,地下二樓
RPVOMLSKQHPFFDE27DA,坡道平面,0,18.75,地下二樓
RPTOMLSKQHPFFDE07DA,坡道平面,0,25.70,地下二樓
RPTOMLSKQHPFFDE07DA,坡道平面,0,27.62,地下三樓
RPQPMLOJQHPFFEE09DA,坡道平面,0,19.86,地下一樓
RPOQMLKMPHPFFEE78DA,坡道平面,0,28.88,地下二樓
RPUOMLRKQHPFFDE07DA,坡道平面,1800000,21.40,地下一樓
RPXPMLKKQHPFFEE86DA,坡道平面,0,40.25,地下二樓
RPRRMLKKQHPFFEE09DA,坡道平面,0,28.96,地下五樓含以下
RPUNMLMKQHPFFEE56DA,坡道平面,0,41.94,地下三樓
RPUPMLNKQHPFFEE86DA,坡道平面,0,,地下一樓
RPTQMLOKQHPFFEE96DA,坡道平面,0,27.06,地下三樓
RPWOMLSKQHPFFEE47DA,升降機械,0,,地下一樓
RPVNMLKLQHPFFEE56DA,坡道機械,0,8.26,地下三樓
