鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
前金區,房地(土地+建物),高雄市前金區中華三路151~180號,132.0,商,,,1090716,土地1建物1車位0,全,3,透天厝,,加強磚造,0460701,282.05,0,0,0,無,無,無,42000,149,,0.0,0,,RPQNMLLLPHPFFAE38CC
鼓山區,房地(土地+建物),高雄市鼓山區昌盛路31~60號,262.0,商,,,1090721,土地1建物1車位0,全,2,透天厝,見其它登記事項,見其它登記事項,1071108,329.47,3,0,2,有,無,無,100000,304,,0.0,0,,RPUOMLLLPHPFFAE88CC
鼓山區,建物,高雄市鼓山區美術東六街151~180號,0.0,,,,1090721,土地0建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951101,96.35,2,2,1,有,無,有,15500,161,,0.0,0,,RPTPMLLLPHPFFAE88CC
前金區,建物,高雄市前金區中華三路211~240號,0.0,商,,,1090717,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840811,34.489999999999995,1,0,1,有,有,有,6500,188,,0.0,0,高雄市政府包租代管計畫,RPVPMLLLPHPFFAE09CC
前鎮區,房地(土地+建物),高雄市前鎮區中山二路61~90號,7.43,商,,,1090709,土地1建物1車位0,十九層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981224,104.22,2,2,1,有,有,有,23000,221,,0.0,0,,RPQOMLLLPHPFFCE68CC
楠梓區,房地(土地+建物),高雄市楠梓區德惠路1~30號,158.0,住,,,1090720,土地2建物1車位0,一層,1,店面(店鋪),商業用,見其它登記事項,0990517,107.96,0,0,0,無,無,無,102000,945,,0.0,0,,RPTOMLLLPHPFFEE56CC
左營區,房地(土地+建物)+車位,高雄市左營區自由二路331~360號,13.88,商,,,1090720,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860719,156.4,4,2,2,有,有,有,27000,173,坡道機械,10.16,0,,RPWOMLLLPHPFFEE86CC
左營區,建物,高雄市左營區文學路611巷31~60號,0.0,住,,,1090628,土地0建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1080806,94.13,2,1,2,有,有,有,22000,234,,0.0,0,,RPOPMLLLPHPFFEE78CC
三民區,建物,高雄市三民區河北二路121~150號,0.0,商,,,1090717,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0540513,60.69,2,1,1,有,無,有,8000,132,,0.0,0,,RPVOMLLLPHPFFDE66CC
三民區,房地(土地+建物),高雄市三民區三民街1~30號,62.32,商,,,1090630,土地1建物1車位0,見其他登記事項,5,店面(店鋪),住商用,鋼筋混凝土造,0871113,308.74,5,2,3,有,無,無,27000,87,,0.0,0,,RPQPMLLLPHPFFDE88CC
三民區,土地,中華段一小段1231~1260地號,83.0,商,,,1090714,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,18000,217,,0.0,0,含增建或未登記建物。;承租含未保存登記建物約27坪,RPXPMLLLPHPFFDE96CC
仁武區,土地,仁義段691~720地號,264.46,,鄉村區,乙種建築用地,1090706,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,15000,57,,0.0,0,含增建或未登記建物。;1.實際承租地坪約80坪.2.承租未保存登記建物約140坪,RPSPMLLLPHPFFIE96CC
鳳山區,房地(土地+建物),高雄市鳳山區鳳仁路91~120號,247.0,工,,,1090630,土地1建物1車位0,見其他登記事項,1,工廠,見其他登記事項,見其他登記事項,0931231,156.19,0,0,0,無,無,無,26000,,,0.0,0,含增建或未登記建物。;,RPOQMLLLPHPFFGE09CC
林園區,房地(土地+建物),高雄市林園區林園區東林西路195巷1~30號,85.0,商,,,1090607,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0640503,80.0,4,2,3,有,無,無,10000,125,,0.0,0,含增建或未登記建物。;,RPQOMLLLPHPFFLE07DC
仁武區,土地,澄德段31~60地號,1197.95,商,,,1090716,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,110000,92,,0.0,0,,RPTQMLMLPHPFFIE27CC
仁武區,建物,高雄市仁武區仁雄路61~90號,0.0,住,,,1090720,土地0建物2車位0,一層,1,店面(店鋪),見其他登記事項,見其他登記事項,1090326,238.12,0,0,0,無,無,無,113521,477,,0.0,0,,RPUQMLMLPHPFFIE37CC
燕巢區,建物,高雄市燕巢區橫山路91~120號,0.0,,特定農業區,甲種建築用地,1090721,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070820,29.62,1,0,1,有,無,有,5800,196,,0.0,0,面馬路採光好,RPSOMLMLPHPFFFE66CC
岡山區,房地(土地+建物),高雄市岡山區後興北路31~60號,79.0,商,,,1090703,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0770115,283.35,0,0,0,無,無,無,34055,120,,0.0,0,,RPTPMLMLPHPFFFE86CC
三民區,建物,高雄市三民區大連街181~210號,0.0,住,,,1090722,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0760508,77.61,3,1,2,有,無,有,12000,155,,0.0,0,,RPROMLMLPHPFFDE98CC
三民區,建物,高雄市三民區熱河一街391~420號,0.0,其他,,,1090702,土地0建物0車位0,見其他登記事項,5,店面(店鋪),住商用,鋼筋混凝土造,0930730,147.83,1,3,2,有,無,無,42000,284,,0.0,0,部分承租,RPRQMLMLPHPFFDE56CC
