編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPWOMLLLPHPFFEE86CC,坡道機械,0,10.16,地下二樓
RPRSMLMLPHPFFEE86CC,坡道平面,0,26.72,地下一樓
RPSPMLMLPHPFFCE09CC,坡道平面,0,,地下三樓
RPTOMLMLPHPFFBE98CC,坡道平面,0,,地下二樓
RPXNMLNLPHPFFAE66CC,坡道機械,0,,地下二樓
RPOQMLNLPHPFFDE98CC,升降機械,0,16.03,地下二樓
RPPQMLNLPHPFFDE09CC,坡道平面,0,20.14,地下一樓
RPOOMLOLPHPFFDE88CC,坡道平面,0,25.16,地下四樓
RPVNMLOLPHPFFAE56CC,坡道平面,0,20.19,地下三樓
RPVNMLOLPHPFFAE56CC,坡道平面,0,17.31,地下三樓
RPUNMLPLPHPFFEE96CC,坡道機械,0,,地下一樓
RPXNMLRLPHPFFFE57CC,坡道平面,0,.11,地下二樓
RPXOMLRLPHPFFEE57CC,坡道平面,0,16.52,地下二樓
RPUNMLRLPHPFFBE86CC,坡道平面,2000,12.65,地下三樓
RPXNMLRLPHPFFBE17CC,坡道平面,1800,12.65,地下四樓
RPVNMLRLPHPFFBE96CC,坡道平面,1900,14.65,地下四樓
RPVOMLRLPHPFFBE07CC,坡道平面,0,28.74,地下二樓
RPROMLRLPHPFFAE56CC,坡道平面,0,19.72,地下三樓
RPQOMLSLPHPFFBE66CC,坡道平面,0,22.11,地下二樓
RPQOMLSLPHPFFBE66CC,坡道平面,0,22.11,地下二樓
RPXQMLTLPHPFFEE97CC,坡道機械,0,,地下一樓
RPVOMLTLPHPFFCE37CC,坡道平面,0,27.73,地下二樓
RPPOMLKMPHPFFCE58CC,坡道平面,2500,34.75,地下四樓
RPTOMLKMPHPFFCE98CC,坡道機械,0,8.51,地下二樓
RPVNMLKMPHPFFAE88CC,升降機械,0,9.99,地下二樓
RPQQMLKMPHPFFEE09CC,坡道平面,0,20.67,地下三樓
RPVPMLLMPHPFFEE96CC,坡道平面,0,27.31,地下三樓
RPTPMLLMPHPFFEE76CC,坡道平面,0,27.31,地下二樓
RPTNMLLMPHPFFBE88CC,坡道平面,1700,12.65,地下四樓
RPVNMLLMPHPFFBE09CC,坡道平面,1800,13.32,地下三樓
RPXOMLLMPHPFFAE66CC,坡道平面,0,33.15,地下二樓
RPVPMLLMPHPFFAE56CC,坡道平面,0,28.39,地下二樓
RPUQMLLMPHPFFCE76CC,坡道平面,0,28.15,地下二樓
