鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新莊區,建物,新北市新莊區新北大道七段498巷1~30號,0.0,住,,,1090703,土地0建物1車位0,十二層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840713,144.52,3,2,2,有,有,有,16200,112,,0.0,0,此物件加入新北市社會住宅包租代管計畫，評定市價租金為20,898元，代租代管方案打九折為18,800元，屋主為愛心房東，以16,200元為簽約租金。,RPVNMLLLPHPFFBF09CC
林口區,房地(土地+建物),新北市林口區文化三路一段394巷1~30號,464.74,商,,,1090710,土地2建物2車位0,二層,2,其他,見其他登記事項,見其他登記事項,1030916,690.3900000000001,0,0,0,無,無,無,180000,261,,0.0,0,租賃範圍不含車位，且無法區分車位面積。;,RPROMLLLPHPFFBF78CC
汐止區,建物,新北市汐止區大同路二段331~360號,0.0,住,,,1090703,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0870123,74.59,3,2,1,有,無,有,15000,201,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為16694，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額15000。,RPOPMLLLPHPFFDF78CC
汐止區,房地(土地+建物),新北市汐止區新臺五路一段61~90號,2.7,工,,,1090630,土地3建物1車位0,十一層,21,廠辦,工商用,鋼造,0830330,31.5,0,0,0,無,有,無,12000,381,,0.0,0,分租戶,RPQPMLLLPHPFFDF98CC
汐止區,建物,新北市汐止區大同路三段601~630號,0.0,住,,,1090709,土地0建物1車位0,二十層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880201,46.129999999999995,1,1,1,有,有,有,7700,167,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為12471，因新北市計劃租金上限為22500，選擇代租方案須打九折且簽約租金無條件捨去至百分位，房東願以較低的金額出租，故實際租賃契約金額為7700。,RPVQMLLLPHPFFDF96CC
淡水區,建物,新北市淡水區淡金路16巷31~60號,0.0,住,,,1090702,土地0建物1車位1,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970430,178.8,3,2,2,有,有,有,19000,106,坡道平面,31.43,0,,RPXPMLLLPHPFFEF17CC
淡水區,建物,新北市淡水區新市一路三段1~30號,14.49,住,,,1090720,土地0建物1車位0,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990105,82.63,2,1,1,有,有,有,12500,151,,0.0,0,,RPSRMLLLPHPFFEF86CC
淡水區,建物,新北市淡水區新民街120巷45弄31~60號,0.0,,,,1090623,土地0建物1車位0,二層,8,華廈(10層含以下有電梯),住家用,鋼骨鋼筋混凝土造,0880811,136.72,3,2,2,有,有,有,16000,117,,0.0,0,租金含管理費,RPOSMLLLPHPFFEF56CC
三重區,建物,新北市三重區三賢街181~210號,0.0,住,,,1090720,土地0建物1車位0,一層,12,店面(店鋪),商業用,鋼筋混凝土造,0971125,218.32,0,0,0,無,有,有,56000,257,,0.0,0,,RPSPMLLLPHPFFGF86CC
三重區,建物,新北市三重區環河南路121~150號,0.0,住,,,1090716,土地0建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051018,88.1,2,1,1,有,有,有,26400,300,,0.0,0,,RPORMLMLPHPFFGF76CC
三重區,建物,新北市三重區環河南路121~150號,0.0,住,,,1090714,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051018,79.52000000000001,2,1,1,有,有,有,25800,324,,0.0,0,,RPPRMLMLPHPFFGF86CC
蘆洲區,建物,新北市蘆洲區永平街32巷33弄1~30號,0.0,住,,,1090714,土地0建物0車位0,五層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0770707,28.27,1,0,1,有,無,有,9000,318,,0.0,0,此為分租套房，第5層共分成4間，一間平均面積約為28.27平方公尺,RPSRMLMLPHPFFGF17CC
三重區,建物,新北市三重區環河南路121~150號,0.0,住,,,1090716,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051018,88.1,2,1,1,有,有,有,26500,301,,0.0,0,,RPOSMLMLPHPFFGF86CC
三重區,建物,新北市三重區中正南路1~30號,0.0,住,,,1090715,土地0建物0車位0,二層,20,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860111,34.29,1,0,1,有,無,有,9500,277,,0.0,0,此為分租套房，第2層共分成9間，一間平均面積約為34.29平方公尺,RPPSMLMLPHPFFGF96CC
三重區,房地(土地+建物),新北市三重區光復路一段68巷1~30號,79.86,工,,,1090630,土地2建物1車位0,二層,2,公寓(5樓含以下無電梯),住商用,加強磚造,,136.4,2,0,1,有,無,無,16000,117,,0.0,0,,RPRSMLMLPHPFFGF17CC
三峽區,房地(土地+建物)+車位,新北市三峽區國慶路151~180號,22.7,住,,,1090718,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951208,164.34,3,2,2,有,有,無,24000,146,坡道平面,38.32,0,,RPPPMLMLPHPFFIF86CC
淡水區,建物,新北市淡水區沙崙路一段31~60號,0.0,住,,,1090721,土地0建物1車位0,二十層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,67.23,2,1,1,有,有,有,10500,156,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為11667，因為新北市計畫租金上限為18000，選擇代租方案須打九折，實際租賃契約金額為10500。,RPXPMLMLPHPFFEF27CC
淡水區,建物,新北市淡水區新市三路二段361~390號,0.0,商,,,1090720,土地0建物1車位0,七層,29,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080822,81.93,2,1,1,有,有,有,12000,146,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為13333，因為新北市計畫租金上限為22500，選擇代租方案須打九折，實際租賃契約金額為12000。,RPOQMLMLPHPFFEF09CC
永和區,建物,新北市永和區秀朗路一段135巷1~30號,0.0,商,,,1090628,土地0建物1車位0,八層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0821015,100.9,3,2,2,有,有,無,27800,276,,0.0,0,,RPSQMLMLPHPFFHF17CC
永和區,建物,新北市永和區永亨路31~60號,0.0,住,,,1090630,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0630617,59.38,2,2,1,有,無,有,14500,244,,0.0,0,僅承租二樓,RPXRMLMLPHPFFHF77CC
中和區,建物,新北市中和區中原東街61~90號,0.0,住,,,1090710,土地0建物1車位0,二十二層,23,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1080523,94.2,2,1,1,有,無,無,29000,308,,0.0,0,,RPSSMLMLPHPFFHF37CC
汐止區,房地(土地+建物)+車位,新北市汐止區新臺五路一段61~90號,9.07,工,,,1090623,土地3建物1車位0,見其他登記事項,20,廠辦,工商用,鋼造,0830330,142.16,0,0,0,無,有,無,31000,218,坡道平面,31.51,0,分租物件,RPROMLMLPHPFFDF09CC
汐止區,房地(土地+建物),新北市汐止區仁愛路301~330號,25.3,住,,,1090718,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0771217,108.86,3,2,1,有,無,無,17000,156,,0.0,0,,RPUOMLMLPHPFFDF76CC
新店區,房地(土地+建物)+車位,新北市新店區中正路四維巷8弄1~30號,60.07,工,,,1090624,土地1建物1車位1,四層,5,廠辦,工業用,鋼筋混凝土造,0750319,267.21,0,0,0,無,無,無,56760,212,坡道平面,0.0,0,,RPRRMLMLPHPFFCF66CC
新店區,房地(土地+建物)+車位,新北市新店區中正路481~510號,85.78,工,,,1090513,土地1建物1車位1,二層,5,廠辦,工業用,鋼筋混凝土造,0761021,206.09,0,0,0,無,無,無,39732,193,坡道平面,0.0,0,分租206.09平方公尺,RPTRMLMLPHPFFCF86CC
新店區,房地(土地+建物),新北市新店區中正路481~510號,72.99,其他,,,1090522,土地1建物1車位0,一層,5,廠辦,工業用,鋼筋混凝土造,0761021,152.49,0,0,0,無,無,無,45408,298,,0.0,0,分租152.49平方公尺,RPURMLMLPHPFFCF96CC
