編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPXPMLLLPHPFFEF17CC,坡道平面,0,31.43,
RPPPMLMLPHPFFIF86CC,坡道平面,0,38.32,
RPROMLMLPHPFFDF09CC,坡道平面,0,31.51,
RPRRMLMLPHPFFCF66CC,坡道平面,0,,
RPVRMLMLPHPFFCF07CC,坡道平面,0,,
RPTRMLMLPHPFFCF86CC,坡道平面,0,,
RPSWMLMLPHPFFBF17CC,升降機械,0,12.45,
RPQNNLMLPHPFFBF78CC,坡道平面,0,33.64,
RPTWMLMLPHPFFBF27CC,坡道平面,0,,
RPVSMLMLPHPFFAF96CC,坡道平面,0,39.69,
RPSONLMLPHPFFBF09CC,坡道平面,0,22.85,
RPTONLMLPHPFFBF56CC,坡道平面,0,41.78,
RPUNNLMLPHPFFBF56CC,坡道平面,0,24.18,
RPPONLMLPHPFFBF78CC,坡道平面,0,32.64,
RPUONLMLPHPFFBF66CC,坡道平面,0,47.58,
RPWONLMLPHPFFBF86CC,坡道平面,0,35.25,
RPTRMLNLPHPFFBF86CC,坡道機械,0,12.99,
RPPOMLNLPHPFFEF09CC,坡道平面,0,47.62,
RPUOMLNLPHPFFEF96CC,坡道平面,0,22.84,
RPVNNLNLPHPFFAF66CC,坡道平面,0,21.02,
RPPPMLNLPHPFFEF56CC,坡道平面,0,42.94,
RPSRMLNLPHPFFCF86CC,坡道平面,0,,
RPXOMLNLPHPFFEF27CC,坡道平面,0,26.13,
RPRPMLNLPHPFFEF76CC,坡道平面,0,28.17,
RPXPMLNLPHPFFEF37CC,坡道平面,0,40.01,
RPPRMLNLPHPFFEF96EC,坡道平面,0,30.10,
RPSRMLNLPHPFFEF27EC,坡道平面,0,30.10,
RPUPMLNLPHPFFEF07CC,坡道平面,0,37.38,
RPURMLNLPHPFFEF47EC,坡道平面,0,30.10,
RPVRMLNLPHPFFEF57EC,坡道平面,0,30.10,
RPSRMLOLPHPFFHF67EC,坡道機械,0,15.05,
RPURMLOLPHPFFEF37CC,坡道平面,0,30.10,
RPTRMLOLPHPFFEF27CC,坡道平面,0,14.91,
RPTSMLOLPHPFFEF37CC,坡道平面,0,30.58,
RPQQMLOLPHPFFHF17CC,坡道平面,4500,35.52,
RPUQMLOLPHPFFBF96CC,坡道平面,0,,
RPUQMLOLPHPFFBF96CC,坡道平面,0,,
RPQNMLPLPHPFFBF98CC,坡道平面,3000,19.29,
RPVOMLOLPHPFFCF96CC,坡道平面,4000,,
RPVPMLRLPHPFFEF57CC,坡道平面,0,37.77,
RPRQMLOLPHPFFDF86CC,坡道平面,0,23.44,
RPVUMLRLPHPFFBF77CC,坡道平面,0,21.52,
RPPNMLRLPHPFFDF66CC,坡道平面,0,31.05,
RPPNMLRLPHPFFDF66CC,坡道平面,0,31.05,
RPXQMLSLPHPFFGF18CC,升降平面,0,43.91,
RPQUMLSLPHPFFGF87CC,坡道平面,1500,19.24,
RPQUMLSLPHPFFGF87CC,坡道平面,1500,19.24,
RPXNMLSLPHPFFIF08CC,坡道平面,0,38.32,
RPWOMLSLPHPFFAF27CC,坡道平面,0,,
RPVOMLSLPHPFFBF27CC,坡道平面,0,22.73,
RPVOMLSLPHPFFBF27CC,坡道平面,0,22.73,
RPPPMLSLPHPFFDF96CC,坡道平面,0,42.94,
RPOQMLSLPHPFFBF76CC,坡道機械,2500,10.31,
RPOUMLSLPHPFFBF17CC,坡道平面,2500,33.05,
RPWTMLSLPHPFFBF87CC,坡道平面,3000,20.08,
RPUPMLTLPHPFFBF37CC,坡道平面,0,44.32,
RPRWMLTLPHPFFBF77CC,坡道平面,0,,
RPRNMLTLPHPFFIF57CC,坡道平面,0,33.89,
RPRNMLTLPHPFFIF57CC,坡道平面,0,33.89,
RPUQMLTLPHPFFGF97CC,坡道機械,0,,
RPUNMLKMPHPFFAF88CC,坡道平面,0,40.70,
RPPQMLKMPHPFFEF09CC,坡道平面,0,30.46,
RPPPMLKMPHPFFEF98CC,坡道機械,0,8.44,
RPXSMLKMPHPFFEF47CC,坡道平面,0,36.08,
RPWRMLLMPHPFFEF37CC,坡道平面,0,,
