鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
冬山鄉,房地(土地+建物),安農三路6巷36弄1~30號,111.34,,特定農業區,甲種建築用地,1090804,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1090522,183.07,4,2,5,有,無,10300000,56263,,0.0,0,,RPQNMLMKQHPFFAG58DA,0.0,0.0,0.0,無
蘇澳鎮,土地,思村段271~300地號,127.69,其他,,,1090731,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2650000,20753,,0.0,0,,RPXNMLOKQHPFFAG86DA,0.0,0.0,0.0,無
蘇澳鎮,房地(土地+建物),海山東路211~240號,101.28,其他,,,1090722,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060103,212.08,4,2,5,有,無,8400000,39608,,0.0,0,,RPQNMLTKQHPFFAG66DA,0.0,0.0,0.0,無
五結鄉,土地,利工段151~180地號,38313.43,,工業區,丁種建築用地,1090813,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,359284110,9377,,0.0,0,,RPROMLKLQHPFFAG68DA,0.0,0.0,0.0,無
宜蘭市,房地(土地+建物),中山路五段197巷39弄1~30號,140.06,其他,,,1090803,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051111,252.12,4,3,4,有,無,15500000,61479,,0.0,0,採光罩其他增建;,RPQOMLLKQHPFFBG68DA,0.0,0.0,0.0,有
頭城鎮,房地(土地+建物),朝陽路1~30號,24.7,其他,,,1090705,土地1建物1車位0,二十八層,二十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1061221,97.6,0,0,0,無,有,10720000,109836,,0.0,0,,RPSOMLNKQHPFFBG09DA,0.0,0.0,0.0,有
員山鄉,土地,外員段841~870地號,59.52,其他,,,1090713,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,144000,2419,,0.0,0,包含公共設施保留地用地;,RPUOMLNKQHPFFBG66DA,0.0,0.0,0.0,無
宜蘭市,房地(土地+建物),大福路二段241~270號,106.89,其他,,,1090609,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0751229,172.49,4,2,3,有,無,5000000,28987,,0.0,0,父女關係親友、員工、共有人或其他特殊關係間之交易;,RPOOMLSKQHPFFBG56DA,0.0,0.0,0.0,無
員山鄉,房地(土地+建物),永廣路31~60號,43.84,,鄉村區,乙種建築用地,1090716,土地3建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840921,110.96000000000001,3,2,2,有,無,3230000,29110,,0.0,0,,RPQNMLKLQHPFFBG58DA,0.0,0.0,0.0,有
