編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPROMLKLQHPFFAG68DA,利工段,38313.43,非都市：工業區 ; 非都市編定：丁種建築用地,全筆移轉
RPOOMLSKQHPFFBG56DA,新生段,106.89,都市：其他,全筆移轉
RPUOMLNKQHPFFBG66DA,外員段,59.52,都市：其他,持分移轉
RPQNMLTKQHPFFAG66DA,永愛段,101.28,都市：其他,全筆移轉
RPXNMLOKQHPFFAG86DA,思村段,127.69,都市：其他,全筆移轉
RPSOMLNKQHPFFBG09DA,烏石港段,24.70,都市：其他,持分移轉
RPQOMLLKQHPFFBG68DA,新生段,6.62,都市：其他,持分移轉
RPQOMLLKQHPFFBG68DA,新生段,133.44,都市：其他,全筆移轉
RPSNMLKLQHPFFBG78DA,新興二段,45.18,都市：其他,持分移轉
RPQNMLKLQHPFFBG58DA,永結段,18.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPQNMLKLQHPFFBG58DA,永結段,3.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPQNMLKLQHPFFBG58DA,永結段,21.81,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPOOMLTKQHPFFAG66EA,蘇港段,44.35,都市：其他,全筆移轉
RPQNMLMKQHPFFAG58DA,柯林一段,4.77,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPQNMLMKQHPFFAG58DA,柯林一段,91.82,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPQNMLMKQHPFFAG58DA,柯林一段,.34,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPQNMLMKQHPFFAG58DA,柯林一段,14.40,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPUNMLKLQHPFFBG98DA,宜福段,106.20,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPWNMLKLQHPFFBG56DA,和平段,30.22,都市：其他,持分移轉
SPOOMLTKQHPFFAG76EA,蘇港段,25.55,都市：其他,全筆移轉
RPPOMLTKQHPFFBG86EA,珍子滿力段擺厘小段,132.00,都市：其他,全筆移轉
RPTOMLTKQHPFFBG27EA,乾門一段,28.34,都市：其他,持分移轉
RPPOMLKLQHPFFBG68EA,港口段,1713.02,都市：其他,持分移轉
RPQOMLTKQHPFFBG96EA,珍子滿力段擺厘小段,132.00,都市：其他,全筆移轉
RPSOMLKLQHPFFAG88EA,武淵二段,3078.40,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPSNMLTKQHPFFBG96DA,新公園段,61.01,都市：其他,持分移轉
RPVNMLLLQHPFFBG66EA,烏石港段,582.44,都市：其他,全筆移轉
RPVNMLKLQHPFFBG09DA,新興二段,16.24,都市：其他,持分移轉
RPVNMLKLQHPFFBG09DA,新興二段,82.72,都市：其他,持分移轉
RPVNMLKLQHPFFBG09DA,新興二段,.04,都市：其他,持分移轉
RPPNMLKLQHPFFBG58EA,金六結段金結小段,8.60,都市：其他,持分移轉
RPPNMLKLQHPFFBG58EA,金六結段金結小段,.48,都市：其他,持分移轉
RPXNMLTKQHPFFBG47DA,阿蘭城段,485.33,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPVOMLTKQHPFFBG47EA,女中段,45.47,都市：其他,全筆移轉
RPVOMLTKQHPFFBG47EA,女中段,136.73,都市：其他,全筆移轉
RPROMLKLQHPFFBG78DA,五峰段,457.24,都市：其他,全筆移轉
RPTOMLSKQHPFFBG07DA,東德段,2886.30,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPTNMLLLQHPFFBG98DA,新金面段,18.33,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPTNMLLLQHPFFBG98DA,新金面段,53.88,非都市：特定農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPTNMLLLQHPFFBG98DA,新金面段,65.83,非都市：特定農業區 ; 非都市編定：農牧用地,持分移轉
RPTNMLLLQHPFFBG98DA,新金面段,.07,非都市：特定農業區 ; 非都市編定：水利用地,持分移轉
RPSOMLRKQHPFFBG86DA,五峰段,11.99,都市：其他,持分移轉
RPQOMLKLQHPFFBG68DA,珍子滿力段擺厘小段,1.00,都市：其他,全筆移轉
RPQOMLKLQHPFFBG68DA,珍子滿力段擺厘小段,1.00,都市：其他,全筆移轉
RPQOMLKLQHPFFBG68DA,珍子滿力段擺厘小段,96.00,都市：其他,全筆移轉
RPQOMLKLQHPFFBG68DA,珍子滿力段擺厘小段,4.00,都市：其他,全筆移轉
RPRNMLKLQHPFFAG58DA,文化段,48.58,都市：其他,持分移轉
RPRNMLKLQHPFFAG58DA,文化段,.51,都市：其他,持分移轉
RPSOMLTKQHPFFAG96DA,北成段,81.00,都市：其他,全筆移轉
RPXNMLKLQHPFFAG56DA,田心段,780.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPQNMLKLQHPFFAG48DA,文化段,41.49,都市：其他,持分移轉
RPQNMLKLQHPFFAG48DA,文化段,.44,都市：其他,持分移轉
RPVOMLKLQHPFFAG09DA,淋漓坑段,225.26,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPVOMLKLQHPFFAG09DA,淋漓坑段,225.26,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPSNMLKLQHPFFAG68DA,文化段,41.49,都市：其他,持分移轉
RPSNMLKLQHPFFAG68DA,文化段,.44,都市：其他,持分移轉
RPRNMLTKQHPFFAG76DA,柯林二段,1685.11,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPRNMLTKQHPFFAG76DA,柯林二段,2211.05,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPPNMLLLPHPFFAG38DA,新西安段,61.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPPNMLLLPHPFFAG38DA,新西安段,61.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPPNMLLLPHPFFAG38DA,新西安段,61.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPPOMLNJPHPFFAG48DA,慶安段,317.93,都市：其他,持分移轉
RPPOMLNJPHPFFAG48DA,慶安段,74.58,都市：其他,持分移轉
RPPOMLNJPHPFFAG48DA,慶安段,3.60,都市：其他,持分移轉
RPPOMLNJPHPFFAG48DA,慶安段,45.63,都市：其他,持分移轉
RPPOMLNJPHPFFAG48DA,慶安段,55.78,都市：其他,持分移轉
RPPOMLNJPHPFFAG48DA,慶安段,13.52,都市：其他,持分移轉
RPPOMLNJPHPFFAG48DA,慶安段,938.32,都市：其他,持分移轉
RPPOMLNJPHPFFAG48DA,慶安段,140.88,都市：其他,持分移轉
RPPOMLNJPHPFFAG48DA,慶安段,49.00,都市：其他,持分移轉
RPPOMLNJPHPFFAG48DA,慶安段,158.04,都市：其他,持分移轉
RPTOMLRJQHPFFAG76DA,大吉一段,.72,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPTOMLRJQHPFFAG76DA,大吉一段,40.99,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPTOMLRJQHPFFAG76DA,大吉一段,.14,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPTOMLRJQHPFFAG76DA,大吉一段,5.30,非都市：特定農業區 ; 非都市編定：農牧用地,持分移轉
RPWOMLRJQHPFFAG07DA,大吉一段,21.61,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPWOMLRJQHPFFAG07DA,大吉一段,.72,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
