編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLKLQHPFFBG78DA,一樓平面,0,,一樓
RPWNMLKLQHPFFBG56DA,坡道平面,0,,地下二樓
RPRNMLKLQHPFFAG58DA,一樓平面,0,,一樓
RPQNMLKLQHPFFAG48DA,一樓平面,0,,一樓
RPSNMLKLQHPFFAG68DA,一樓平面,0,,一樓
RPWNMLTKQHPFFAG27DA,一樓平面,0,,一樓
RPPNMLKLQHPFFAG38DA,一樓平面,0,,一樓
RPSNMLLLQHPFFAG78DA,坡道平面,1100000,37.22,地下一樓
RPWNMLPLQHPFFBG17EA,坡道平面,0,,地下一樓
RPXPMLOLQHPFFAG17DA,坡道平面,0,,地下一樓
RPPNMLLLQHPFFAG48DA,一樓平面,0,,一樓
RPROMLQLQHPFFBG76DA,坡道平面,0,,地下二樓
RPTOMLQLQHPFFBG96DA,坡道平面,0,,地下一樓
RPQNMLPLQHPFFAG98DA,坡道機械,0,,地下一樓
RPSNMLNKQHPFFAG88DA,坡道平面,0,,地下一樓
