編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPVPMLLLPHPFFAG66CC,國華段,13.80,都市：住,全筆移轉
RPTNMLRLPHPFFBG96CC,拔雅林五段,.00,都市：住,全筆移轉
RPPNMLTLPHPFFBG76CC,金六結段七結小段,.00,都市：住,全筆移轉
RPTOMLKMPHPFFBG09CC,健康段,.00,都市：商,全筆移轉
RPUNMLLLPHPFFBG09CC,金泰段,.00,都市：住,全筆移轉
RPUNMLOLPHPFFAG66CC,蘇港段,74.84,都市：商,全筆移轉
RPUNMLOLPHPFFAG66CC,蘇港段,.47,都市：商,全筆移轉
RPOQMLLLPHPFFAG68CC,維揚段,23.96,都市：住,全筆移轉
RPSNMLKMPHPFFBG88CC,黎明段,47.93,都市：住,全筆移轉
