編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOQMLLLPHPFFAH68DA,坡道平面,1700000,31.87,地下一樓
RPTTMLLLPHPFFAH86DA,坡道平面,1600000,31.35,地下二樓
RPTTMLTLPHPFFAH67DA,坡道平面,1600000,34.64,地下一樓
RPTQMLLLPHPFFAH56DA,坡道平面,1700000,31.87,地下一樓
RPOPMLKMPHPFFAH58DA,坡道平面,1600000,34.64,地下一樓
RPTOMLRJQHPFFAH86DA,坡道平面,0,27.20,地下一樓
RPTOMLRJQHPFFAH86DA,坡道平面,0,27.20,地下二樓
RPXPMLLLPHPFFAH86DA,坡道平面,1500000,31.87,地下三樓
RPXUMLLLPHPFFAH37DA,坡道平面,1600000,31.87,地下二樓
RPSTMLOJQHPFFAH96DA,坡道平面,0,,地下一樓
RPSTMLOJQHPFFAH96DA,坡道平面,0,,地下一樓
RPPQMLOKQHPFFAH09DA,坡道平面,2200000,27.20,地下三樓
RPPSMLNKQHPFFAH56DA,坡道平面,0,,地下二樓
RPTNMLMKQHPFFAH98DA,坡道平面,0,35.02,地下二樓
RPPNMLTKQHPFFAH66DA,坡道平面,0,,地下一樓
RPXNMLTKQHPFFAH47DA,坡道平面,0,35.58,地下二樓
RPORMLTKQHPFFAH96DA,坡道平面,1600000,33.50,地下三樓
RPUTMLLMPHPFFBH17DA,坡道平面,1300000,33.59,地下一樓
RPWQMLKMPHPFFBH96DA,坡道平面,1300000,33.59,地下一樓
RPPPMLTKQHPFFAH86DA,坡道平面,0,,地下一樓
RPQUMLLMPHPFFBH86DA,坡道平面,1250000,31.44,地下一樓
RPUTMLNJQHPFFBH17DA,坡道平面,1200000,33.59,地下二樓
RPXNNLNJQHPFFBH96DA,坡道平面,1200000,33.59,地下二樓
RPPRNLNJQHPFFBH56DA,坡道平面,1200000,33.59,地下二樓
RPWPMLQJQHPFFBH27DA,坡道平面,1100000,33.59,地下三樓
RPVPMLQJQHPFFBH17DA,坡道平面,1200000,33.59,地下二樓
RPXPMLQJQHPFFBH37DA,坡道平面,1150000,31.44,地下二樓
RPWOMLQJQHPFFBH17DA,坡道平面,1100000,33.59,地下三樓
RPRPMLQJQHPFFBH76DA,坡道平面,1050000,31.44,地下三樓
RPOQMLQJQHPFFBH56DA,坡道平面,1300000,33.59,地下一樓
RPRQMLQJQHPFFBH86DA,坡道平面,1200000,33.59,地下二樓
