鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新屋區,房地(土地+建物)+車位,高洲段1231~1260地號,28.78,住,,,1081205,土地1建物1車位1,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.65,3,2,2,有,無,6080000,38522,坡道平面,29.97,1200000,,RPSOMLMLPHPFFDH66CB
新屋區,房地(土地+建物)+車位,高洲段1231~1260地號,28.5,住,,,1081120,土地1建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.96,3,2,2,有,無,6250000,40403,坡道平面,29.97,1200000,,RPUOMLMLPHPFFDH86CB
新屋區,房地(土地+建物)+車位,高洲段1231~1260地號,28.5,住,,,1090109,土地1建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.9,3,2,2,有,無,6200000,40003,坡道平面,28.91,1200000,,RPVOMLMLPHPFFDH96CB
新屋區,房地(土地+建物)+車位,高洲段1231~1260地號,28.5,住,,,1090115,土地1建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.96,3,2,2,有,無,6280000,40643,坡道平面,29.97,1200000,,RPXOMLMLPHPFFDH17CB
新屋區,房地(土地+建物)+車位,高洲段1231~1260地號,28.5,住,,,1081205,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.96,3,2,2,有,無,6380000,40643,坡道平面,29.97,1300000,,RPOPMLMLPHPFFDH98CB
新屋區,房地(土地+建物)+車位,高洲段1231~1260地號,28.5,住,,,1081107,土地1建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.96,3,2,2,有,無,6360000,41283,坡道平面,29.97,1200000,,RPPPMLMLPHPFFDH09CB
新屋區,房地(土地+建物)+車位,高洲段1231~1260地號,28.5,住,,,1081120,土地1建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.96,3,2,2,有,無,6450000,42003,坡道平面,29.97,1200000,,RPQPMLMLPHPFFDH56CB
新屋區,房地(土地+建物)+車位,高洲段1231~1260地號,28.5,住,,,1080815,土地1建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.96,3,2,2,有,無,6380000,41443,坡道平面,29.97,1200000,,RPRPMLMLPHPFFDH66CB
新屋區,房地(土地+建物)+車位,高洲段1231~1260地號,28.5,住,,,1081225,土地1建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.96,3,2,2,有,無,6750000,43603,坡道平面,29.97,1300000,,RPSPMLMLPHPFFDH76CB
新屋區,房地(土地+建物)+車位,高洲段1231~1260地號,27.66,住,,,1090312,土地1建物1車位1,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.75,3,2,2,有,無,6500000,42700,坡道平面,29.97,1300000,,RPTPMLMLPHPFFDH86CB
新屋區,房地(土地+建物)+車位,高洲段1231~1260地號,27.66,住,,,1090109,土地1建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.75,3,2,2,有,無,6180000,40893,坡道平面,29.97,1200000,,RPUPMLMLPHPFFDH96CB
新屋區,房地(土地+建物)+車位,高洲段1231~1260地號,27.66,住,,,1081205,土地1建物1車位1,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.4,3,2,2,有,無,6080000,39860,坡道平面,29.97,1200000,,RPWPMLMLPHPFFDH17CB
新屋區,房地(土地+建物)+車位,高洲段1231~1260地號,27.66,住,,,1090212,土地1建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.4,3,2,2,有,無,6450000,42065,坡道平面,29.97,1300000,,RPXPMLMLPHPFFDH27CB
新屋區,房地(土地+建物)+車位,高洲段1231~1260地號,27.66,住,,,1090116,土地1建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.4,3,2,2,有,無,6390000,41575,坡道平面,29.97,1300000,,RPOQMLMLPHPFFDH09CB
新屋區,房地(土地+建物)+車位,高洲段1231~1260地號,27.66,住,,,1090212,土地1建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.4,3,2,2,有,無,6430000,41901,坡道平面,29.97,1300000,,RPPQMLMLPHPFFDH56CB
新屋區,房地(土地+建物)+車位,高洲段1231~1260地號,27.66,住,,,1090116,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.4,3,2,2,有,無,6480000,42310,坡道平面,29.97,1300000,,RPQQMLMLPHPFFDH66CB
