鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
桃園區,建物,桃園市桃園區慈光街121~150號,0.0,住,,,1090529,土地0建物1車位0,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850202,113.27,4,2,2,有,有,有,15300,135,,0.0,0,社會住宅,RPPNNLLLPHPFFAH68CC
桃園區,房地(土地+建物)+車位,桃園市桃園區民光東路241~270號,8.37,住,,,1090713,土地1建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870506,104.85,2,2,1,有,有,有,14800,141,坡道平面,0.0,2500,,RPOQNLLLPHPFFAH88CC
中壢區,建物,桃園市中壢區福州二街511~540號,0.0,住,,,1090527,土地0建物1車位1,六層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020115,148.82,3,1,2,有,有,有,18000,121,坡道平面,0.0,0,社會住宅租賃車位一個,RPSPMLLLPHPFFBH56CC
中壢區,建物,桃園市中壢區福州二街511~540號,0.0,住,,,1090527,土地0建物1車位1,六層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020115,148.82,3,1,2,有,有,有,18000,121,坡道平面,0.0,0,社會住宅租賃車位一個,RPTPMLLLPHPFFBH66CC
中壢區,建物,桃園市中壢區實踐路31~60號,0.0,住,,,1090629,土地0建物0車位0,三層,4,套房(1房1廳1衛),住家用,鋼筋混凝土造,0710826,22.93,1,0,1,有,無,有,14000,611,,0.0,0,部分承租，公設面積無法分算。,RPVQMLLLPHPFFBH96CC
中壢區,建物,桃園市中壢區後寮二路201巷1~30號,0.0,其他,,,1090528,土地0建物1車位0,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0911230,83.99000000000001,3,2,2,有,有,有,10000,119,,0.0,0,社會住宅,RPPUMLLLPHPFFBH76CC
中壢區,房地(土地+建物)+車位,桃園市中壢區陸光一街1~30號,23.63,住,,,1090708,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0911114,179.35000000000002,4,2,2,有,有,有,16400,91,坡道平面,0.0,2000,,RPQUMLLLPHPFFBH86CC
觀音區,建物,桃園市觀音區民權路61~90號,0.0,,工業區,丁種建築用地,1090522,土地0建物1車位0,一層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080603,56.71,2,2,1,有,有,有,12000,212,,0.0,0,社會住宅,RPSUMLLLPHPFFBH07CC
中壢區,建物,桃園市中壢區延平路331~360號,0.0,商,,,1090704,土地0建物1車位0,十二層,16,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820908,45.83,1,1,1,有,有,有,9800,214,,0.0,0,,RPOWMLLLPHPFFBH86CC
中壢區,建物,桃園市中壢區晉元路337巷91~120號,0.0,住,,,1090706,土地0建物1車位0,見其他登記事項,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0811209,103.0,3,2,2,有,有,無,10000,97,,0.0,0,,RPQWMLLLPHPFFBH07CC
中壢區,建物,桃園市中壢區高鐵南路二段361~390號,0.0,商,,,1090529,土地0建物1車位0,十八層,25,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1080329,102.59,1,1,1,有,有,有,18000,175,,0.0,0,社會住宅,RPTWMLLLPHPFFBH37CC
楊梅區,建物,桃園市楊梅區新農街561巷61~90號,0.0,住,,,1090526,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0860217,71.6,2,2,1,有,無,有,10300,144,,0.0,0,社會住宅,RPQPMLLLPHPFFDH56CC
楊梅區,建物,桃園市楊梅區湖山街28巷1~30號,0.0,,山坡地保育區,丙種建築用地,1090630,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0851012,86.2,3,2,2,有,無,無,8800,102,,0.0,0,,RPVPMLLLPHPFFDH07CC
龍潭區,建物,桃園市龍潭區百年二街31~60號,0.0,,鄉村區,乙種建築用地,1090420,土地0建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860626,204.46,3,2,2,有,有,有,13000,64,,0.0,0,社會住宅,RPXOMLLLPHPFFCH07CC
大園區,建物,桃園市大園區長興街1~30號,0.0,住,,,1090429,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701229,79.63,2,2,1,有,無,有,12000,151,,0.0,0,社會住宅,RPXQMLLLPHPFFEH47CC
蘆竹區,建物,桃園市蘆竹區南順四街1巷1~30號,0.0,住,,,1090526,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880126,72.29,2,1,1,有,無,有,12900,178,,0.0,0,社會住宅,RPRRMLLLPHPFFEH96CC
八德區,建物,桃園市八德區仁愛街8巷1~30號,0.0,住,,,1090528,土地0建物1車位0,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881125,139.96,3,2,2,有,有,有,17600,126,,0.0,0,社會住宅,RPRNMLLLPHPFFFH66CC
平鎮區,房地(土地+建物)+車位,桃園市平鎮區南京路102巷1~30號,18.55,住,,,1090717,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041006,135.87,2,2,1,有,有,有,14800,109,坡道平面,0.0,1700,,RPVOMLLLPHPFFGH27CC
平鎮區,建物,桃園市平鎮區新富街70巷8弄1~30號,0.0,住,,,1090705,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0860116,180.24,4,2,2,有,無,無,15000,83,,0.0,0,,RPPPMLLLPHPFFGH76CC
龜山區,房地(土地+建物),桃園市龜山區幸福十一街1~30號,14.57,,鄉村區,乙種建築用地,1090720,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700407,72.0,2,1,1,有,無,有,11000,153,,0.0,0,,RPQNMLLLPHPFFHH76CC
龜山區,房地(土地+建物),桃園市龜山區復興二路78巷61~90號,12.12,商,,,1090720,土地1建物1車位0,九層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0890830,64.03,1,1,2,有,有,有,17000,266,,0.0,0,含管理費、稅金或水電等費用。;,RPOOMLLLPHPFFHH66CC
蘆竹區,房地(土地+建物),桃園市蘆竹區海山路一段181~210號,244.0,,鄉村區,乙種建築用地,1090715,土地2建物1車位0,全,2,透天厝,住家用,加強磚造,0731130,259.9,6,1,3,有,無,無,88000,339,,0.0,0,含增建或未登記建物。;,RPSQMLLLPHPFFEH07DC
大園區,房地(土地+建物),桃園市大園區自強街31~60號,138.0,,鄉村區,乙種建築用地,1090715,土地1建物1車位0,全,2,透天厝,住商用,加強磚造,0690325,132.19,4,1,2,有,無,有,18000,136,,0.0,0,含增建或未登記建物。;,RPWQMLLLPHPFFEH47DC
龜山區,房地(土地+建物),桃園市龜山區大同路391~420號,104.14,,山坡地保育區,丙種建築用地,1090717,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0710510,217.07,7,2,4,有,無,無,26000,120,,0.0,0,,RPRNMLLLPHPFFHH96DC
龜山區,房地(土地+建物),桃園市龜山區興華一街272巷1~30號,675.0,住,,,1090720,土地1建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1071225,71.07,1,1,1,有,有,有,15000,211,,0.0,0,含管理費、稅金或水電等費用。;,RPSNMLLLPHPFFHH07DC
龜山區,房地(土地+建物),桃園市龜山區興華一街272巷1~30號,675.0,住,,,1090720,土地1建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1071225,71.07,1,1,1,有,有,有,14000,197,,0.0,0,含管理費、稅金或水電等費用。;,RPTNMLLLPHPFFHH17DC
平鎮區,房地(土地+建物),桃園市平鎮區中豐路1~30號,202.34,住,,,1090715,土地2建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0700106,480.81,0,0,0,無,無,有,42000,87,,0.0,0,,RPSPMLMLPHPFFGH27DC
龜山區,建物,桃園市龜山區興華一街272巷1~30號,0.0,住,,,1090717,土地0建物1車位0,四層,6,套房(1房1廳1衛),住家用,鋼筋混凝土造,1071225,26.44,1,1,1,有,無,有,14500,548,,0.0,0,,RPTNMLMLPHPFFHH17CC
龜山區,建物,桃園市龜山區陸光路61~90號,0.0,其他,,,1090609,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0940205,178.25,3,2,2,有,有,有,16400,92,,0.0,0,社會住宅,RPWOMLMLPHPFFHH57CC
龜山區,房地(土地+建物)+車位,桃園市龜山區龍新街61~90號,31.09,住,,,1090630,土地1建物1車位1,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040618,172.34,3,2,2,有,有,無,22000,128,坡道平面,28.9,0,含管理費、稅金或水電等費用。;,RPQPMLMLPHPFFHH07CC
平鎮區,建物,桃園市平鎮區廣德街211~240號,0.0,住,,,1090630,土地0建物1車位0,三層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0891025,105.94,3,2,2,有,有,有,14000,132,,0.0,0,社會住宅,RPPQMLMLPHPFFGH96CC
八德區,建物,桃園市八德區介壽路二段1233巷121~150號,0.0,,鄉村區,乙種建築用地,1090410,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0821018,56.98,3,2,2,有,無,有,9500,167,,0.0,0,社會住宅,RPUNMLMLPHPFFFH07CC
八德區,建物,桃園市八德區高城八街91~120號,0.0,商,,,1090606,土地0建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950329,126.71000000000001,2,2,1,有,有,有,13500,107,坡道平面,0.0,0,社會住宅租賃車位一個,RPQPMLMLPHPFFFH86CC
八德區,建物,桃園市八德區廣福路20巷27弄1~30號,0.0,商,,,1090715,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750529,94.57000000000001,3,2,2,有,無,有,11000,116,,0.0,0,社會住宅,RPTPMLMLPHPFFFH17CC
八德區,建物,桃園市八德區山下街1~30號,0.0,,鄉村區,乙種建築用地,1090721,土地0建物1車位0,三層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070108,98.94,2,2,1,有,有,有,13000,131,,0.0,0,,RPUPMLMLPHPFFFH27CC
大溪區,建物,桃園市大溪區大鶯路60巷181~210號,0.0,,特定農業區,甲種建築用地,1090528,土地0建物1車位0,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850626,74.11,2,1,1,有,有,有,8500,115,,0.0,0,社會住宅,RPVNMLMLPHPFFCH86CC
楊梅區,建物,桃園市楊梅區信義街61~90號,0.0,商,,,1090601,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0400601,147.6,4,2,2,有,無,有,15000,102,,0.0,0,社會住宅,RPUVMLMLPHPFFDH67CC
楊梅區,建物,桃園市楊梅區青山五街10巷1~30號,0.0,住,,,1090601,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841107,77.63,2,2,1,有,無,有,8000,103,,0.0,0,社會住宅,RPTWMLMLPHPFFDH67CC
中壢區,建物,桃園市中壢區松義二街1~30號,0.0,住,,,1090717,土地0建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060519,100.44999999999999,2,2,1,有,有,有,19000,189,坡道平面,38.96,0,,RPVRMLMLPHPFFBH17CC
中壢區,建物,桃園市中壢區南園二路1巷24弄1~30號,0.0,住,,,1090606,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700610,74.38,3,2,1,有,無,有,8000,108,,0.0,0,社會住宅,RPOONLMLPHPFFBH88CC
