編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOOMLTKQHPFFAI76DA,一樓平面,0,,一樓
RPPOMLTKQHPFFAI86DA,一樓平面,0,,一樓
RPROMLKLQHPFFAI88DA,坡道平面,0,,地下一樓
RPRNMLLKQHPFFAI78DA,坡道平面,0,,地下一樓
RPUNMLLLQHPFFAI56DA,坡道平面,500000,15.00,地下一樓
RPVNMLLLQHPFFAI66DA,坡道機械,0,,地下一樓
RPSNMLPLQHPFFAI76DA,坡道平面,0,,地下一樓
RPXNMLPLQHPFFAI37EA,坡道平面,0,,地下二樓
RPWNMLOLQHPFFAI07DA,坡道平面,900000,29.76,地下二樓
RPXNMLOLQHPFFAI17DA,坡道平面,900000,29.76,地下二樓
RPPOMLOLQHPFFAI09DA,坡道平面,1000000,29.76,地下一樓
RPPOMLOLQHPFFAI09DA,坡道平面,1000000,29.76,地下一樓
RPROMLOLQHPFFAI66DA,坡道平面,900000,29.76,地下一樓
RPSOMLOLQHPFFAI76DA,坡道平面,1000000,29.76,地下一樓
RPQOMLOLQHPFFAI56DA,坡道機械,350000,11.57,地下二樓
RPTOMLOLQHPFFAI86DA,坡道平面,900000,29.76,地下二樓
RPTOMLOLQHPFFAI86DA,坡道平面,900000,29.76,地下二樓
RPUOMLOLQHPFFAI96DA,坡道機械,400000,11.57,地下二樓
RPWOMLOLQHPFFAI17DA,坡道平面,900000,29.76,地下一樓
RPVOMLOLQHPFFAI07DA,坡道平面,900000,29.76,地下二樓
RPXOMLOLQHPFFAI27DA,坡道平面,900000,29.76,地下一樓
RPXOMLOLQHPFFAI27DA,坡道平面,900000,29.76,地下一樓
RPOPMLOLQHPFFAI09DA,坡道平面,900000,29.76,地下二樓
RPWPMLOLQHPFFAI27DA,坡道機械,400000,11.57,地下二樓
RPPPMLOLQHPFFAI56DA,坡道機械,400000,11.57,地下二樓
RPVPMLOLQHPFFAI17DA,坡道機械,400000,11.57,地下二樓
RPUPMLOLQHPFFAI07DA,坡道平面,900000,29.76,地下二樓
RPQPMLOLQHPFFAI66DA,坡道平面,1000000,29.76,地下一樓
RPSPMLOLQHPFFAI86DA,坡道平面,1000000,29.76,地下一樓
RPPNMLMLQHPFFAI78DA,坡道機械,0,,地下一樓
RPTPMLOLQHPFFAI96DA,坡道平面,900000,29.76,地下二樓
RPOQMLOLQHPFFAI56DA,坡道機械,350000,11.57,地下二樓
RPXPMLOLQHPFFAI37DA,坡道平面,900000,29.76,地下二樓
RPSQMLOLQHPFFAI96DA,坡道平面,900000,29.76,地下二樓
RPVQMLOLQHPFFAI27DA,坡道機械,400000,11.57,地下二樓
RPPQMLOLQHPFFAI66DA,坡道機械,350000,11.57,地下二樓
RPXQMLOLQHPFFAI47DA,坡道平面,900000,29.76,地下二樓
RPWQMLOLQHPFFAI37DA,坡道機械,400000,11.57,地下二樓
RPORMLOLQHPFFAI66DA,坡道機械,450000,11.57,地下二樓
RPPRMLOLQHPFFAI76DA,坡道平面,900000,29.76,地下二樓
RPQRMLOLQHPFFAI86DA,坡道機械,400000,11.57,地下二樓
RPRNMLSLQHPFFAI07EA,坡道平面,0,,地下一樓
RPVOMLQLQHPFFAI27DA,坡道機械,0,,地下一樓
