鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
竹北市,房地(土地+建物)+車位,勝利八街一段211~240號,12.19,其他,,,1090710,土地1建物1車位1,十九層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050608,160.42000000000002,3,2,2,有,有,12300000,76674,坡道平面,29.81,0,,RPTPMLOKPHPFFBJ96DA,74.34,7.88,6.31,有
竹北市,土地,東海窟段旱坑子小段61~90地號,661.3,,特定農業區,農牧用地,1090716,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15503000,23443,,0.0,0,,RPQPMLRKPHPFFBJ96DA,0.0,0.0,0.0,無
竹北市,房地(土地+建物)+車位,聯發街1~30號,26.56,其他,,,1090718,土地1建物1車位1,十四層，夾層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040519,175.7,3,2,2,有,有,11100000,63176,坡道平面,30.42,0,夾層;,RPUOMLMLPHPFFBJ86DA,84.22,8.98,4.71,有
竹北市,房地(土地+建物),嘉豐十路1~30號,7.18,其他,,,1090615,土地1建物1車位0,十二層,十三層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0970321,58.32,1,1,1,有,有,4550000,78018,,0.0,0,,RPSOMLRLPHPFFBJ17DA,37.15,7.41,0.0,有
竹北市,房地(土地+建物),環北路二段243巷1~30號,640.97,其他,,,1090523,土地3建物1車位0,全,二層,透天厝,工商用,鋼骨鋼筋混凝土造,0850711,762.02,0,0,0,無,無,45000000,59054,,0.0,0,,RPTNMLSLPHPFFBJ27DA,728.68,33.34,0.0,無
竹北市,房地(土地+建物)+車位,十興路305巷13弄61~90號,21.35,其他,,,1090612,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080320,135.19,2,1,1,有,有,7460000,55182,坡道平面,37.55,0,,RPTPMLSLPHPFFBJ47DA,57.28,0.0,8.16,有
竹北市,土地,貓兒錠段山腳小段91~120地號,59.0,,特定農業區,甲種建築用地,1090729,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1063000,18017,,0.0,0,,RPPOMLTLPHPFFBJ07DA,0.0,0.0,0.0,無
竹北市,房地(土地+建物)+車位,十興路305巷13弄61~90號,21.35,其他,,,1090620,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080320,137.25,2,1,1,有,有,7750000,56466,坡道平面,39.61,0,,RPTNMLKMPHPFFBJ56DA,57.28,0.0,8.16,有
竹北市,房地(土地+建物)+車位,十興路305巷13弄61~90號,21.35,其他,,,1090607,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080320,137.25,2,1,1,有,有,7760000,56539,坡道平面,39.61,0,,RPWNMLKMPHPFFBJ86DA,57.28,0.0,8.16,有
