編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLKMPHPFFBJ56DA,1,65.44,住家用,鋼筋混凝土造,108年3月20日,十四層,九層
RPTNMLKMPHPFFBJ56DA,1,71.81,見其他登記事項,鋼筋混凝土造,108年3月20日,十四層,
RPUOMLMLPHPFFBJ86DA,5,97.91,住家用,鋼筋混凝土造,104年5月19日,十四層,十四層 夾層
RPUOMLMLPHPFFBJ86DA,5,77.79,見其他登記事項,鋼筋混凝土造,104年5月19日,十四層,
RPTPMLSLPHPFFBJ47DA,1,32.72,住家用,鋼筋混凝土造,108年3月20日,十四層,五層
RPTPMLSLPHPFFBJ47DA,1,32.72,住家用,鋼筋混凝土造,108年3月20日,十四層,五層
RPTPMLSLPHPFFBJ47DA,1,34.88,見其他登記事項,鋼筋混凝土造,108年3月20日,十四層,
RPTPMLSLPHPFFBJ47DA,1,34.88,見其他登記事項,鋼筋混凝土造,108年3月20日,十四層,
RPSOMLRLPHPFFBJ17DA,12,.00,見其他登記事項,鋼筋混凝土造,97年3月21日,十四層,一層
RPSOMLRLPHPFFBJ17DA,12,44.56,商業用,鋼筋混凝土造,97年3月21日,十三層,十二層
RPSOMLRLPHPFFBJ17DA,12,.13,共用部分,鋼筋混凝土造,97年3月21日,十四層,
RPSOMLRLPHPFFBJ17DA,12,3.75,共用部分,鋼筋混凝土造,97年3月21日,十四層,
RPSOMLRLPHPFFBJ17DA,12,9.88,共用部分,鋼筋混凝土造,97年3月21日,十三層,
RPTPMLOKPHPFFBJ96DA,4,88.53,住家用,鋼筋混凝土造,105年6月8日,二十七層,十九層
RPTPMLOKPHPFFBJ96DA,4,27.35,見其他登記事項,鋼筋混凝土造,105年6月8日,二十七層,
RPTPMLOKPHPFFBJ96DA,4,44.54,見其他登記事項,鋼筋混凝土造,105年6月8日,二十七層,
RPQOMLKMPHPFFBJ98DA,1,42.76,住家用,鋼筋混凝土造,108年3月20日,十四層,二層
RPQOMLKMPHPFFBJ98DA,1,42.76,住家用,鋼筋混凝土造,108年3月20日,十四層,二層
