編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLRKQHPFFBK17DA,6,174.95,住家用,鋼筋混凝土造,103年8月13日,三層,一層 二層 三層
RPOTMLPKPHPFFBK07DA,,143.52,住家用,鋼筋混凝土造,109年5月7日,十層,十層 夾層
RPOTMLPKPHPFFBK07DA,,86.73,見其他登記事項,鋼筋混凝土造,109年5月7日,十層,
RPROMLPKPHPFFBK86DA,,77.81,住家用,鋼筋混凝土造,109年5月7日,十層,二層
RPROMLPKPHPFFBK86DA,,47.73,見其他登記事項,鋼筋混凝土造,109年5月7日,十層,
RPPNMLSKPHPFFDK07DA,4,215.67,見其他登記事項,鋼筋混凝土造,105年9月6日,四層,一層 二層 三層 四層 見其他登記事項
RPPNMLTKQHPFFBK07DA,33,185.23,住家用,鋼筋混凝土造,76年11月2日,,一層 二層 三層
RPRNMLPJQHPFFDK96DA,16,15.79,住家用,鋼筋混凝土造,93年6月23日,三層,一層
RPRNMLPJQHPFFDK96DA,16,4.62,見其他登記事項,鋼筋混凝土造,93年6月23日,三層,
RPOOMLPJQHPFFDK76DA,12,186.45,住家用,鋼筋混凝土造,97年2月20日,四層,一層 二層 三層 四層
RPQNMLTKQHPFFDK37DA,,21.88,住家用,鋼筋混凝土造,92年3月31日,三層,二層
RPQNMLTKQHPFFDK37DA,,7.14,見其他登記事項,鋼筋混凝土造,,三層,
RPSNMLSKQHPFFDK47DA,1,60.19,見其他登記事項,鋼筋混凝土造,108年3月11日,十一層,五層
RPSNMLSKQHPFFDK47DA,1,37.88,共有部分,鋼筋混凝土造,108年3月11日,十一層,
RPTNMLSKQHPFFDK57DA,3,81.96,見其他登記事項,鋼筋混凝土造,106年7月25日,十四層,四層
RPTNMLSKQHPFFDK57DA,3,20.09,共有部分,鋼筋混凝土造,106年7月25日,十四層,
RPTNMLSKQHPFFDK57DA,3,49.56,共有部分,鋼筋混凝土造,106年7月25日,十四層,
RPQNMLTKQHPFFFK57DA,27,86.20,商業用,鋼筋混凝土造,82年10月21日,十層,一層 騎樓
