編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOTMLPKPHPFFBK07DA,坡道平面,1050000,36.08,地下一樓
RPROMLPKPHPFFBK86DA,坡道平面,650000,20.09,地下一樓
RPSNMLSKQHPFFDK47DA,坡道機械,0,,地下一樓
RPTNMLSKQHPFFDK57DA,坡道平面,1200000,34.72,地下二樓
RPWNMLTKQHPFFFK18DA,坡道平面,1100000,33.91,地下一樓
RPOOMLRKQHPFFFK27DA,坡道平面,850000,26.60,地下二樓
RPPOMLRKQHPFFFK37DA,坡道平面,900000,26.60,地下二樓
RPOOMLTKQHPFFFK47DA,坡道平面,1100000,28.85,地下一樓
RPVNMLKLQHPFFDK17EA,坡道平面,700000,26.42,地下一樓
RPXNMLRKQHPFFDK87DA,坡道平面,0,21.02,地下一樓
RPUOMLTKQHPFFDK87DA,一樓平面,0,,一樓
RPSOMLRLPHPFFDK47DA,一樓平面,0,,一樓
RPUNMLMKQHPFFDK07DA,坡道平面,0,42.73,地下二樓
RPUNMLTKQHPFFBK57DA,一樓平面,0,,一樓
RPPOMLOLQHPFFFK17DA,坡道平面,0,13.70,地下一樓
RPXNMLKLQHPFFFK47DA,坡道平面,900000,29.02,地下二樓
RPPNMLOLQHPFFFK07DA,坡道平面,0,,地下一樓
RPPNMLRJQHPFFDK96DA,坡道平面,0,,地下一樓
RPXNMLKLQHPFFDK27DA,坡道平面,0,14.64,一樓
RPPNMLLLQHPFFDK56DA,坡道平面,0,32.12,地下一樓
RPPNMLLLQHPFFDK56DA,坡道平面,0,32.12,地下一樓
RPQNMLLLQHPFFDK66DA,坡道平面,0,32.12,地下二樓
RPQNMLLLQHPFFDK66DA,坡道平面,0,32.12,地下二樓
RPPNMLOLQHPFFBK66DA,坡道平面,0,25.18,地下二樓
RPQNMLOLQHPFFBK76DA,坡道平面,0,25.18,地下二樓
RPRNMLTKQHPFFBK27DA,一樓平面,0,,一樓
RPSNMLKLQHPFFDK76DA,一樓平面,0,26.44,一樓
RPRNMLMLQHPFFDK86DA,坡道平面,900000,23.20,地下一樓
RPPOMLLLQHPFFDK66DA,坡道平面,800000,33.41,地下二樓
RPQNMLPLQHPFFDK07DA,坡道平面,1000000,28.25,地下三樓
RPTNMLLLQHPFFFK17DA,坡道平面,0,,地下二樓
RPTNMLLLQHPFFFK17DA,坡道平面,0,13.75,地下二樓
RPUNMLLLQHPFFFK27DA,坡道平面,0,13.75,地下二樓
RPRNMLPLQHPFFFK37DA,坡道平面,1100000,27.80,地下二樓
RPPNMLPLQHPFFFK17DA,坡道平面,1200000,29.00,地下二樓
RPVNMLMKQHPFFFK37DA,一樓平面,0,,一樓
RPQOMLOLQHPFFFK27DA,坡道平面,850000,26.60,地下二樓
RPUOMLOLQHPFFFK67DA,坡道平面,0,26.60,地下二樓
RPUOMLOLQHPFFFK67DA,坡道平面,0,24.43,地下一樓
RPQNMLNLQHPFFDK86DA,其他,0,8.43,地下一樓
RPRNMLNLQHPFFDK96DA,其他,0,8.43,地下一樓
RPUNMLQJQHPFFDK37DA,坡道平面,1000000,28.25,地下三樓
RPQOMLLLQHPFFDK76DA,一樓平面,0,,一樓
RPTNMLPLQHPFFDK37DA,坡道平面,700000,26.42,地下二樓
RPVNMLPLQHPFFDK57DA,坡道平面,680000,26.42,地下一樓
RPUNMLQLQHPFFDK57DA,一樓平面,0,,一樓
RPQNMLQLQHPFFFK37DA,坡道平面,0,,一樓
