鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
南投市,房地(土地+建物),同源路八街32巷1~30號,88.0,,工業區,丁種建築用地,1090720,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1090110,181.85,4,3,5,有,無,8700000,47842,,0.0,0,土地交易總價:3726800元建物交易總價:4973200元,RPRNMLMLPHPFFAM66DA,175.19,0.0,6.66,無
中寮鄉,房地(土地+建物),永平路481~510號,603.0,,山坡地保育區,農牧用地,1090806,土地1建物1車位0,一層，二層，三層,三層,農舍,農舍,鋼筋混凝土造,1020325,175.11,4,3,4,有,無,13600000,,,0.0,0,,RPUNMLQJQHPFFAM27DA,154.31,0.0,20.8,無
南投市,房地(土地+建物),祖祠路106巷1~30號,129.0,其他,,,1090623,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0760109,147.28,5,2,2,有,無,5600000,38023,,0.0,0,其他增建;,RPSNMLLKQHPFFAM66DA,147.28,0.0,0.0,無
南投市,房地(土地+建物)+車位,南崗二路331~360號,12.84,其他,,,1090701,土地2建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880212,103.66,3,2,1,有,有,2870000,27687,升降機械,0.0,0,,RPQNMLMKQHPFFAM56DA,67.05,0.0,7.34,有
南投市,房地(土地+建物)+車位,南新路331~360號,27.15,其他,,,1061212,土地1建物1車位1,一層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090401,95.19999999999999,2,2,2,有,有,5290000,56848,坡道機械,12.7,600000,,RPUNMLTKQHPFFAM67DA,51.26,0.0,6.64,有
南投市,土地,茄苳腳段271~300地號,292.19,,鄉村區,乙種建築用地,1090518,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5831984,19960,,0.0,0,,RPXNMLTKQHPFFAM97DA,0.0,0.0,0.0,無
南投市,土地,包尾段481~510地號,22.0,其他,,,1090619,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,18182,,0.0,0,,RPOOMLTKQHPFFAM17DA,0.0,0.0,0.0,無
中寮鄉,土地,後寮段91~120地號,1233.0,,山坡地保育區,農牧用地,1090803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,811,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPQNMLSKQHPFFAM17DA,0.0,0.0,0.0,無
草屯鎮,房地(土地+建物),芬草路二段860巷1~30號,90.16,,鄉村區,乙種建築用地,1090222,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1081231,243.88,3,4,5,有,無,18350000,75242,,0.0,0,,RPXNMLRJPHPFFBM67DA,222.33,0.0,21.55,無
草屯鎮,房地(土地+建物),中正路331~360號,107.96,,鄉村區,乙種建築用地,1090726,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1090609,206.64,4,3,5,有,無,9080000,43941,,0.0,0,,RPUOMLKKQHPFFBM96DA,185.28,0.0,21.36,無
草屯鎮,房地(土地+建物),美村巷31~60號,108.17,其他,,,1090707,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0800906,197.88,4,2,3,有,有,6880000,34769,,0.0,0,,RPUNMLLKQHPFFBM96DA,189.0,0.0,8.88,無
草屯鎮,土地,草屯段91~120地號,18.25,其他,,,1090715,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,173000,9479,,0.0,0,,RPPNMLTKQHPFFBM27DA,0.0,0.0,0.0,無
埔里鎮,土地,史港坑段271~300地號,1332.0,,特定農業區,農牧用地,1090629,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4800000,3604,,0.0,0,農作物;,RPUNMLMKQHPFFCM17DA,0.0,0.0,0.0,無
埔里鎮,土地,水源段1741~1770地號,1212.77,,特定農業區,農牧用地,1090326,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,1484,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPTNMLLKQHPFFCM96DA,0.0,0.0,0.0,無
國姓鄉,土地,墘溝段691~720地號,8160.0,,山坡地保育區,農牧用地,1090725,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,245,,0.0,0,農作物;,RPRNMLTKQHPFFCM57DA,0.0,0.0,0.0,無
埔里鎮,房地(土地+建物),安四街163巷1~30號,11.5,其他,,,1090811,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810714,128.29,3,2,2,有,有,3200000,24943,,0.0,0,,RPTNMLTKQHPFFCM77DA,80.75,15.32,0.0,有
竹山鎮,土地,照鏡段931~960地號,302.22,,一般農業區,農牧用地,1090720,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1400000,4632,,0.0,0,,RPPNMLKLQHPFFDM66DA,0.0,0.0,0.0,無
竹山鎮,土地,南雲段331~360地號,215.02,,特定農業區,甲種建築用地,1090802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,985775,4585,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPQNMLKLQHPFFDM76DA,0.0,0.0,0.0,無
竹山鎮,土地,南雲段331~360地號,143.47,,特定農業區,甲種建築用地,1090802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,670327,4672,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPRNMLKLQHPFFDM86DA,0.0,0.0,0.0,無
竹山鎮,土地,南雲段331~360地號,231.1,,特定農業區,甲種建築用地,1090802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1064637,4607,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPSNMLKLQHPFFDM96DA,0.0,0.0,0.0,無
竹山鎮,土地,南雲段331~360地號,90.74,,特定農業區,農牧用地,1090802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,150000,1653,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPTNMLKLQHPFFDM07DA,0.0,0.0,0.0,無
竹山鎮,土地,中州段481~510地號,406.81,,山坡地保育區,丙種建築用地,1090713,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2460000,6047,,0.0,0,,RPXNMLKLQHPFFDM47DA,0.0,0.0,0.0,無
竹山鎮,房地(土地+建物),枋坪巷1~30號,87.44,其他,,,1090713,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0850301,242.33,5,2,3,有,無,5500000,22696,,0.0,0,,RPRNMLTKQHPFFDM67DA,193.96,48.37,0.0,無
集集鎮,土地,集集段雞籠山小段331~360地號,2080.0,,山坡地保育區,農牧用地,1090717,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,288,,0.0,0,,RPPNMLTKQHPFFEM57DA,0.0,0.0,0.0,無
水里鄉,土地,鉅工段1021~1050地號,346.0,其他,,,1090708,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7380000,21329,,0.0,0,,RPPNMLRKPHPFFEM27DA,0.0,0.0,0.0,無
水里鄉,土地,郡坑段1~30地號,139.0,,鄉村區,乙種建築用地,1090802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1050000,7554,,0.0,0,,RPPNMLKKQHPFFEM66DA,0.0,0.0,0.0,無
埔里鎮,土地,中峰段湳興小段211~240地號,558.48,,鄉村區,乙種建築用地,1090623,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21000000,37602,,0.0,0,,RPUNMLTKQHPFFCM97EA,0.0,0.0,0.0,無
