編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLLKQHPFFAM66DA,33,147.28,住家用,鋼筋混凝土加強磚造,76年1月9日,二層,一層 二層
RPRNMLMLPHPFFAM66DA,1,181.85,住家用,鋼筋混凝土造,109年1月10日,四層,一層 二層 三層 四層
RPUNMLQJQHPFFAM27DA,7,175.11,農舍,鋼筋混凝土造,102年3月25日,三層,一層 二層 三層
RPUNMLTKQHPFFAM67DA,,57.90,見其他登記事項,鋼筋混凝土造,109年4月1日,七層,一層
RPUNMLTKQHPFFAM67DA,,37.30,見其他登記事項,鋼筋混凝土造,109年4月1日,七層,
RPQNMLMKQHPFFAM56DA,21,74.39,住家用,鋼筋混凝土造,88年2月12日,十二層,五層
RPQNMLMKQHPFFAM56DA,21,29.27,見其他登記事項,鋼筋混凝土造,88年2月12日,十二層,
RPUOMLKKQHPFFBM96DA,,206.64,住家用,鋼筋混凝土造,109年6月9日,四層,一層 二層 三層 四層
RPXNMLRJPHPFFBM67DA,,121.94,見其他登記事項,鋼筋混凝土造,108年12月31日,四層,一層 二層 三層 四層 見其他登記事項
RPXNMLRJPHPFFBM67DA,,121.94,見其他登記事項,鋼筋混凝土造,108年12月31日,四層,一層 二層 三層 四層 見其他登記事項
RPUNMLLKQHPFFBM96DA,29,197.88,住家用,鋼筋混凝土造,80年9月6日,三層,一層 二層 三層
RPTNMLTKQHPFFCM77DA,28,96.07,住家用,鋼筋混凝土造,81年7月14日,十層,四層
RPTNMLTKQHPFFCM77DA,28,32.22,共有部份,鋼筋混凝土造,81年7月14日,地下層,
RPRNMLTKQHPFFDM67DA,24,242.33,住商用,鋼筋混凝土造,85年3月1日,四層,一層 二層 三層 四層
RPQNMLTKQHPFFEM67DA,29,78.65,農舍,加強磚造,80年7月10日,一層,一層
RPUNMLSKQHPFFCM77DA,5,352.40,見其他登記事項,鋼筋混凝土造,104年2月9日,四層,一層 二層 三層 四層 見其他登記事項
RPSNMLOKQHPFFCM17DA,,203.27,見其他登記事項,見其他登記事項,109年2月26日,四層,一層 二層 三層 四層
RPSNMLOKQHPFFCM17DA,,2.22,見其他登記事項,見其他登記事項,109年2月26日,四層,
RPRNMLSKQHPFFCM47DA,27,48.66,住家用,鋼筋混凝土造,82年3月19日,三層,一層 二層 三層 騎樓
RPRNMLSKQHPFFCM47DA,27,48.66,住家用,鋼筋混凝土造,82年3月19日,三層,一層 二層 三層 騎樓
RPRNMLSKQHPFFCM47DA,27,48.66,住家用,鋼筋混凝土造,82年3月19日,三層,一層 二層 三層 騎樓
RPSNMLKLQHPFFBM76DA,,115.16,住家用,鋼筋混凝土加強磚造,75年7月16日,二層,一層 二層
RPPNMLNKQHPFFAM56DA,,118.68,住家用,鋼筋混凝土加強磚造,69年8月0日,二層,一層 二層 騎樓
RPQNMLTKQHPFFAM27DA,2,201.74,見其他登記事項,鋼筋混凝土造,107年4月26日,四層,一層 二層 三層 四層 見其他登記事項
RPTNMLKLQHPFFBM86DA,1,195.66,見其他登記事項,鋼筋混凝土造,108年12月24日,三層,一層 二層 三層 見其他登記事項
RPWNMLKLQHPFFAM07DA,1,27.57,見其他登記事項,鋼筋混凝土造,108年12月18日,五層,二層
RPWNMLKLQHPFFAM07DA,1,7.61,見其他登記事項,鋼筋混凝土造,108年12月18日,五層,
