鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
彰化市,土地,民權段991~1020地號,1.84,其他,,,1090713,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,25000,13587,,0.0,0,道路用地包含公共設施保留地用地;,RPXNMLNKPHPFFAN37DA,0.0,0.0,0.0,無
彰化市,房地(土地+建物),中山路一段361~390號,53.11,其他,,,1090706,土地1建物1車位0,一層，二層，三層，騎樓,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0850304,484.58000000000004,7,1,5,有,有,15000000,30955,,0.0,0,電梯係與大樓共用親友、員工、共有人或其他特殊關係間之交易;,RPSNMLKKQHPFFAN66DA,334.21,13.05,26.1,有
芬園鄉,土地,富山段481~510地號,107.32,,山坡地保育區,林業用地,1090814,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,932,,0.0,0,共有人數眾多共有關係複雜,RPXNMLOKQHPFFAN57DA,0.0,0.0,0.0,無
彰化市,房地(土地+建物),彰美路一段132巷1~30號,58.0,其他,,,00001,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0591009,87.6,3,2,2,有,無,2800000,31963,,0.0,0,,RPQOMLRKQHPFFAN27DA,87.6,0.0,0.0,無
秀水鄉,土地,西興段1171~1200地號,280.0,,特定農業區,農牧用地,1090805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2541000,9075,,0.0,0,農作物;,RPTNMLSKQHPFFAN57DA,0.0,0.0,0.0,無
彰化市,房地(土地+建物),彰南路三段401巷14弄31~60號,96.62,,特定農業區,甲種建築用地,1090811,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0780711,117.0,5,2,3,有,無,1616490,13816,,0.0,0,二親等母子間買賣親友、員工、共有人或其他特殊關係間之交易;,RPOPMLTKQHPFFAN37DA,117.0,0.0,0.0,無
彰化市,房地(土地+建物)+車位,林森路151~180號,10.86,其他,,,1090713,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821110,81.16000000000001,2,1,1,有,有,3100000,38196,坡道機械,0.0,0,,RPPNMLKLQHPFFAN09DA,54.3,0.64,9.24,有
芬園鄉,土地,竹林段811~840地號,2274.47,其他,,,1090724,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7040000,3095,,0.0,0,農作物;,RPTNMLTKQHPFFAN67DA,0.0,0.0,0.0,無
芬園鄉,房地(土地+建物),民族路339巷31~60號,101.55,其他,,,1090716,土地2建物1車位0,全,二層,透天厝,住商用,加強磚造,0700709,97.68,3,1,3,有,無,4760000,48731,,0.0,0,,RPVNMLTKQHPFFAN87DA,97.68,0.0,0.0,無
