編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLKLQHPFFAN09DA,27,64.18,住家用,鋼筋混凝土造,82年11月10日,十二層,十層
RPPNMLKLQHPFFAN09DA,27,6.61,見其他登記事項,鋼筋混凝土造,82年11月10日,十二層,
RPPNMLKLQHPFFAN09DA,27,10.36,見其他登記事項,鋼筋混凝土造,82年11月10日,十二層,
RPSNMLKKQHPFFAN66DA,24,373.36,見其他登記事項,鋼筋混凝土造,85年3月4日,十二層,一層 二層 三層 騎樓
RPSNMLKKQHPFFAN66DA,24,111.22,見其他登記事項,鋼筋混凝土造,85年3月4日,十二層,
RPOPMLTKQHPFFAN37DA,31,117.00,住家用,鋼筋混凝土造,78年7月11日,三層,一層 二層 三層
RPQOMLRKQHPFFAN27DA,,43.80,住家用,加強磚造,59年10月9日,二層,一層 二層
RPQOMLRKQHPFFAN27DA,,43.80,住家用,加強磚造,59年10月9日,二層,一層 二層
RPUNMLSKQHPFFDN97DA,40,74.40,住家用,鋼筋混凝土加強磚造,70年1月20日,二層,一層 二層
RPQNMLSKQHPFFBN37DA,1,254.01,見其他登記事項,鋼筋混凝土造,108年12月3日,三層,一層 二層 三層 見其他登記事項
RPQNMLQJQHPFFDN27DA,25,126.75,見其他登記事項,鋼筋混凝土造,84年8月21日,十六層,十三層
RPQNMLQJQHPFFDN27DA,25,10.82,見其他登記事項,鋼筋混凝土造,84年8月21日,十六層,
RPQNMLQJQHPFFDN27DA,25,21.21,見其他登記事項,鋼筋混凝土造,84年8月21日,十六層,
RPQNMLQJQHPFFDN27DA,25,16.75,見其他登記事項,鋼筋混凝土造,84年8月21日,十五層,
RPVNMLTKQHPFFAN87DA,39,97.68,住商用,加強磚造,70年7月9日,二層,一層 二層 騎樓
RPPNMLKMPHPFFEN86DA,1,163.22,住家用,鋼筋混凝土造,108年11月1日,三層,一層 二層 三層 見其他登記事項
RPTNMLLKQHPFFGN47DA,37,122.40,住家用,鋼筋混凝土加強磚造,72年7月11日,三層,一層 二層 三層
RPRNMLSKQHPFFFN87DA,27,141.32,住家用,鋼筋混凝土造,82年7月16日,三層,一層 二層 三層
RPPNMLSKQHPFFGN77DA,40,216.07,住商用,加強磚造,69年12月30日,三層,一層 二層 三層
RPPNMLOLQHPFFAN96EA,40,109.48,住商用,鋼筋混凝土加強磚造,69年12月25日,二層,一層 二層
RPRNMLTKQHPFFBN67EA,22,148.56,住家用,鋼筋混凝土造,87年7月8日,三層,一層 二層 三層
RPPOMLRKQHPFFHN87DA,14,176.85,住商用,鋼筋混凝土造,95年3月31日,四層,一層 二層 三層 四層 騎樓
RPPNMLKLQHPFFDN86EA,44,122.33,住家用,鋼筋混凝土加強磚造,65年6月1日,二層,一層 二層 走廊
