鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
新竹市,房地(土地+建物)+車位,埔頂一路91~120號,9.71,其他,,,1070628,土地1建物1車位1,三層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090512,107.71000000000001,1,1,1,有,有,5960000,76899,坡道平面,43.21,1000000,預售屋、或土地及建物分次登記案件;,RPUOMLKMPHPFFAO17DA,36.7,0.0,3.9,有
新竹市,房地(土地+建物)+車位,埔頂一路91~120號,9.71,其他,,,1070719,土地1建物1車位1,四層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090512,107.65,1,1,1,有,有,5910000,76195,坡道平面,43.21,1000000,預售屋、或土地及建物分次登記案件;,RPVOMLKMPHPFFAO27DA,36.7,0.0,3.9,有
新竹市,房地(土地+建物)+車位,埔頂一路91~120號,9.71,其他,,,1070712,土地1建物1車位1,五層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090512,107.71000000000001,1,1,1,有,有,6030000,77209,坡道平面,43.21,1050000,預售屋、或土地及建物分次登記案件;,RPWOMLKMPHPFFAO37DA,36.7,0.0,3.9,有
新竹市,房地(土地+建物)+車位,埔頂一路91~120號,9.71,其他,,,1070719,土地1建物1車位1,十二層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090512,107.71000000000001,1,1,1,有,有,6130000,78760,坡道平面,43.21,1050000,預售屋、或土地及建物分次登記案件;,RPXOMLKMPHPFFAO47DA,36.7,0.0,3.9,有
新竹市,房地(土地+建物)+車位,埔頂一路91~120號,9.71,其他,,,1070719,土地1建物1車位1,十三層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090512,107.71000000000001,1,1,1,有,有,6140000,79690,坡道平面,43.21,1000000,預售屋、或土地及建物分次登記案件;,RPPPMLKMPHPFFAO76DA,36.7,0.0,3.9,有
新竹市,房地(土地+建物)+車位,埔頂一路91~120號,9.71,其他,,,1070719,土地1建物1車位1,十四層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090512,107.71000000000001,1,1,1,有,有,6120000,79380,坡道平面,43.21,1000000,預售屋、或土地及建物分次登記案件;,RPQPMLKMPHPFFAO86DA,36.7,0.0,3.9,有
新竹市,房地(土地+建物)+車位,埔頂一路91~120號,9.71,其他,,,1070712,土地1建物1車位1,十五層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090512,107.71000000000001,1,1,1,有,有,6200000,79845,坡道平面,43.21,1050000,預售屋、或土地及建物分次登記案件;,RPRPMLKMPHPFFAO96DA,36.7,0.0,3.9,有
新竹市,房地(土地+建物)+車位,埔頂一路91~120號,9.71,其他,,,1070516,土地1建物1車位1,二十層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090512,107.71000000000001,1,1,1,有,有,6350000,81395,坡道平面,43.21,1100000,預售屋、或土地及建物分次登記案件;,RPSPMLKMPHPFFAO07DA,36.7,0.0,3.9,有
新竹市,房地(土地+建物)+車位,埔頂一路91~120號,9.71,其他,,,1080118,土地1建物1車位1,二十一層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090512,107.71000000000001,1,1,1,有,有,6380000,81860,坡道平面,43.21,1100000,預售屋、或土地及建物分次登記案件;,RPTPMLKMPHPFFAO17DA,36.7,0.0,3.9,有
新竹市,房地(土地+建物)+車位,埔頂一路91~120號,9.81,其他,,,1070516,土地1建物1車位1,四層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090512,108.35,2,1,2,有,有,6090000,75837,坡道平面,43.21,1150000,預售屋、或土地及建物分次登記案件;,RPVPMLKMPHPFFAO37DA,34.58,0.0,6.44,有
新竹市,房地(土地+建物)+車位,埔頂一路91~120號,9.81,其他,,,1070719,土地1建物1車位1,五層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090512,108.35,2,1,2,有,有,6030000,76451,坡道平面,43.21,1050000,預售屋、或土地及建物分次登記案件;,RPWPMLKMPHPFFAO47DA,34.58,0.0,6.44,有
新竹市,房地(土地+建物)+車位,埔頂一路91~120號,9.81,其他,,,1070606,土地1建物1車位1,六層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090512,108.35,2,1,2,有,有,6130000,77218,坡道平面,43.21,1100000,預售屋、或土地及建物分次登記案件;,RPXPMLKMPHPFFAO57DA,34.58,0.0,6.44,有
新竹市,房地(土地+建物)+車位,埔頂一路91~120號,9.81,其他,,,1070706,土地1建物1車位1,十層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090512,108.35,2,1,2,有,有,6210000,77679,坡道平面,43.21,1150000,預售屋、或土地及建物分次登記案件;,RPOQMLKMPHPFFAO76DA,34.58,0.0,6.44,有
新竹市,房地(土地+建物)+車位,埔頂一路91~120號,9.81,其他,,,1070719,土地1建物1車位1,十九層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090512,108.35,2,1,2,有,有,6390000,80442,坡道平面,43.21,1150000,預售屋、或土地及建物分次登記案件;,RPPQMLKMPHPFFAO86DA,34.58,0.0,6.44,有
新竹市,房地(土地+建物)+車位,埔頂一路91~120號,9.81,其他,,,1070516,土地1建物1車位1,二十層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090512,108.35,2,1,2,有,有,6410000,81517,坡道平面,43.21,1100000,預售屋、或土地及建物分次登記案件;,RPQQMLKMPHPFFAO96DA,34.58,0.0,6.44,有
新竹市,房地(土地+建物)+車位,埔頂一路91~120號,9.81,其他,,,1070628,土地1建物1車位1,三層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090512,108.4,2,1,2,有,有,5960000,76085,坡道平面,43.21,1000000,預售屋、或土地及建物分次登記案件;,RPRQMLKMPHPFFAO07DA,34.58,0.0,6.44,有
新竹市,房地(土地+建物)+車位,埔頂一路91~120號,9.81,其他,,,1070606,土地1建物1車位1,四層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090512,108.35,2,1,2,有,有,6090000,75837,坡道平面,43.21,1150000,預售屋、或土地及建物分次登記案件;,RPSQMLKMPHPFFAO17DA,34.58,0.0,6.44,有
新竹市,房地(土地+建物)+車位,埔頂一路91~120號,9.81,其他,,,1070706,土地1建物1車位1,六層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090512,108.35,2,1,2,有,有,6100000,76758,坡道平面,43.21,1100000,預售屋權利轉售，權利買賣契約成交價格615萬元整。本案係信託財產，建物賣方委託人為富宇建設股份有限公司，土地賣方委託人為全球人壽保險股份有限公司。預售屋、或土地及建物分次登記案件;,RPTQMLKMPHPFFAO27DA,34.58,0.0,6.44,有
