鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新竹市,房地(土地+建物),竹蓮段571~600地號,7.99,商,,,1071213,土地1建物1車位0,五層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,,58.18,1,1,1,有,無,5100000,87659,,0.0,0,,RPVRMLNLPHPFFAO77CB
新竹市,房地(土地+建物),竹蓮段571~600地號,9.64,商,,,1070928,土地1建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,69.92,2,1,1,有,無,6060000,86670,,0.0,0,,RPXRMLNLPHPFFAO97CB
新竹市,房地(土地+建物)+車位,竹蓮段571~600地號,11.79,商,,,1071207,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.38,2,1,1,有,無,8580000,92777,升降平面,37.99,1400000,,RPTSMLNLPHPFFAO67CB
新竹市,房地(土地+建物)+車位,竹蓮段571~600地號,11.22,商,,,1071120,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,95.7,2,1,1,有,無,8130000,93599,升降機械,18.99,950000,,RPUSMLNLPHPFFAO77CB
新竹市,房地(土地+建物),竹蓮段571~600地號,7.99,商,,,1071203,土地1建物1車位0,十四層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,,58.18,1,1,1,有,無,5100000,87659,,0.0,0,,RPXSMLNLPHPFFAO08CB
新竹市,房地(土地+建物)+車位,竹蓮段571~600地號,11.22,商,,,1070910,土地1建物1車位1,三層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,,95.7,1,1,1,有,無,7440000,86560,升降機械,18.99,800000,,RPQTMLNLPHPFFAO47CB
新竹市,房地(土地+建物),竹蓮段571~600地號,7.99,商,,,1070727,土地1建物1車位0,九層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,,58.18,1,1,1,有,無,5060000,86971,,0.0,0,,RPWTMLNLPHPFFAO08CB
新竹市,房地(土地+建物),竹蓮段571~600地號,7.99,商,,,1070828,土地1建物1車位0,七層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,,58.18,1,1,1,有,無,4980000,85596,,0.0,0,,RPPUMLNLPHPFFAO47CB
新竹市,房地(土地+建物),竹蓮段571~600地號,10.59,商,,,1070726,土地1建物1車位0,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,76.71,2,1,1,有,無,6700000,87342,,0.0,0,,RPRUMLNLPHPFFAO67CB
新竹市,房地(土地+建物),竹蓮段571~600地號,8.88,商,,,1071005,土地1建物1車位0,三層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,,64.15,1,1,1,有,無,5100000,79501,,0.0,0,,RPSUMLNLPHPFFAO77CB
新竹市,房地(土地+建物),竹蓮段571~600地號,7.99,商,,,1071110,土地1建物1車位0,十三層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,,58.18,1,1,1,有,無,5120000,88003,,0.0,0,,RPVUMLNLPHPFFAO08CB
新竹市,房地(土地+建物),竹蓮段571~600地號,7.99,商,,,1070917,土地1建物1車位0,六層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,,58.18,1,1,1,有,無,4900000,84221,,0.0,0,,RPXUMLNLPHPFFAO28CB
新竹市,房地(土地+建物),竹蓮段571~600地號,7.99,商,,,1071120,土地1建物1車位0,十二層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,,58.18,1,1,1,有,無,5380000,92472,,0.0,0,,RPPVMLNLPHPFFAO57CB
新竹市,房地(土地+建物),竹蓮段571~600地號,7.99,商,,,1071122,土地1建物1車位0,八層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,,58.18,1,1,1,有,無,5000000,85940,,0.0,0,,RPQVMLNLPHPFFAO67CB
新竹市,房地(土地+建物),竹蓮段571~600地號,8.62,商,,,1071128,土地1建物1車位0,二層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,,62.71,1,1,1,有,無,5320000,84835,,0.0,0,,RPSVMLNLPHPFFAO87CB
新竹市,房地(土地+建物),竹蓮段571~600地號,7.99,商,,,1070722,土地1建物1車位0,三層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,,58.18,1,1,1,有,無,4780000,82159,,0.0,0,,RPTVMLNLPHPFFAO97CB
新竹市,房地(土地+建物)+車位,竹蓮段571~600地號,11.92,商,,,1071023,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.92,2,1,1,有,無,8200000,86574,升降平面,45.53,1500000,,RPWVMLNLPHPFFAO28CB
新竹市,房地(土地+建物)+車位,竹蓮段571~600地號,11.29,商,,,1071017,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.38,2,1,1,有,無,7330000,83732,升降機械,18.99,850000,,RPXVMLNLPHPFFAO38CB
新竹市,房地(土地+建物),竹蓮段571~600地號,7.99,商,,,1070819,土地1建物1車位0,十層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,,58.18,1,1,1,有,無,5330000,91612,,0.0,0,,RPTOMLTLPHPFFAO87CB
新竹市,房地(土地+建物),竹蓮段571~600地號,7.99,商,,,1070918,土地1建物1車位0,四層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,,57.55,1,1,1,有,無,4600000,79930,,0.0,0,,RPVOMLTLPHPFFAO08CB
新竹市,房地(土地+建物)+車位,竹蓮段571~600地號,11.73,商,,,1070722,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.7,2,1,1,有,無,7980000,87081,升降平面,37.99,1300000,,RPWSMLKMPHPFFAO77CB
