編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVRMLSLPHPFFAO38CC,36,75.90,住家用,鋼筋混凝土造,73年5月23日,五層,
RPTOMLNLPHPFFAO37CC,2,38.61,見其他登記事項,鋼筋混凝土造,107年7月5日,五層,
RPTOMLNLPHPFFAO37CC,2,19.77,共有部分,鋼筋混凝土造,107年7月5日,五層,
RPQSMLOLPHPFFAO57CC,33,11.88,住商用,鋼筋混凝土造,76年6月19日,三層,
RPOPMLTLPHPFFAO57CC,24,24.47,住家用,鋼筋混凝土造,85年11月5日,六層,
RPOPMLTLPHPFFAO57CC,24,10.15,見其他登記事項,鋼筋混凝土造,85年11月5日,六層,
RPOQNLNLPHPFFAO17CC,11,113.53,見其他登記事項,鋼筋混凝土造,98年3月31日,十三層,
RPOQNLNLPHPFFAO17CC,11,68.64,見其他登記事項,鋼筋混凝土造,98年3月31日,十四層,
RPPUMLSLPHPFFAO08CC,12,87.64,見其他登記事項,鋼筋混凝土造,97年5月20日,十四層,
RPPUMLSLPHPFFAO08CC,12,17.75,見其他登記事項,鋼筋混凝土造,97年5月20日,十四層,
RPPUMLSLPHPFFAO08CC,12,3.38,見其他登記事項,鋼筋混凝土造,97年5月20日,十四層,
RPPUMLSLPHPFFAO08CC,12,17.52,見其他登記事項,鋼筋混凝土造,97年5月20日,十四層,
RPXPMLTLPHPFFAO48CC,17,91.46,見其他登記事項,鋼筋混凝土造,92年12月20日,五層,
RPXPMLTLPHPFFAO48CC,17,17.65,見其他登記事項,鋼筋混凝土造,92年12月20日,五層,
RPXPMLTLPHPFFAO48CC,17,21.34,停車空間,鋼筋混凝土造,92年12月20日,五層,
RPPOMLSLPHPFFAO47CC,22,90.57,見其他登記事項,鋼筋混凝土造,87年4月10日,十二層,
RPPOMLSLPHPFFAO47CC,22,17.05,見其他登記事項,鋼筋混凝土造,87年4月10日,十二層,
RPPOMLSLPHPFFAO47CC,22,.30,見其他登記事項,鋼筋混凝土造,87年4月10日,十二層,
RPPOMLSLPHPFFAO47CC,22,.06,見其他登記事項,鋼筋混凝土造,87年4月10日,十二層,
RPPOMLSLPHPFFAO47CC,22,.19,見其他登記事項,鋼筋混凝土造,87年4月10日,十二層,
RPPOMLSLPHPFFAO47CC,22,.04,見其他登記事項,鋼筋混凝土造,87年4月10日,十二層,
RPPOMLSLPHPFFAO47CC,22,22.76,見其他登記事項,鋼筋混凝土造,87年4月10日,十二層,
RPQPMLOLPHPFFAO27CC,,70.04,,加強磚造,,一層,
RPWTMLSLPHPFFAO68CC,23,18.36,見其他登記事項,鋼筋混凝土造,86年7月15日,十二層,
RPWTMLSLPHPFFAO68CC,23,3.36,共有部分,鋼筋混凝土造,86年7月15日,十二層,
RPWTMLSLPHPFFAO68CC,23,.08,共有部分,鋼筋混凝土造,86年7月15日,十二層,
RPWTMLSLPHPFFAO68CC,23,6.80,共有部分,鋼筋混凝土造,86年7月15日,十二層,
RPWQMLTLPHPFFAO48CC,6,72.81,見其他登記事項,鋼筋混凝土造,103年8月29日,十五層,
RPWQMLTLPHPFFAO48CC,6,19.28,共有部分,鋼筋混凝土造,103年8月29日,十五層,
RPWQMLTLPHPFFAO48CC,6,49.24,共有部分,鋼筋混凝土造,103年8月29日,十五層,
RPQONLKMPHPFFAO96CC,13,25.84,見其他登記事項,鋼筋混凝土造,96年6月6日,十層,
RPQONLKMPHPFFAO96CC,13,12.43,見其他登記事項,鋼筋混凝土造,96年6月6日,十層,
RPXQNLKMPHPFFAO87CC,20,53.52,見其他登記事項,鋼筋混凝土造,89年5月1日,二十層,
RPXQNLKMPHPFFAO87CC,20,17.34,見其他登記事項,鋼筋混凝土造,89年5月1日,二十二層,
RPXQNLKMPHPFFAO87CC,20,37.49,見其他登記事項,鋼筋混凝土造,89年5月1日,二十二層,
RPXTNLKMPHPFFAO18CC,19,115.07,見其他登記事項,鋼筋混凝土造,90年3月28日,四層,
RPXTNLKMPHPFFAO18CC,19,29.13,見其他登記事項,鋼筋混凝土造,90年3月28日,四層,
