編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSOMLRKPHPFFAP57DA,1,203.12,見其他登記事項,鋼筋混凝土造,108年9月3日,三層,一層 二層 三層 見其他登記事項
RPTNMLRKQHPFFAP67DA,2,182.48,住家用,鋼筋混凝土造,107年11月22日,三層,一層 二層 三層
RPPNMLKLQHPFFAP66DA,21,90.13,住家用,鋼筋混凝土造,88年2月2日,十層,七層
RPPNMLKLQHPFFAP66DA,21,5.87,共同部份,鋼筋混凝土造,88年2月2日,十層,
RPPNMLKLQHPFFAP66DA,21,18.13,共同部份,鋼筋混凝土造,88年2月2日,十層,
RPPNMLKLQHPFFAP66DA,21,24.01,共同部份,鋼筋混凝土造,88年2月2日,十層,
RPQNMLKLQHPFFAP76DA,39,60.21,住家用,加強磚造,70年4月25日,一層,一層
RPTNMLKLQHPFFAP07DA,25,41.17,見其他登記事項,鋼筋混凝土造,84年5月13日,十三層,三層
RPTNMLKLQHPFFAP07DA,25,7.89,共同部份,鋼筋混凝土造,84年5月13日,十三層,
RPTNMLKLQHPFFAP07DA,25,7.20,共同部份,鋼筋混凝土造,84年5月13日,十三層,
RPUNMLSKQHPFFCP08DA,25,161.01,住家用,鋼筋混凝土造,84年7月8日,三層,一層 二層 三層 電梯樓梯間
RPUNMLTKQHPFFCP18DA,,190.76,住家用,鋼筋混凝土造,109年4月13日,三層,一層 二層 三層
RPTNMLTKQHPFFCP08DA,5,191.72,見其他登記事項,鋼筋混凝土造,104年11月12日,三層,一層 二層 三層 見其他登記事項
RPTNMLPKQHPFFDP77DA,,94.78,住家用,鋼筋混凝土造,109年3月26日,四層,一層 二層 三層 四層
RPTNMLPKQHPFFDP77DA,,94.78,住家用,鋼筋混凝土造,109年3月26日,四層,一層 二層 三層 四層
RPUNMLPKQHPFFDP87DA,,192.23,住家用,鋼筋混凝土造,109年3月26日,四層,一層 二層 三層 四層
RPSNMLPKQHPFFDP67DA,,189.55,住家用,鋼筋混凝土造,109年3月26日,四層,一層 二層 三層 四層
RPUNMLQJQHPFFAP67EA,6,.85,住家用,鋼筋混凝土造,102年12月12日,二層,一層 二層
RPUNMLQJQHPFFAP67EA,6,307.55,住家用,鋼筋混凝土造,103年10月10日,四層,一層 二層 三層 四層
RPTNMLOKQHPFFAP47EA,26,63.04,住家用,鋼筋混凝土造,83年6月15日,十二層,十二層
RPTNMLOKQHPFFAP47EA,26,15.23,共同部份,鋼筋混凝土造,83年6月15日,十二層,
RPTNMLOKQHPFFAP47EA,26,7.52,共同部份,鋼筋混凝土造,83年6月15日,,
RPOOMLTKQHPFFAP57EA,28,5.91,共同部份,鋼筋混凝土造,81年4月10日,六層,
RPOOMLTKQHPFFAP57EA,28,100.80,住家用,鋼筋混凝土造,81年4月10日,五層,一層 二層
