鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
萬丹鄉,房地(土地+建物),竹林路91~120號,78.93,,鄉村區,乙種建築用地,1090724,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0850301,148.84,4,2,3,有,無,2500000,16797,,0.0,0,,RPVOMLRLPHPFFAT38DA,142.24,6.6,0.0,無
屏東巿,房地(土地+建物),機場北路601~630號,8.7,住,,,1090611,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0881204,61.54,2,1,1,有,無,2200000,35749,,0.0,0,,RPSOMLTLPHPFFAT28DA,37.64,0.0,9.5,無
麟洛鄉,房地(土地+建物),中華路301~330號,160.1,,鄉村區,乙種建築用地,1090725,土地2建物1車位0,全,一層,透天厝,住家用,加強磚造,0880209,44.64,2,2,1,有,無,1900000,42563,,0.0,0,,RPVNMLSKQHPFFAT38DA,44.64,0.0,0.0,無
屏東巿,房地(土地+建物),廣東路870巷5弄61~90號,65.0,住,,,1090718,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0731008,92.72,4,2,3,有,無,5500000,59318,,0.0,0,,RPQOMLSKQHPFFAT97DA,77.76,14.96,0.0,無
長治鄉,房地(土地+建物),長興路91~120號,129.25,住,,,1090622,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1080802,216.59,5,2,4,有,無,13500000,62330,,0.0,0,,RPSOMLSKQHPFFAT18DA,200.71,0.0,15.88,無
屏東巿,土地,水源段一小段61~90地號,309.0,住,,,1090619,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17290000,55955,,0.0,0,,RPTOMLSKQHPFFAT28DA,0.0,0.0,0.0,無
屏東巿,房地(土地+建物),廣東路1291~1320號,109.0,住,,,1070605,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1090526,312.13,3,2,4,有,無,15000000,48057,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPSNMLTKQHPFFAT18DA,285.34,0.0,26.79,有
萬丹鄉,房地(土地+建物),下路284巷1~30號,108.0,,特定農業區,甲種建築用地,1090628,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1080128,242.51,4,2,3,有,無,7600000,31339,,0.0,0,,RPTNMLOKQHPFFAT77DA,220.47,0.0,22.04,無
屏東巿,房地(土地+建物),廣東路1291~1320號,95.0,住,,,1070605,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1090526,273.14,3,2,4,有,無,15000000,54917,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPUNMLTKQHPFFAT38DA,253.59,0.0,19.55,有
長治鄉,房地(土地+建物),長興路91~120號,113.97,住,,,1090616,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1080802,193.85,4,2,4,有,無,11900000,61388,,0.0,0,其他增建;,RPOOMLTKQHPFFAT87DA,177.91,0.0,15.94,無
屏東巿,房地(土地+建物),台糖一街27巷31~60號,91.44,住,,,1090717,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0930820,177.49,4,2,3,有,無,9680000,54538,,0.0,0,,RPPOMLTKQHPFFAT97DA,135.39,20.77,21.33,無
屏東巿,房地(土地+建物),建興南路1~30號,14.6,住,,,1090713,土地1建物1車位0,十層,十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0830701,119.09,3,2,2,有,有,3560000,29893,,0.0,0,,RPROMLTKQHPFFAT18DA,79.66,1.74,10.96,有
屏東巿,土地,歸義段151~180地號,31.39,,一般農業區,甲種建築用地,1090715,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,665000,21185,,0.0,0,,RPXOMLTKQHPFFAT78DA,0.0,0.0,0.0,無
屏東巿,房地(土地+建物),長春街91~120號,74.0,住,,,1090702,土地2建物1車位0,全,二層,透天厝,住商用,加強磚造,0680315,104.84,3,2,2,有,無,1692000,16139,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPQOMLKLQHPFFAT27DA,100.44,4.4,0.0,無
高樹鄉,土地,石獅公段781~810地號,267.97,,鄉村區,乙種建築用地,1090619,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,6717,,0.0,0,地政士服務費;,RPUNMLOKQHPFFBT97DA,0.0,0.0,0.0,無
竹田鄉,土地,六巷段361~390地號,464.46,,鄉村區,乙種建築用地,1090723,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1550000,3337,,0.0,0,,RPXNMLPJQHPFFCT38DA,0.0,0.0,0.0,無
竹田鄉,土地,鳳新段1081~1110地號,2661.29,,特定農業區,農牧用地,1090704,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9580000,3600,,0.0,0,,RPUNMLTKQHPFFCT58DA,0.0,0.0,0.0,無
內埔鄉,土地,興義段211~240地號,202.33,,鄉村區,乙種建築用地,1090807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1350000,6672,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPVNMLTKQHPFFCT68DA,0.0,0.0,0.0,無
內埔鄉,土地,內田段1261~1290地號,5.82,其他,,,1090810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,150000,25773,,0.0,0,土地越界分割買賣。,RPSOMLSKQHPFFCT38DA,0.0,0.0,0.0,無
內埔鄉,土地,新豐段181~210地號,316.0,,工業區,丁種建築用地,1090807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5735400,18150,,0.0,0,,RPTOMLSKQHPFFCT48DA,0.0,0.0,0.0,無
萬巒鄉,土地,赤山段一小段31~60地號,3314.0,,一般農業區,農牧用地,1090410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5800000,1750,,0.0,0,未登記建物;,RPUOMLSKQHPFFCT58DA,0.0,0.0,0.0,無
潮州鎮,房地(土地+建物),萬隆街105巷1~30號,76.95,其他,,,1090610,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,0980703,150.26,3,2,3,有,無,6900000,45920,,0.0,0,,RPWOMLSKQHPFFCT78DA,136.52,2.59,11.15,無
潮州鎮,土地,榮田段121~150地號,539.63,其他,,,1090805,土地10建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17000000,31503,,0.0,0,,RPQNMLTKQHPFFCT18DA,0.0,0.0,0.0,無
內埔鄉,房地(土地+建物),四維路15巷1~30號,83.82,,鄉村區,乙種建築用地,1090805,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0831230,136.64,6,2,3,有,無,2300000,16833,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPSNMLKLQHPFFCT57DA,118.36,7.03,11.25,無
內埔鄉,土地,圳頭段1111~1140地號,331.0,,一般農業區,農牧用地,1090613,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2900000,8761,,0.0,0,未登記建物;,RPXNMLRKQHPFFCT68DA,0.0,0.0,0.0,無
潮州鎮,房地(土地+建物),北門路61~90號,85.0,其他,,,1090725,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0790610,216.42,7,1,4,有,無,7500000,34655,,0.0,0,,RPTOMLRKQHPFFCT38DA,212.48,3.94,0.0,無
東港鎮,土地,東港段181~210地號,257.0,其他,,,1090604,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9000000,35019,,0.0,0,,RPPNMLRKQHPFFDT97DA,0.0,0.0,0.0,無
崁頂鄉,房地(土地+建物),南進巷1~30號,75.94,其他,,,1090612,土地1建物1車位0,全,二層,透天厝,見其他登記事項,加強磚造,0700323,99.08,3,3,2,有,無,3000000,30279,,0.0,0,,RPQNMLTKQHPFFDT28DA,99.08,0.0,0.0,無
南州鄉,房地(土地+建物),營安路1~30號,121.37,其他,,,1090717,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1080528,199.34,5,2,4,有,無,8000000,40132,,0.0,0,其他增建;,RPSNMLTKQHPFFDT48DA,186.03,0.0,13.31,無
恆春鎮,房地(土地+建物),南門路2巷61~90號,65.6,其他,,,1090708,土地2建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0650330,96.52,3,2,3,有,無,3800000,39370,,0.0,0,,RPSNMLTKQHPFFET58DA,96.52,0.0,0.0,無
佳冬鄉,土地,新埔段1321~1350地號,1994.02,,一般農業區,農牧用地,1090710,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2100000,1053,,0.0,0,,RPQNMLRJQHPFFFT18DA,0.0,0.0,0.0,無
長治鄉,土地,長豐段451~480地號,3.01,住,,,1090818,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,51807,17212,,0.0,0,協議價購;,RPTNMLSKQHPFFAT28EA,0.0,0.0,0.0,無
屏東巿,房地(土地+建物),公安街1~30號,75.0,住,,,1090702,土地3建物1車位0,全,二層,透天厝,住家用,加強磚造,0690912,101.6,2,2,2,有,無,4500000,44291,,0.0,0,其他增建;,RPUNMLSKQHPFFAT38EA,101.6,0.0,0.0,無
屏東巿,房地(土地+建物),大湖路478巷1~30號,81.0,,鄉村區,乙種建築用地,1090730,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0870518,158.45,6,2,3,有,無,5398000,34068,,0.0,0,,RPWNMLSKQHPFFAT58EA,158.45,0.0,0.0,無
屏東巿,房地(土地+建物)+車位,民權路91~120號,33.26,商,,,1090812,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040617,266.5,3,2,2,有,有,14000000,52533,坡道平面,0.0,0,,RPRNMLTKQHPFFAT18EA,159.57,0.0,12.38,有
萬丹鄉,房地(土地+建物),加發路1~30號,165.0,,鄉村區,乙種建築用地,1090630,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1090429,214.46,5,2,4,有,無,7800000,36370,,0.0,0,,RPSOMLTKQHPFFAT38EA,198.65,0.0,15.81,無
萬丹鄉,土地,灣內段121~150地號,1177.0,,特定農業區,農牧用地,1090716,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4490000,3815,,0.0,0,農作物;,RPUOMLTKQHPFFAT58EA,0.0,0.0,0.0,無
長治鄉,土地,榮華段871~900地號,1649.99,,一般農業區,農牧用地,1090802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6300000,3818,,0.0,0,農業設施;,RPWOMLTKQHPFFAT78EA,0.0,0.0,0.0,無
屏東巿,土地,歸義段451~480地號,2415.15,,一般農業區,農牧用地,1090812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5500000,2277,,0.0,0,,RPOPMLTKQHPFFAT08EA,0.0,0.0,0.0,無
屏東巿,房地(土地+建物),建興南路1~30號,17.02,住,,,1090718,土地1建物1車位0,三層,十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0830621,102.29,3,2,2,有,有,2780000,27178,,0.0,0,地政士服務費;,RPQPMLTKQHPFFAT28EA,65.44,4.18,6.42,有
屏東巿,房地(土地+建物)+車位,機場北路661~690號,8.7,住,,,1090717,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0881204,85.55,1,1,1,有,有,2800000,32729,坡道平面,0.0,0,,RPRPMLTKQHPFFAT38EA,37.64,0.0,9.5,有
佳冬鄉,房地(土地+建物),進學街78巷61弄1~30號,219.07,其他,,,1081210,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1090603,222.37,5,2,4,有,無,9390000,42227,,0.0,0,,RPQNMLRKQHPFFFT28DA,202.97,0.0,19.4,無
內埔鄉,房地(土地+建物),桑原巷1~30號,152.58,其他,,,1090713,土地2建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1080918,200.39,5,2,4,有,無,8200000,40920,,0.0,0,,RPXNMLTKQHPFFCT98EA,191.39,0.0,9.0,無
內埔鄉,房地(土地+建物)+車位,學興路130巷76弄1~30號,46.4,其他,,,1090718,土地2建物1車位1,四層,五層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1080223,126.19,3,2,2,有,無,4400000,34868,一樓平面,0.0,0,,RPROMLTKQHPFFCT48EA,78.2,0.0,9.23,有
內埔鄉,房地(土地+建物)+車位,勝利路301~330號,46.93,其他,,,1090719,土地5建物1車位1,二層,五層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1080930,124.12,3,2,2,有,無,4380000,35288,一樓平面,0.0,0,,RPQOMLTKQHPFFCT38EA,72.93,0.0,11.44,有
萬丹鄉,土地,社上段451~480地號,2270.43,,特定農業區,丁種建築用地,1090604,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,45260000,19935,,0.0,0,,RPUNMLRKQHPFFAT18DA,0.0,0.0,0.0,無
長治鄉,房地(土地+建物),振興路1~30號,94.49,,鄉村區,乙種建築用地,1090712,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070723,208.08,4,2,3,有,無,7700000,37005,,0.0,0,,RPVNMLRKQHPFFAT28DA,191.9,0.0,16.18,無
長治鄉,房地(土地+建物),振興路1~30號,107.71,,鄉村區,乙種建築用地,1090712,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070723,208.08,4,2,3,有,無,7800000,37486,,0.0,0,,RPWNMLRKQHPFFAT38DA,191.9,0.0,16.18,無
九如鄉,土地,九智段781~810地號,53.23,住,,,1090629,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,424739,7979,,0.0,0,地清或未辦繼承標售;,RPPOMLQKPHPFFAT57DA,0.0,0.0,0.0,無
屏東巿,房地(土地+建物)+車位,廣東路1411~1440號,22.95,住,,,1090703,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070315,108.7,3,2,1,有,有,5380000,49494,坡道平面,0.0,0,,RPUNMLLLQHPFFAT67DA,49.73,5.39,4.05,有
fa72埔鄉,土地,新莊段331~360地號,66.17,,一般農業區,農牧用地,1090805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,380161,5745,,0.0,0,畸零地或有合併使用效益;,RPRNMLQJQHPFFBT77DA,0.0,0.0,0.0,無
潮州鎮,土地,延平段241~270地號,84.26,其他,,,1090801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2548800,30249,,0.0,0,,RPROMLKLQHPFFCT57DA,0.0,0.0,0.0,無
潮州鎮,土地,大同段751~780地號,232.21,,鄉村區,乙種建築用地,1090805,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8428800,36298,,0.0,0,,RPQNMLLLQHPFFCT47DA,0.0,0.0,0.0,無
內埔鄉,土地,南寧段1081~1110地號,35.42,其他,,,1080714,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,343900,9709,,0.0,0,祭祀公業移轉,RPVNMLKLQHPFFCT87DA,0.0,0.0,0.0,無
內埔鄉,土地,南寧段1081~1110地號,1304.47,其他,,,1080714,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,25342500,19427,,0.0,0,祭祀公業移轉,RPWNMLKLQHPFFCT97DA,0.0,0.0,0.0,無
內埔鄉,土地,南寧段1021~1050地號,436.57,其他,,,1080714,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,990500,2269,,0.0,0,祭祀公業移轉，本筆土地為道路用地,RPXNMLKLQHPFFCT08DA,0.0,0.0,0.0,無
潮州鎮,土地,崙東段151~180地號,2682.26,,一般農業區,農牧用地,1090724,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4950000,1845,,0.0,0,,RPTNMLTKQHPFFCT48DA,0.0,0.0,0.0,無
