編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQOMLSKQHPFFAT97DA,36,92.72,住家用,加強磚造,73年10月8日,二層,一層 二層
RPVOMLRLPHPFFAT38DA,24,74.42,住家用,鋼筋混凝土造,85年3月1日,三層,一層 二層 三層
RPVOMLRLPHPFFAT38DA,24,74.42,住家用,鋼筋混凝土造,85年3月1日,三層,一層 二層 三層
RPOOMLTKQHPFFAT87DA,1,193.85,住家用,鋼筋混凝土造,108年8月2日,三層,一層 二層 三層 屋頂突出物 騎樓
RPSOMLTLPHPFFAT28DA,21,47.14,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,八層
RPSOMLTLPHPFFAT28DA,21,14.40,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPVNMLSKQHPFFAT38DA,21,44.64,住家用,加強磚造,88年2月9日,一層,一層
RPSOMLSKQHPFFAT18DA,1,108.30,住家用,鋼筋混凝土造,108年8月2日,三層,一層 二層 三層 屋頂突出物 騎樓
RPSOMLSKQHPFFAT18DA,1,108.30,住家用,鋼筋混凝土造,108年8月2日,三層,一層 二層 三層 屋頂突出物 騎樓
RPUNMLTKQHPFFAT38DA,,273.14,見其他登記事項,鋼筋混凝土造,109年5月26日,四層,一層 二層 三層 四層 屋頂突出物
RPSNMLTKQHPFFAT18DA,,312.13,見其他登記事項,鋼筋混凝土造,109年5月26日,四層,一層 二層 三層 四層 屋頂突出物
RPTNMLOKQHPFFAT77DA,1,121.26,住家用,鋼筋混凝土造,108年1月28日,四層,一層 二層 三層 四層
RPTNMLOKQHPFFAT77DA,1,121.26,住家用,鋼筋混凝土造,108年1月28日,四層,一層 二層 三層 四層
RPPOMLTKQHPFFAT97DA,16,177.49,見其他登記事項,鋼筋混凝土造,93年8月20日,三層,一層 二層 三層
RPROMLTKQHPFFAT18DA,26,92.36,見其他登記事項,鋼筋混凝土造,83年7月1日,十六層,十層
RPROMLTKQHPFFAT18DA,26,26.73,見其他登記事項,鋼筋混凝土造,83年7月1日,十六層,
RPQOMLKLQHPFFAT27DA,41,52.42,住商用,加強磚造,68年3月15日,二層,一層 二層 騎樓 夾層
RPQOMLKLQHPFFAT27DA,41,52.42,住商用,加強磚造,68年3月15日,二層,一層 二層 騎樓 夾層
RPWOMLSKQHPFFCT78DA,11,150.26,見其他登記事項,見其他登記事項,98年7月3日,三層,一層 二層 三層
RPTOMLRKQHPFFCT38DA,30,216.42,住商用,鋼筋混凝土造,79年6月10日,四層,一層 二層 三層 四層 騎樓
RPSNMLKLQHPFFCT57DA,26,136.64,住家用,鋼筋混凝土造,83年12月30日,四層,一層 二層 三層 四層
RPSNMLTKQHPFFDT48DA,1,199.34,住家用,見其他登記事項,108年5月28日,三層,一層 二層 三層 屋頂突出物
RPQNMLTKQHPFFDT28DA,39,99.08,見其他登記事項,加強磚造,70年3月23日,二層,一層 二層 騎樓
RPSNMLTKQHPFFET58DA,44,96.52,住商用,鋼筋混凝土加強磚造,65年3月30日,二層,一層 二層 騎樓
RPWNMLSKQHPFFAT58EA,22,158.45,住家用,鋼筋混凝土造,87年5月18日,四層,一層 二層 三層 四層
RPSOMLTKQHPFFAT38EA,,107.23,住家用,鋼筋混凝土造,109年4月29日,三層,一層 二層 三層
RPSOMLTKQHPFFAT38EA,,107.23,住家用,鋼筋混凝土造,109年4月29日,三層,一層 二層 三層
RPRNMLTKQHPFFAT18EA,5,171.95,見其他登記事項,鋼筋混凝土造,104年6月17日,十五層,十層
RPRNMLTKQHPFFAT18EA,5,94.55,見其他登記事項,鋼筋混凝土造,104年6月17日,十五層,
RPUNMLSKQHPFFAT38EA,40,101.60,住家用,加強磚造,69年9月12日,二層,一層 二層 騎樓
RPQPMLTKQHPFFAT28EA,26,76.04,見其他登記事項,鋼筋混凝土造,83年6月21日,十六層,三層
RPQPMLTKQHPFFAT28EA,26,26.25,見其他登記事項,鋼筋混凝土造,83年6月21日,十六層,
RPRPMLTKQHPFFAT38EA,21,47.14,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,十一層
RPRPMLTKQHPFFAT38EA,21,38.41,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPQNMLRKQHPFFFT28DA,,222.37,住家用,鋼筋混凝土造,109年6月3日,三層,一層 二層 三層
RPXNMLTKQHPFFCT98EA,1,200.39,見其他登記事項,見其他登記事項,108年9月18日,三層,一層 二層 三層 見其他登記事項
RPQOMLTKQHPFFCT38EA,1,84.37,見其他登記事項,見其他登記事項,108年9月30日,五層,二層
RPQOMLTKQHPFFCT38EA,1,39.75,見其他登記事項,見其他登記事項,108年9月30日,五層,
RPWNMLRKQHPFFAT38DA,2,208.08,住家用,鋼筋混凝土造,107年7月23日,三層,一層 二層 三層 屋頂突出物
RPVNMLRKQHPFFAT28DA,2,104.04,住家用,鋼筋混凝土造,107年7月23日,三層,一層 二層 三層 屋頂突出物
RPVNMLRKQHPFFAT28DA,2,104.04,住家用,鋼筋混凝土造,107年7月23日,三層,一層 二層 三層 屋頂突出物
RPROMLTKQHPFFCT48EA,1,38.76,見其他登記事項,見其他登記事項,108年2月23日,五層,
RPROMLTKQHPFFCT48EA,1,87.43,見其他登記事項,見其他登記事項,108年2月23日,五層,四層
RPUNMLLLQHPFFAT67DA,2,29.58,見其他登記事項,鋼筋混凝土造,107年3月15日,十四層,十三層
RPUNMLLLQHPFFAT67DA,2,29.58,見其他登記事項,鋼筋混凝土造,107年3月15日,十四層,十三層
RPUNMLLLQHPFFAT67DA,2,24.76,見其他登記事項,鋼筋混凝土造,107年3月15日,十四層,
RPUNMLLLQHPFFAT67DA,2,24.76,見其他登記事項,鋼筋混凝土造,107年3月15日,十四層,
RPTNMLTKQHPFFET68DA,36,104.80,住商用,加強磚造,73年8月2日,二層,一層 二層 騎樓
RPSPMLTKQHPFFAT48EA,14,207.38,住家用,鋼筋混凝土造,95年3月14日,三層,一層 二層 三層
RPVNMLRKQHPFFDT58DA,,108.80,見其他登記事項,鋼筋混凝土造,70年3月18日,2,
