編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPTOMLSKQHPFFAT28DA,水源段一小段,309.00,都市：住,全筆移轉
RPQOMLSKQHPFFAT97DA,北勢段,65.00,都市：住,全筆移轉
RPVOMLRLPHPFFAT38DA,竹林段,39.46,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPVOMLRLPHPFFAT38DA,竹林段,39.46,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPOOMLTKQHPFFAT87DA,潭頭段,113.97,都市：住,全筆移轉
RPSOMLTLPHPFFAT28DA,勝興段,8.70,都市：住,持分移轉
RPSOMLSKQHPFFAT18DA,潭頭段,64.62,都市：住,持分移轉
RPVNMLSKQHPFFAT38DA,徑仔段,70.81,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPVNMLSKQHPFFAT38DA,徑仔段,89.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPSOMLSKQHPFFAT18DA,潭頭段,64.62,都市：住,持分移轉
RPUNMLTKQHPFFAT38DA,勝興段,95.00,都市：住,全筆移轉
RPSNMLTKQHPFFAT18DA,勝興段,109.00,都市：住,全筆移轉
RPTNMLOKQHPFFAT77DA,香社段,54.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPTNMLOKQHPFFAT77DA,香社段,54.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,持分移轉
RPXOMLTKQHPFFAT78DA,歸義段,31.39,非都市：一般農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPPOMLTKQHPFFAT97DA,福光段,9.74,都市：住,持分移轉
RPPOMLTKQHPFFAT97DA,福光段,68.00,都市：住,全筆移轉
RPPOMLTKQHPFFAT97DA,福光段,13.70,都市：住,持分移轉
RPUNMLOKQHPFFBT97DA,石獅公段,21.64,非都市：鄉村區 ; 非都市編定：交通用地,持分移轉
RPUNMLOKQHPFFBT97DA,石獅公段,246.33,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPUNMLTKQHPFFCT58DA,鳳新段,2661.29,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPXNMLPJQHPFFCT38DA,六巷段,40.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPXNMLPJQHPFFCT38DA,六巷段,424.46,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPTOMLSKQHPFFCT48DA,新豐段,316.00,非都市：工業區 ; 非都市編定：丁種建築用地,全筆移轉
RPVNMLTKQHPFFCT68DA,興義段,40.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPVNMLTKQHPFFCT68DA,興義段,40.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPVNMLTKQHPFFCT68DA,興義段,40.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPVNMLTKQHPFFCT68DA,興義段,40.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPVNMLTKQHPFFCT68DA,興義段,40.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPROMLTKQHPFFAT18DA,建國段,14.60,都市：住,持分移轉
RPUOMLSKQHPFFCT58DA,赤山段一小段,1657.00,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPUOMLSKQHPFFCT58DA,赤山段一小段,1657.00,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPSOMLSKQHPFFCT38DA,內田段,5.82,都市：其他,全筆移轉
RPQNMLTKQHPFFCT18DA,榮田段,90.77,都市：其他,全筆移轉
RPQNMLTKQHPFFCT18DA,榮田段,71.29,都市：其他,全筆移轉
RPQNMLTKQHPFFCT18DA,榮田段,3.53,都市：其他,全筆移轉
RPQNMLTKQHPFFCT18DA,榮田段,23.54,都市：其他,全筆移轉
RPQNMLTKQHPFFCT18DA,榮田段,32.00,都市：其他,全筆移轉
RPQNMLTKQHPFFCT18DA,榮田段,154.00,都市：其他,全筆移轉
RPQNMLTKQHPFFCT18DA,榮田段,45.29,都市：其他,全筆移轉
RPQNMLTKQHPFFCT18DA,榮田段,25.92,都市：其他,全筆移轉
RPQNMLTKQHPFFCT18DA,榮田段,63.14,都市：其他,全筆移轉
RPQNMLTKQHPFFCT18DA,榮田段,30.15,都市：其他,全筆移轉
RPQOMLKLQHPFFAT27DA,明正段,32.50,都市：住,持分移轉
RPQOMLKLQHPFFAT27DA,明正段,32.50,都市：住,持分移轉
RPQOMLKLQHPFFAT27DA,明正段,4.50,都市：住,持分移轉
RPQOMLKLQHPFFAT27DA,明正段,4.50,都市：住,持分移轉
RPXNMLRKQHPFFCT68DA,圳頭段,331.00,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPPNMLRKQHPFFDT97DA,東港段,257.00,都市：其他,全筆移轉
RPWOMLSKQHPFFCT78DA,五福段,76.95,都市：其他,全筆移轉
RPQNMLRJQHPFFFT18DA,新埔段,1994.02,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPTOMLRKQHPFFCT38DA,五魁寮段一小段,85.00,都市：其他,全筆移轉
RPSNMLKLQHPFFCT57DA,忠心崙段,14.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPSNMLKLQHPFFCT57DA,忠心崙段,69.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
RPSNMLTKQHPFFDT48DA,南糖段,121.37,都市：其他,全筆移轉
RPQNMLTKQHPFFDT28DA,頂安段,75.94,都市：其他,全筆移轉
RPTNMLSKQHPFFAT28EA,長豐段,3.01,都市：住,持分移轉
RPSNMLTKQHPFFET58DA,城南段,59.94,都市：其他,全筆移轉
RPSNMLTKQHPFFET58DA,城南段,5.66,都市：其他,全筆移轉
RPWOMLTKQHPFFAT78EA,榮華段,1649.99,非都市：一般農業區 ; 非都市編定：農牧用地,全筆移轉
RPOPMLTKQHPFFAT08EA,歸義段,1207.58,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPOPMLTKQHPFFAT08EA,歸義段,1207.58,非都市：一般農業區 ; 非都市編定：農牧用地,持分移轉
RPUOMLTKQHPFFAT58EA,灣內段,1177.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPWNMLSKQHPFFAT58EA,大春段,81.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPSOMLTKQHPFFAT38EA,萬興段,82.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,持分移轉
