鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
花蓮市,房地(土地+建物)+車位,球崙一路181~210號,57.33,其他,,,1090811,土地4建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990520,347.62,4,2,3,有,有,24500000,70479,坡道平面,12.67,0,,RPVNMLMKQHPFFAU87DA,235.93,10.92,20.56,有
花蓮市,房地(土地+建物),林園二街1~30號,35.17,住,,,1090730,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840417,141.41,3,2,2,有,有,5780000,40874,,0.0,0,共同使用部份含車位,RPOPMLNKQHPFFAU47DA,98.02,1.32,8.1,有
吉安鄉,房地(土地+建物),仁里十三街61~90號,65.0,住,,,1090728,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0660324,120.68,4,2,2,有,無,2200000,18230,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPOOMLOKQHPFFAU47DA,120.68,0.0,0.0,無
花蓮市,房地(土地+建物),國興五街61~90號,87.0,住,,,1090710,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0680702,107.66,3,2,1,有,無,9600000,89170,,0.0,0,其他增建;,RPPNMLRKQHPFFAU77DA,107.66,0.0,0.0,無
花蓮市,房地(土地+建物),建國路二段268巷36弄1~30號,70.79,住,,,1090721,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0670000,104.0,3,2,2,有,無,5150000,49519,,0.0,0,其他增建;,RPXOMLSKQHPFFAU78DA,104.0,0.0,0.0,無
吉安鄉,房地(土地+建物),永安二街1~30號,140.0,商,,,1090713,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1050630,419.27,6,2,7,有,無,17800000,42455,,0.0,0,,RPQOMLTKQHPFFAU18DA,383.16,0.0,36.11,無
花蓮市,房地(土地+建物),富裕一街121~150號,17.65,其他,,,1090712,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850301,60.06999999999999,2,1,1,有,無,2750000,45780,,0.0,0,,RPPPMLTKQHPFFAU18DA,37.88,0.79,7.2,有
花蓮市,房地(土地+建物),中原路391~420號,141.0,其他,,,1090804,土地2建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0701109,242.55,0,0,0,無,無,14500000,59781,,0.0,0,其他增建;,RPPNMLKLQHPFFAU17DA,242.55,0.0,0.0,無
吉安鄉,房地(土地+建物),中山路三段947巷1~30號,63.83,,特定農業區,甲種建築用地,1090723,土地1建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土加強磚造,0670522,41.63,3,2,2,有,無,2800000,67259,,0.0,0,其他增建;,RPQNMLKLQHPFFAU27DA,41.63,0.0,0.0,無
