編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRPMLTLPHPFFAU48CC,3,47.07,住家用,鋼筋混凝土造,106年11月24日,五層,
RPUOMLLMPHPFFAU97CC,28,65.77,住家用,鋼筋混凝土造,82年1月11日,九層,
RPUOMLLMPHPFFAU97CC,28,13.91,共有部份,鋼筋混凝土造,82年1月11日,九層,
RPQNMLNLPHPFFAU57CC,39,58.83,商業用,鋼筋混凝土造,70年9月3日,十層,
RPQNMLNLPHPFFAU57CC,39,21.43,共有部份,鋼筋混凝土造,70年9月3日,十層,
RPXNMLMLPHPFFAU28DC,31,52.63,住家用,鋼筋混凝土造,78年11月4日,六層,
RPXNMLMLPHPFFAU28DC,31,14.18,共有部份,鋼筋混凝土造,78年11月4日,六層,
RPPNMLRLPHPFFAU87CC,26,85.64,住家用,鋼筋混凝土造,83年6月11日,九層,
RPPNMLRLPHPFFAU87CC,26,8.67,見其他登記事項,鋼筋混凝土造,83年6月11日,九層,
RPPNMLRLPHPFFAU87CC,26,7.99,共有部份,鋼筋混凝土造,83年6月11日,九層,
RPPNMLRLPHPFFAU87CC,26,12.19,共有部份,鋼筋混凝土造,83年6月11日,九層,
RPPOMLNLPHPFFAU57CC,25,61.09,住家用,鋼筋混凝土造,84年3月2日,十七層,
RPQNMLMLPHPFFAU47CC,28,21.89,住家用,鋼筋混凝土造,81年12月9日,五層,
RPPOMLNLPHPFFAU57CC,25,51.01,共有部份,鋼筋混凝土造,84年3月2日,十七層,
RPQNMLMLPHPFFAU47CC,28,5.38,共有部份,鋼筋混凝土造,81年12月9日,五層,
RPUNMLLLPHPFFAU77CC,41,104.17,住商用,鋼筋混凝土造,68年4月7日,三層,
