編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLRKPHPFFBV38DA,31,129.15,住家用,加強磚造,78年3月31日,二層,一層 二層
RPTNMLLKQHPFFAV67DA,,88.40,見其他登記事項,見其他登記事項,109年3月3日,五層,二層
RPTNMLLKQHPFFAV67DA,,.34,見其他登記事項,見其他登記事項,109年3月3日,五層,
RPTNMLLKQHPFFAV67DA,,15.22,見其他登記事項,見其他登記事項,109年3月3日,五層,
RPSNMLRKQHPFFAV18DA,25,96.52,見其他登記事項,鋼筋混凝土造,84年6月1日,五層,五層
RPSNMLRKQHPFFAV18DA,25,11.26,見其他登記事項,鋼筋混凝土造,84年6月1日,五層,
RPSNMLRKQHPFFAV18DA,25,12.02,見其他登記事項,鋼筋混凝土造,84年6月1日,五層,
RPSNMLNKQHPFFAV77DA,27,28.00,見其他登記事項,鋼筋混凝土造,82年10月26日,六層,二層
RPSNMLNKQHPFFAV77DA,27,11.62,見其他登記事項,鋼筋混凝土造,82年10月26日,六層,
RPPNMLNKPHPFFDV67DA,30,208.39,見其他登記事項,見其他登記事項,79年10月24日,一層,一層 騎樓
RPRNMLSKQHPFFAV18DA,17,124.56,住家用,見其他登記事項,92年3月7日,二層,一層 二層
RPUNMLSKQHPFFAV48DA,26,11.13,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPUNMLSKQHPFFAV48DA,26,1.13,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPUNMLSKQHPFFAV48DA,26,.75,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPUNMLSKQHPFFAV48DA,26,.14,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPUNMLSKQHPFFAV48DA,26,.53,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPUNMLSKQHPFFAV48DA,26,.56,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPUNMLSKQHPFFAV48DA,26,.14,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPUNMLSKQHPFFAV48DA,26,.37,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPUNMLSKQHPFFAV48DA,26,.30,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPUNMLSKQHPFFAV48DA,26,.37,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPUNMLSKQHPFFAV48DA,26,.30,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPUNMLSKQHPFFAV48DA,26,.30,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPUNMLSKQHPFFAV48DA,26,.37,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPUNMLSKQHPFFAV48DA,26,.37,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPUNMLSKQHPFFAV48DA,26,.30,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPUNMLSKQHPFFAV48DA,26,.30,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPUNMLSKQHPFFAV48DA,26,.37,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPUNMLSKQHPFFAV48DA,26,.37,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPUNMLSKQHPFFAV48DA,26,.30,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPUNMLSKQHPFFAV48DA,26,.37,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
