編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPWOMLKLQHPFFAV08DA,常德段,53.78,都市：其他,持分移轉
RPWOMLKLQHPFFAV08DA,常德段,171.42,都市：其他,持分移轉
RPPNMLOJQHPFFDV77DA,泰德段,462.04,非都市：一般農業區 ; 非都市編定：甲種建築用地,全筆移轉
RPPNMLSKQHPFFDV38EA,金崙段,735.00,非都市：風景區 ; 非都市編定：農牧用地,全筆移轉
RPUNMLMKQHPFFCV08DA,慶福段,130.40,都市：其他,持分移轉
RPUNMLRKPHPFFBV38DA,高原段,476.00,非都市：森林區 ; 非都市編定：丙種建築用地,全筆移轉
RPPNMLRKQHPFFBV97DA,東河段,37.40,都市：其他,全筆移轉
RPTNMLLKQHPFFAV67DA,豐田段,62.82,非都市： ; 非都市編定：,持分移轉
RPSNMLRKQHPFFAV18DA,德安段,28.14,都市：其他,持分移轉
RPSNMLRKQHPFFAV18DA,德安段,.20,都市：其他,持分移轉
RPSNMLRKQHPFFAV18DA,德安段,2.60,都市：其他,持分移轉
RPSNMLRKQHPFFAV18DA,德安段,.05,都市：其他,持分移轉
RPSNMLNKQHPFFAV77DA,建樂段,8.95,都市：其他,持分移轉
RPSNMLNKQHPFFAV77DA,建樂段,1.03,都市：其他,持分移轉
RPPNMLNKPHPFFDV67DA,泰德段,386.36,都市：住,全筆移轉
RPTNMLTKQHPFFAV48DA,利泰段,449.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPXNMLMKQHPFFAV18DA,康樂段,5608.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPXNMLMKQHPFFAV18DA,康樂段,4604.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPXNMLMKQHPFFAV18DA,康樂段,19.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPQPMLTKQHPFFAV38DA,豐樂段,344.00,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPRNMLSKQHPFFAV18DA,上南寮段,106.45,都市：其他,持分移轉
RPRNMLSKQHPFFAV18DA,上南寮段,1.76,都市：其他,持分移轉
RPQNMLNKPHPFFAV47DA,台東段,267.00,都市：其他,全筆移轉
RPTPMLTKQHPFFAV68DA,建和段,177.83,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPVPMLTKQHPFFAV88DA,豐川段,241.27,非都市：特定農業區 ; 非都市編定：農牧用地,全筆移轉
RPUNMLSKQHPFFAV48DA,常德段,14.24,都市：其他,持分移轉
RPPNMLSKQHPFFAV97DA,台東段,55.54,都市：其他,持分移轉
