鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
金城鎮,土地,祥安段391~420地號,165.6,其他,,,1090731,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3300000,19928,,0.0,0,包含公共設施保留地用地;,RPRNMLTLPHPFFAW38DA,0.0,0.0,0.0,無
金寧鄉,土地,盤山村測段181~210地號,81.5,,,,1090805,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3220500,39515,,0.0,0,本案成交價是新加坡幣15萬，折合台幣約322萬500元，土增稅台幣37萬3759元由買方負責繳納。未登記建物;,RPXNMLSKQHPFFAW98EA,0.0,0.0,0.0,無
金城鎮,房地(土地+建物),西海路三段21巷1~30號,102.03,其他,,,1090624,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1040902,160.0,5,2,5,有,無,11500000,71875,,0.0,0,,RPRNMLTKQHPFFAW48EA,155.0,0.0,5.0,無
金寧鄉,土地,赤岑段781~810地號,2252.71,其他,,,1090731,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,888,,0.0,0,,RPSNMLKLQHPFFAW77EA,0.0,0.0,0.0,無
金城鎮,土地,庵前村測段121~150地號,15.54,,,,1090815,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,180000,11583,,0.0,0,未登記建物;,RPVNMLKLQHPFFAW08EA,0.0,0.0,0.0,無
金沙鎮,土地,沙港劃段331~360地號,1000.01,其他,,,1090817,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4700000,4700,,0.0,0,,RPWNMLKLQHPFFAW18EA,0.0,0.0,0.0,無
金沙鎮,土地,高坑劃測段421~450地號,925.42,其他,,,1090317,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7200000,7780,,0.0,0,,RPPNMLLKQHPFFAW37DA,0.0,0.0,0.0,無
金寧鄉,土地,北二三劃測段601~630地號,1000.01,其他,,,1090817,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000000,10000,,0.0,0,包含公共設施保留地用地;,RPTNMLRKQHPFFAW38DA,0.0,0.0,0.0,無
金沙鎮,土地,蔡厝劃測段181~210地號,1560.34,其他,,,1090801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,2564,,0.0,0,,RPWNMLRKQHPFFAW68DA,0.0,0.0,0.0,無
金沙鎮,土地,蔡厝劃測段151~180地號,1620.02,其他,,,1090801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5500000,3395,,0.0,0,,RPXNMLRKQHPFFAW78DA,0.0,0.0,0.0,無
金寧鄉,房地(土地+建物)+車位,下堡91~120號,52.53,其他,,,1090723,土地1建物1車位1,三層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1021120,147.28,3,2,2,有,無,7900000,53639,坡道平面,26.94,0,,RPROMLSKQHPFFAW38DA,86.02,0.0,8.18,無
金沙鎮,房地(土地+建物)+車位,東店1~30號,63.05,其他,,,1090804,土地1建物1車位1,三層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1060112,143.8,3,2,2,有,無,6000000,41725,坡道平面,19.95,0,,RPQNMLTKQHPFFAW28DA,81.71,0.0,5.47,無
金寧鄉,土地,龍潭段631~660地號,250.7,其他,,,1090803,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,700000,2792,,0.0,0,,RPRNMLKLQHPFFAW57DA,0.0,0.0,0.0,無
烈嶼鄉,土地,青岐段481~510地號,40.0,其他,,,1090818,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,7500,,0.0,0,,RPTNMLKLQHPFFAW77DA,0.0,0.0,0.0,無
金寧鄉,土地,寧劃段121~150地號,890.5,其他,,,1090722,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,3369,,0.0,0,,RPOOMLKLQHPFFAW37DA,0.0,0.0,0.0,無
金湖鎮,土地,湖前段1231~1260地號,37.5,其他,,,1090824,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,550000,14667,,0.0,0,,RPQNMLOLQHPFFAW97EA,0.0,0.0,0.0,無
金寧鄉,土地,寧湖二劃測段421~450地號,1000.01,其他,,,1090810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13000000,13000,,0.0,0,,RPUNMLOLQHPFFAW38EA,0.0,0.0,0.0,無
金湖鎮,房地(土地+建物),夏興1~30號,48.38,其他,,,1090724,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1060407,82.61999999999999,3,2,2,有,無,5200000,62939,,0.0,0,,RPWNMLRLPHPFFAW68DA,76.1,0.0,0.0,無
金寧鄉,房地(土地+建物),下埔下1~30號,30.95,其他,,,1090812,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1061030,50.25,2,1,1,有,無,4300000,85572,,0.0,0,,RPPNMLNKQHPFFAW57DA,44.86,0.0,0.0,無
金城鎮,房地(土地+建物),民生路1~30號,11.64,其他,,,1090813,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,0890821,104.65,3,1,2,有,有,7870000,75203,,0.0,0,,RPSNMLPLQHPFFAW18DA,75.57,0.0,5.94,有
金寧鄉,房地(土地+建物),東坑1~30號,46.09,其他,,,1060425,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1060123,81.73,3,2,2,有,無,5430000,66438,,0.0,0,,RPQOMLOJQHPFFAW77DA,66.42,0.0,8.76,無
金寧鄉,房地(土地+建物),東坑1~30號,46.09,其他,,,1060425,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1060123,82.53,3,2,2,有,無,5500000,66642,,0.0,0,,RPPNMLPJQHPFFAW67DA,67.22,0.0,8.76,無
金沙鎮,房地(土地+建物),新前墩31~60號,129.19,其他,,,1080806,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051024,230.76,4,3,5,有,無,10020000,43422,,0.0,0,,RPXNMLQJQHPFFAW58DA,224.1,0.0,6.66,有
金湖鎮,房地(土地+建物),塔后301~330號,83.68,其他,,,1090810,土地1建物1車位0,一層，二層，三層，見其他登記事項,四層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1081002,194.5,5,2,5,有,有,11800000,60668,,0.0,0,含約定空地使用權,RPQNMLKKQHPFFAW37DA,175.9,5.67,12.93,無
金寧鄉,土地,北二三劃測段421~450地號,1000.01,其他,,,1090722,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,4000,,0.0,0,,RPUNMLPLQHPFFAW38DA,0.0,0.0,0.0,無
金湖鎮,房地(土地+建物),環島南路五段165巷8弄1~30號,67.36,其他,,,1090809,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1070514,171.33,3,1,2,有,無,5500000,32102,,0.0,0,,RPRNMLRKQHPFFAW18DA,89.9,0.0,6.0,無
金湖鎮,房地(土地+建物),武德新莊121~150號,27.74,其他,,,1090807,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0930510,127.19,3,2,2,有,無,4000000,31449,,0.0,0,,RPPNMLOLQHPFFAW77DA,71.34,0.0,9.72,有
金寧鄉,土地,北二三劃測段511~540地號,500.01,其他,,,1090723,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4700000,9400,,0.0,0,,RPOOMLQLQHPFFAW97DA,0.0,0.0,0.0,無
金寧鄉,房地(土地+建物),嚨口31~60號,44.71,其他,,,1090801,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1090721,85.08000000000001,3,2,2,有,無,4800000,56417,,0.0,0,,RPPNMLRLQHPFFAW08DA,75.93,0.0,0.0,無
金沙鎮,土地,沙港劃段631~660地號,1000.08,其他,,,1090813,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,4000,,0.0,0,,RPQNMLRLQHPFFAW18DA,0.0,0.0,0.0,無
金寧鄉,房地(土地+建物),西山1~30號,180.23,其他,,,1080313,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1090529,172.29,4,2,3,有,無,8400000,48755,,0.0,0,,RPTNMLRLQHPFFAW58EA,164.96,0.0,7.33,無
金城鎮,土地,庵前村測段61~90地號,368.62,其他,,,1090824,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3760000,10200,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPXNMLQLQHPFFAW78DA,0.0,0.0,0.0,無
