編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLTKQHPFFAW48EA,5,80.00,見其他登記事項,鋼筋混凝土造,104年9月2日,三層,一層 二層 三層
RPRNMLTKQHPFFAW48EA,5,80.00,見其他登記事項,鋼筋混凝土造,104年9月2日,三層,一層 二層 三層
RPROMLSKQHPFFAW38DA,7,94.20,見其他登記事項,鋼筋混凝土造,102年11月20日,三層,三層
RPROMLSKQHPFFAW38DA,7,6.99,見其他登記事項,鋼筋混凝土造,102年11月20日,三層,
RPROMLSKQHPFFAW38DA,7,46.09,見其他登記事項,鋼筋混凝土造,102年11月20日,三層,
RPQNMLTKQHPFFAW28DA,4,87.18,見其他登記事項,鋼筋混凝土造,106年1月12日,三層,三層
RPQNMLTKQHPFFAW28DA,4,9.99,見其他登記事項,鋼筋混凝土造,106年1月12日,三層,
RPQNMLTKQHPFFAW28DA,4,46.63,見其他登記事項,鋼筋混凝土造,106年1月12日,三層,
RPPNMLNKQHPFFAW57DA,3,44.86,見其他登記事項,鋼筋混凝土造,106年10月30日,三層,一層
RPPNMLNKQHPFFAW57DA,3,5.39,見其他登記事項,鋼筋混凝土造,106年10月30日,三層,
RPWNMLRLPHPFFAW68DA,3,76.10,見其他登記事項,鋼筋混凝土造,106年4月7日,三層,一層
RPWNMLRLPHPFFAW68DA,3,6.52,見其他登記事項,鋼筋混凝土造,106年4月7日,三層,
RPQOMLOJQHPFFAW77DA,,75.18,見其他登記事項,鋼筋混凝土造,106年1月23日,三層,二層
RPQOMLOJQHPFFAW77DA,,6.55,見其他登記事項,鋼筋混凝土造,106年1月23日,三層,
RPXNMLQJQHPFFAW58DA,3,230.76,見其他登記事項,鋼筋混凝土造,105年10月24日,三層,一層 二層 三層 屋頂突出物
RPQNMLKKQHPFFAW37DA,1,194.50,見其他登記事項,鋼筋混凝土造,108年10月2日,四層,一層 二層 三層 見其他登記事項
RPSNMLPLQHPFFAW18DA,20,81.51,住家用,鋼骨混凝土造,89年8月21日,十二層,九層
RPSNMLPLQHPFFAW18DA,20,23.14,見其他登記事項,鋼骨混凝土造,89年8月21日,十二層,
RPRNMLRKQHPFFAW18DA,,95.90,見其他登記事項,鋼筋混凝土造,107年5月14日,三層,二層
RPRNMLRKQHPFFAW18DA,,60.39,見其他登記事項,鋼筋混凝土造,107年5月14日,三層,
RPRNMLRKQHPFFAW18DA,,15.04,見其他登記事項,鋼筋混凝土造,107年5月14日,三層,
RPPNMLPJQHPFFAW67DA,,75.98,見其他登記事項,鋼筋混凝土造,106年1月23日,三層,二層
RPPNMLPJQHPFFAW67DA,,6.55,見其他登記事項,鋼筋混凝土造,106年1月23日,三層,
RPPNMLOLQHPFFAW77DA,16,81.06,見其他登記事項,鋼筋混凝土造,93年5月10日,五層,三層
RPPNMLOLQHPFFAW77DA,16,23.36,見其他登記事項,鋼筋混凝土造,93年5月10日,五層,
RPPNMLOLQHPFFAW77DA,16,22.77,見其他登記事項,鋼筋混凝土造,93年5月10日,五層,
RPTNMLRLQHPFFAW58EA,,172.29,住家用,鋼筋混凝土造,109年5月29日,三層,一層 二層 三層 屋頂突出物
RPPNMLRLQHPFFAW08DA,,75.93,見其他登記事項,鋼筋混凝土造,109年7月21日,三層,一層
RPPNMLRLQHPFFAW08DA,,9.15,見其他登記事項,鋼筋混凝土造,109年7月21日,三層,
