編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPVNMLKLQHPFFAW08EA,庵前村測段,15.54,非都市： ; 非都市編定：,全筆移轉
RPXNMLSKQHPFFAW98EA,盤山村測段,51.24,非都市： ; 非都市編定：,全筆移轉
RPXNMLSKQHPFFAW98EA,盤山村測段,30.26,非都市： ; 非都市編定：,全筆移轉
RPWNMLRKQHPFFAW68DA,蔡厝劃測段,1560.34,都市：其他,全筆移轉
RPSNMLKLQHPFFAW77EA,赤岑段,510.42,都市：其他,全筆移轉
RPSNMLKLQHPFFAW77EA,赤岑段,615.01,都市：其他,全筆移轉
RPSNMLKLQHPFFAW77EA,大園段,422.60,都市：其他,全筆移轉
RPSNMLKLQHPFFAW77EA,大園段,704.68,都市：其他,全筆移轉
RPWNMLKLQHPFFAW18EA,沙港劃段,1000.01,都市：其他,全筆移轉
RPTNMLRKQHPFFAW38DA,北二三劃測段,891.92,都市：其他,全筆移轉
RPTNMLRKQHPFFAW38DA,北二三劃測段,108.09,都市：其他,全筆移轉
RPRNMLTLPHPFFAW38DA,祥安段,33.14,都市：其他,持分移轉
RPRNMLTLPHPFFAW38DA,祥安段,16.57,都市：其他,持分移轉
RPRNMLTLPHPFFAW38DA,祥安段,.37,都市：其他,持分移轉
RPRNMLTLPHPFFAW38DA,祥安段,.18,都市：其他,持分移轉
RPRNMLTLPHPFFAW38DA,祥安段,.19,都市：其他,持分移轉
RPRNMLTLPHPFFAW38DA,祥安段,.38,都市：其他,持分移轉
RPRNMLTLPHPFFAW38DA,祥安段,.25,都市：其他,持分移轉
RPRNMLTLPHPFFAW38DA,祥安段,.12,都市：其他,持分移轉
RPRNMLTLPHPFFAW38DA,山前段,64.57,都市：其他,持分移轉
RPRNMLTLPHPFFAW38DA,山前段,32.29,都市：其他,持分移轉
RPRNMLTLPHPFFAW38DA,斗門劃測段,11.69,都市：其他,持分移轉
RPRNMLTLPHPFFAW38DA,斗門劃測段,5.85,都市：其他,持分移轉
RPPNMLLKQHPFFAW37DA,高坑劃測段,420.00,都市：其他,全筆移轉
RPPNMLLKQHPFFAW37DA,高坑劃測段,505.42,都市：其他,全筆移轉
RPXNMLRKQHPFFAW78DA,蔡厝劃測段,1620.02,都市：其他,全筆移轉
RPRNMLKLQHPFFAW57DA,龍潭段,245.61,都市：其他,全筆移轉
RPRNMLKLQHPFFAW57DA,龍潭段,5.09,都市：其他,全筆移轉
RPQNMLOLQHPFFAW97EA,湖前段,18.75,都市：其他,持分移轉
RPQNMLOLQHPFFAW97EA,湖前段,18.75,都市：其他,持分移轉
RPOOMLKLQHPFFAW37DA,寧劃段,890.50,都市：其他,全筆移轉
RPUNMLOLQHPFFAW38EA,寧湖二劃測段,1000.01,都市：其他,全筆移轉
RPTNMLKLQHPFFAW77DA,青岐段,40.00,都市：其他,全筆移轉
RPRNMLTKQHPFFAW48EA,賢聚測段,51.02,都市：其他,持分移轉
RPRNMLTKQHPFFAW48EA,賢聚測段,51.02,都市：其他,持分移轉
RPROMLSKQHPFFAW38DA,北二三劃測段,52.53,都市：其他,持分移轉
RPQNMLTKQHPFFAW28DA,東店段,63.05,都市：其他,持分移轉
RPPNMLNKQHPFFAW57DA,寧湖二劃測段,30.95,都市：其他,持分移轉
RPWNMLRLPHPFFAW68DA,夏興段,48.38,都市：其他,持分移轉
RPUNMLPLQHPFFAW38DA,北二三劃測段,1000.01,都市：其他,全筆移轉
RPQOMLOJQHPFFAW77DA,東坑村測段,46.09,都市：其他,持分移轉
RPXNMLQJQHPFFAW58DA,沙東劃段,129.19,都市：其他,持分移轉
RPQNMLKKQHPFFAW37DA,湖前段,83.68,都市：其他,持分移轉
RPSNMLPLQHPFFAW18DA,城西段,11.64,都市：其他,持分移轉
RPRNMLRKQHPFFAW18DA,湖前段,67.36,都市：其他,持分移轉
RPPNMLPJQHPFFAW67DA,東坑村測段,46.09,都市：其他,持分移轉
RPOOMLQLQHPFFAW97DA,北二三劃測段,500.01,都市：其他,全筆移轉
RPPNMLOLQHPFFAW77DA,湖前段,27.74,都市：其他,持分移轉
RPXNMLQLQHPFFAW78DA,庵前村測段,122.87,都市：其他,持分移轉
RPXNMLQLQHPFFAW78DA,庵前村測段,122.87,都市：其他,持分移轉
RPXNMLQLQHPFFAW78DA,庵前村測段,122.87,都市：其他,持分移轉
RPQNMLRLQHPFFAW18DA,沙港劃段,1000.08,都市：其他,全筆移轉
RPTNMLRLQHPFFAW58EA,西山段,180.23,都市：其他,全筆移轉
RPPNMLRLQHPFFAW08DA,嚨口村測段,44.71,都市：其他,持分移轉
