,鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,address,longitude,latitude,floor
0,The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,addr,lat,long,floor
1,桃園區,房地(土地+建物)+車位,正光二街181~210號,31.83,其他,,,1080313,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090701,203.98,4,2,2,有,有,15500000,81343,坡道平面,31.87,1500000,,RPXPMLLLPHPFFAH86DA,101.41,1.87,12.13,有,桃園市桃園區正光二街181號,24.99980642,121.29165563,15
2,桃園區,房地(土地+建物)+車位,正光二街181~210號,31.83,其他,,,1080116,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090701,203.98,4,2,2,有,有,15600000,80762,坡道平面,31.87,1700000,,RPOQMLLLPHPFFAH68DA,101.41,1.87,12.13,有,桃園市桃園區正光二街181號,24.99980642,121.29165563,15
3,桃園區,房地(土地+建物)+車位,正光二街181~210號,31.83,其他,,,1080116,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090701,203.98,4,2,2,有,有,15700000,81343,坡道平面,31.87,1700000,,RPTQMLLLPHPFFAH56DA,101.41,1.87,12.13,有,桃園市桃園區正光二街181號,24.99980642,121.29165563,15
4,桃園區,房地(土地+建物)+車位,正光二街181巷1~30號,26.16,其他,,,1080308,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090701,172.72,3,2,2,有,有,13230000,82266,坡道平面,31.35,1600000,,RPTTMLLLPHPFFAH86DA,84.86,1.62,8.33,有,桃園市桃園區正光二街181巷1號,24.99944542,121.29167763,13
5,桃園區,房地(土地+建物)+車位,正光二街181巷1~30號,26.17,其他,,,1080110,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090701,173.24,3,2,2,有,有,13180000,81913,坡道平面,31.87,1600000,,RPXUMLLLPHPFFAH37DA,84.86,1.62,8.33,有,桃園市桃園區正光二街181巷1號,24.99944542,121.29167763,13
6,桃園區,房地(土地+建物)+車位,民富十一街1~30號,31.79,其他,,,1090430,土地3建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090527,150.73000000000002,3,2,2,有,有,9010000,63830,坡道平面,34.64,1600000,,RPTTMLTLPHPFFAH67DA,64.38,6.11,7.8,有,桃園市桃園區民富十一街1號,25.011176,121.317788,12
7,桃園區,房地(土地+建物)+車位,民富十一街1~30號,31.66,其他,,,1090430,土地3建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090527,150.01,3,2,2,有,有,9430000,67869,坡道平面,34.64,1600000,,RPOPMLKMPHPFFAH58DA,64.38,6.11,7.39,有,桃園市桃園區民富十一街1號,25.011176,121.317788,12
8,桃園區,房地(土地+建物),正光路186巷61~90號,110.74,其他,,,1090729,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1051110,334.91,4,3,5,有,無,35000000,104506,,0.0,0,,RPXNMLLMPHPFFAH76DA,291.35,14.51,29.05,有,桃園市桃園區正光路186巷61號,24.99723542,121.29624163,5
9,桃園區,房地(土地+建物)+車位,大興路511~540號,112.17,其他,,,1090617,土地1建物1車位2,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0981220,373.21,4,3,4,有,有,18500000,49570,坡道平面,0.0,0,,RPSTMLOJQHPFFAH96DA,307.78,1.64,43.71,有,桃園市桃園區大興路511號,25.016283,121.315539,4
10,桃園區,房地(土地+建物)+車位,藝文一街61~90號,21.57,其他,,,1090616,土地1建物1車位2,四層,二十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1090106,278.89,0,0,0,無,有,32300000,122500,坡道平面,54.4,4800000,,RPTOMLRJQHPFFAH86DA,128.75,0.0,19.75,有,桃園市桃園區藝文一街61號,25.014776,121.300609,26
11,桃園區,土地,小檜溪段271~300地號,91.74,其他,,,1090807,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10992744,119825,,0.0,0,,RPTPMLRJQHPFFAH96DA,0.0,0.0,0.0,無,桃園市桃園區小檜溪段271號,24.99387997,121.30190407,
12,桃園區,房地(土地+建物)+車位,龍鳳三街65巷1~30號,19.48,其他,,,1090711,土地2建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880402,142.77,3,2,2,有,有,6400000,44827,坡道平面,35.02,0,,RPTNMLMKQHPFFAH98DA,77.01,0.0,10.11,有,桃園市桃園區龍鳳三街65巷1號,24.986182,121.280048,13
13,桃園區,房地(土地+建物),中埔六街151~180號,18.98,其他,,,1090718,土地1建物1車位0,一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930723,105.46000000000001,3,2,2,有,有,9010000,85435,,0.0,0,,RPQSMLKKQHPFFAH98DA,74.54,0.0,6.94,有,桃園市桃園區中埔六街151號,25.01798,121.29414,12
14,桃園區,房地(土地+建物)+車位,國際路二段121~150號,15.05,其他,,,1090711,土地1建物1車位1,十六層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841212,163.14,4,2,2,有,有,7300000,44747,坡道平面,0.0,0,陽台外推;,RPPSMLNKQHPFFAH56DA,98.27,0.0,12.33,有,桃園市桃園區國際路二段121號,24.993101,121.287963,17
15,桃園區,房地(土地+建物)+車位,藝文一街31~60號,21.57,其他,,,1090623,土地1建物1車位1,七層,二十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1090106,249.57,0,0,0,無,有,28590000,118676,坡道平面,27.2,2200000,,RPPQMLOKQHPFFAH09DA,128.75,0.0,19.75,有,桃園市桃園區藝文一街31號,25.014776,121.300609,27
16,桃園區,房地(土地+建物),文中一路301~330號,103.93,其他,,,1090809,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1080321,325.21,0,0,5,有,無,35580000,109406,,0.0,0,,RPVNMLSKQHPFFAH17DA,276.39,25.16,23.66,有,桃園市桃園區文中一路301號,25.004065,121.292592,4
17,桃園區,房地(土地+建物)+車位,天祥六街1~30號,12.07,其他,,,1090708,土地1建物1車位1,十七層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0901129,184.29,2,2,2,有,有,11600000,62944,坡道平面,0.0,0,,RPPNMLTKQHPFFAH66DA,94.1,0.0,12.5,有,桃園市桃園區天祥六街1號,25.022938,121.302555,19
18,桃園區,房地(土地+建物),大興西路二段181~210號,7.16,其他,,,1090714,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0921114,68.80000000000001,2,1,1,有,有,5350000,77762,,0.0,0,,RPVNMLTKQHPFFAH27DA,40.15,0.86,8.51,有,桃園市桃園區大興西路二段181號,25.009543,121.295848,14
