編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPPMLSKQHPFFBA78DA,36,106.40,住家用,鋼筋混凝土造,73年11月20日,五層,四層
RPPPMLSKQHPFFBA78DA,36,8.58,共有部分,鋼筋混凝土造,73年11月20日,五層,
RPOPMLSKQHPFFBA68DA,40,38.18,住家用,鋼筋混凝土造,69年7月29日,十二層,十一層
RPOPMLSKQHPFFBA68DA,40,12.57,見其他登記事項,鋼筋混凝土造,69年7月29日,十二層,
RPWOMLOLPHPFFCA09DA,27,174.60,商業用,鋼筋混凝土造,82年3月9日,十一層,八層
RPWOMLOLPHPFFCA09DA,27,49.85,共有部分,鋼筋混凝土造,82年3月9日,十一層,
RPWOMLOLPHPFFCA09DA,27,36.92,共有部分,鋼筋混凝土造,82年3月9日,十一層,
RPQWMLKLPHPFFCA88DA,44,43.02,住家用,鋼筋混凝土造,65年5月29日,四層,三層 陽台
RPQWMLKLPHPFFCA88DA,44,43.02,住家用,鋼筋混凝土造,65年5月29日,四層,三層 陽台
RPVPMLTKQHPFFBA86DA,38,81.97,住家用,鋼筋混凝土造,71年11月11日,七層,五層
RPVPMLTKQHPFFBA86DA,38,5.17,共有部分,鋼筋混凝土造,71年11月11日,七層,
RPWOMLSKQHPFFAA66DA,,185.59,住家用,鋼筋混凝土造,,四層,一層 平台
RPSNMLOJQHPFFCA48DA,25,69.19,住家用,鋼筋混凝土造,84年11月16日,十六層,六層
RPSNMLOJQHPFFCA48DA,25,12.08,共有部分,鋼筋混凝土造,84年11月16日,十六層,
RPUOMLSJQHPFFCA56DA,11,139.20,住家用,鋼骨鋼筋混凝土造,98年9月1日,十七層,十四層
RPUOMLSJQHPFFCA56DA,11,36.93,共有部分,鋼骨鋼筋混凝土造,98年9月1日,十七層,
RPUOMLSJQHPFFCA56DA,11,21.44,共有部分,鋼骨鋼筋混凝土造,98年9月1日,十七層,
RPUOMLSJQHPFFCA56DA,11,63.31,共有部分,鋼骨鋼筋混凝土造,98年9月1日,十七層,
RPWNMLOJQHPFFBA78DA,49,16.71,住家用,鋼筋混凝土造,60年10月6日,七層,三層
RPWNMLOJQHPFFBA78DA,49,3.86,共有部分,鋼筋混凝土造,60年10月6日,七層,
RPVNMLSKQHPFFCA66DA,19,56.41,停車空間,鋼筋混凝土造,90年10月29日,九層,地下二層
RPVNMLSKQHPFFCA66DA,19,13.48,共有部分,鋼筋混凝土造,90年10月29日,九層,
RPVNMLSKQHPFFCA66DA,19,72.91,共有部分,鋼筋混凝土造,90年10月29日,九層,
RPTOMLKKQHPFFCA38DA,39,39.53,住家用,鋼筋混凝土造,70年12月28日,十二層,九層
RPTOMLKKQHPFFCA38DA,39,12.85,共有部分,鋼筋混凝土造,70年12月28日,十二層,
RPQPMLTKQHPFFCA09DA,38,76.80,住家用,鋼筋混凝土造,71年10月16日,五層,三層
RPQPMLTKQHPFFCA09DA,38,7.36,共有部分,鋼筋混凝土造,71年10月16日,五層,
RPQNMLPKQHPFFCA48DA,11,29.69,商業用,鋼筋混凝土造,98年6月22日,十四層,三層
RPQNMLPKQHPFFCA48DA,11,6.11,共有部分,鋼筋混凝土造,98年6月22日,十四層,
RPQNMLPKQHPFFCA48DA,11,2.90,共有部分,鋼筋混凝土造,98年6月22日,十四層,
RPQNMLPKQHPFFCA48DA,11,7.47,共有部分,鋼筋混凝土造,98年6月22日,十四層,
RPQNMLPKQHPFFCA48DA,11,7.07,共有部分,鋼筋混凝土造,98年6月22日,十四層,
RPXOMLTKQHPFFCA07DA,14,106.67,住家用,鋼筋混凝土造,94年12月7日,十四層,五層
RPXOMLTKQHPFFCA07DA,14,24.72,共有部分,鋼筋混凝土造,94年12月7日,十四層,
RPXOMLTKQHPFFCA07DA,14,47.83,共有部分,鋼筋混凝土造,94年12月7日,十四層,
RPXOMLTKQHPFFCA07DA,14,9.49,共有部分,鋼筋混凝土造,94年12月7日,十四層,
RPXOMLTKQHPFFCA07DA,14,17.42,共有部分,鋼筋混凝土造,94年12月7日,十四層,
RPXOMLTKQHPFFCA07DA,14,7.36,共有部分,鋼筋混凝土造,94年12月7日,十四層,
RPXNMLLKQHPFFCA78DA,44,140.36,住家用,鋼筋混凝土造,65年10月4日,七層,三層
RPVSMLQJQHPFFDA96DA,11,36.58,共有部分,鋼筋混凝土造,98年7月2日,十九層,
RPVSMLQJQHPFFDA96DA,11,23.11,共有部分,鋼筋混凝土造,98年7月2日,十九層,
RPSQMLTJPHPFFDA66DA,,141.29,商業用,鋼筋混凝土造,,十二層,四層
RPSQMLTJPHPFFDA66DA,,17.82,共有部分,鋼筋混凝土造,,十二層,
RPSQMLTJPHPFFDA66DA,,4.90,共有部分,鋼筋混凝土造,,十二層,
RPRPMLTKQHPFFCA56DA,39,112.58,住家用,鋼筋混凝土造,70年12月15日,五層,三層
RPQOMLKKQHPFFDA18DA,,71.33,住家用,鋼筋混凝土造,,四層,一層 平台
RPVOMLMKQHPFFEA98DA,1,69.30,住家用,鋼骨鋼筋混凝土造,108年11月14日,十九層,三層
RPVOMLMKQHPFFEA98DA,1,77.80,見其他登記事項,鋼骨鋼筋混凝土造,108年11月14日,十九層,
RPPNMLTKQHPFFDA88DA,25,52.81,商業用,鋼筋混凝土造,84年12月19日,十六層,六層
RPPNMLTKQHPFFDA88DA,25,.62,商業用,鋼筋混凝土造,84年12月19日,十六層,四層
RPPNMLTKQHPFFDA88DA,25,.34,商業用,鋼筋混凝土造,84年12月19日,十六層,四層
RPPNMLTKQHPFFDA88DA,25,11.18,共有部分,鋼筋混凝土造,84年12月19日,十六層,
RPPNMLTKQHPFFDA88DA,25,2.98,共有部分,鋼筋混凝土造,84年12月19日,十六層,
RPPNMLTKQHPFFDA88DA,25,.00,共有部分,鋼筋混凝土造,84年12月19日,十六層,
RPPNMLTKQHPFFDA88DA,25,.00,共有部分,鋼筋混凝土造,84年12月19日,十六層,
RPPNMLTKQHPFFDA88DA,25,6.34,共有部分,鋼筋混凝土造,84年12月19日,十六層,
RPPNMLTKQHPFFDA88DA,25,.00,共有部分,鋼筋混凝土造,84年12月19日,十六層,
RPPNMLTKQHPFFDA88DA,25,.00,共有部分,鋼筋混凝土造,84年12月19日,十六層,
RPVRMLMKQHPFFEA66DA,32,138.34,住家用,鋼筋混凝土造,77年3月14日,七層,三層
RPVRMLMKQHPFFEA66DA,32,7.58,共有部分,鋼筋混凝土造,77年3月14日,七層,
RPPOMLSKQHPFFEA98DA,47,205.08,住家用,加強磚造,62年12月17日,二層,一層 二層
RPSOMLSKQHPFFEA66DA,43,98.25,住家用,鋼筋混凝土造,66年7月1日,五層,四層
RPWQMLTKQHPFFEA37DA,2,138.58,住家用,鋼筋混凝土造,107年6月14日,九層,三層
RPPNMLKLQHPFFEA18DA,44,115.20,住家用,鋼筋混凝土造,65年11月6日,七層,三層 陽台
RPWQMLTKQHPFFEA37DA,2,106.90,見其他登記事項,鋼筋混凝土造,107年6月14日,九層,
RPPNMLKLQHPFFEA18DA,44,5.20,共有部分,鋼筋混凝土造,65年11月6日,七層,
RPOQMLTKQHPFFEA56DA,25,26.49,住家用,鋼筋混凝土造,84年8月11日,六層,六層
RPOQMLTKQHPFFEA56DA,25,5.27,共有部分,鋼筋混凝土造,84年8月11日,六層,
RPOQMLTKQHPFFEA56DA,25,6.68,共有部分,鋼筋混凝土造,84年8月11日,六層,
RPOQMLTKQHPFFEA56DA,25,4.06,共有部分,鋼筋混凝土造,84年8月11日,六層,
RPPOMLNKQHPFFFA58DA,13,113.35,住家用,鋼筋混凝土造,95年11月13日,十四層,八層
RPPOMLNKQHPFFFA58DA,13,18.48,共有部分,鋼筋混凝土造,95年11月13日,十四層,
RPPOMLNKQHPFFFA58DA,13,24.83,共有部分,鋼筋混凝土造,95年11月13日,十四層,
RPPOMLNKQHPFFFA58DA,13,39.28,共有部分,鋼筋混凝土造,95年11月13日,十四層,
RPVNMLRKQHPFFEA76DA,39,93.88,住家用,鋼筋混凝土造,70年1月17日,五層,一層
RPXNMLKLQHPFFEA98DA,1,124.24,住家用,鋼筋混凝土造,108年7月25日,十八層,十四層
