編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPXOMLSKQHPFFBA86DA,橋北段一小段,5.17,都市：其他,持分移轉
RPPPMLSKQHPFFBA78DA,橋北段一小段,3.61,都市：其他,持分移轉
RPPPMLSKQHPFFBA78DA,橋北段一小段,28.31,都市：其他,持分移轉
RPOPMLSKQHPFFBA68DA,華江段三小段,7.68,都市：其他,持分移轉
RPWOMLOLPHPFFCA09DA,長春段一小段,17.17,都市：其他,持分移轉
RPWOMLOLPHPFFCA09DA,長春段一小段,1.08,都市：其他,持分移轉
RPQWMLKLPHPFFCA88DA,潭美段四小段,12.25,都市：其他,持分移轉
RPQWMLKLPHPFFCA88DA,潭美段四小段,12.25,都市：其他,持分移轉
RPVPMLTKQHPFFBA86DA,迪化段三小段,16.65,都市：其他,持分移轉
RPWOMLSKQHPFFAA66DA,南海段三小段,75.45,都市：其他,持分移轉
RPWOMLSKQHPFFAA66DA,南海段三小段,4.84,都市：其他,持分移轉
RPSNMLOJQHPFFCA48DA,康寧段三小段,19.23,都市：其他,持分移轉
RPUOMLSJQHPFFCA56DA,長春段二小段,31.01,都市：其他,持分移轉
RPWNMLOJQHPFFBA78DA,直興段一小段,3.60,都市：其他,持分移轉
RPVNMLSKQHPFFCA66DA,文德段五小段,9.63,都市：其他,持分移轉
RPTOMLKKQHPFFCA38DA,吉林段四小段,4.32,都市：其他,持分移轉
RPQPMLTKQHPFFCA09DA,碧湖段四小段,24.15,都市：其他,持分移轉
RPQPMLTKQHPFFCA09DA,碧湖段四小段,.10,都市：其他,持分移轉
RPQPMLTKQHPFFCA09DA,碧湖段四小段,1.15,都市：其他,持分移轉
RPQNMLPKQHPFFCA48DA,中山段一小段,3.16,都市：其他,持分移轉
RPXOMLTKQHPFFCA07DA,中山段一小段,18.39,都市：其他,持分移轉
RPXNMLLKQHPFFCA78DA,吉林段二小段,20.52,都市：其他,持分移轉
RPTNMLKLQHPFFCA38DA,東湖段六小段,484.92,都市：其他,持分移轉
RPVSMLQJQHPFFDA96DA,信義段三小段,.31,都市：其他,持分移轉
RPSQMLTJPHPFFDA66DA,逸仙段三小段,5.31,都市：其他,持分移轉
RPSQMLTJPHPFFDA66DA,逸仙段三小段,13.58,都市：其他,持分移轉
RPPNMLKLQHPFFDA08DA,麗山段三小段,2980.02,都市：其他,全筆移轉
RPRPMLTKQHPFFCA56DA,康寧段三小段,31.81,都市：其他,持分移轉
RPXNMLKKQHPFFEA88DA,八仙段一小段,172.38,都市：其他,持分移轉
RPSPMLSKQHPFFEA76DA,富安段一小段,634.08,都市：其他,持分移轉
RPQOMLKKQHPFFDA18DA,吳興段三小段,26.75,都市：其他,持分移轉
RPVOMLMKQHPFFEA98DA,陽明段四小段,20.95,都市：其他,持分移轉
RPPNMLTKQHPFFDA88DA,玉成段三小段,6.36,都市：其他,持分移轉
RPVRMLMKQHPFFEA66DA,天母段二小段,30.63,都市：其他,持分移轉
RPPOMLSKQHPFFEA98DA,天玉段二小段,419.86,都市：其他,持分移轉
RPSOMLSKQHPFFEA66DA,文林段一小段,24.33,都市：其他,持分移轉
RPWQMLTKQHPFFEA37DA,三合段,39.58,都市：其他,持分移轉
RPPNMLKLQHPFFEA18DA,三玉段二小段,13.23,都市：其他,持分移轉
RPPNMLKLQHPFFEA18DA,三玉段二小段,6.68,都市：其他,持分移轉
RPOQMLTKQHPFFEA56DA,秀山段一小段,11.86,都市：其他,持分移轉
RPPOMLNKQHPFFFA58DA,辛亥段一小段,11.13,都市：其他,持分移轉
RPPOMLNKQHPFFFA58DA,辛亥段一小段,20.36,都市：其他,持分移轉
RPVNMLRKQHPFFEA76DA,百齡段三小段,27.15,都市：其他,持分移轉
RPXNMLKLQHPFFEA98DA,奇岩段四小段,27.81,都市：其他,持分移轉
RPUOMLTKQHPFFAA66EA,博嘉段四小段,17.98,都市：其他,持分移轉
RPUOMLTKQHPFFAA66EA,博嘉段四小段,4.92,都市：其他,持分移轉
RPUOMLTKQHPFFAA66EA,博嘉段四小段,.91,都市：其他,持分移轉
RPUOMLTKQHPFFAA66EA,博嘉段四小段,1.05,都市：其他,持分移轉
RPUOMLTKQHPFFAA66EA,博嘉段四小段,3.34,都市：其他,持分移轉
RPUOMLTKQHPFFAA66EA,博嘉段四小段,3.60,都市：其他,持分移轉
RPUOMLTKQHPFFAA66EA,博嘉段四小段,4.83,都市：其他,持分移轉
RPSPMLTKQHPFFFA96DA,大安段一小段,22.73,都市：其他,持分移轉
RPROMLTKQHPFFAA98EA,南海段三小段,12.27,都市：其他,持分移轉
RPROMLTKQHPFFAA98EA,南海段三小段,3.02,都市：其他,持分移轉
RPTPMLSKQHPFFEA86DA,文林段三小段,3.50,都市：其他,持分移轉
RPTPMLSKQHPFFEA86DA,文林段三小段,17.51,都市：其他,持分移轉
SPWPMLTKQHPFFBA17EA,大同段一小段,.11,都市：其他,持分移轉
RPPOMLKLQHPFFAA97EA,景美段五小段,5.30,都市：其他,持分移轉
RPPQMLTKQHPFFEA66DA,奇岩段一小段,144.78,都市：其他,持分移轉
RPPQMLTKQHPFFEA66DA,奇岩段一小段,.28,都市：其他,持分移轉
RPPQMLTKQHPFFEA66DA,奇岩段一小段,.37,都市：其他,持分移轉
RPWPMLTKQHPFFBA07EA,大同段一小段,6.88,都市：其他,持分移轉
TPWPMLTKQHPFFBA27EA,華江段三小段,242.31,都市：其他,持分移轉
RPRQMLTKQHPFFBA66EA,迪化段一小段,7.50,都市：其他,持分移轉
RPROMLTKQHPFFBA09EA,青年段一小段,3.25,都市：其他,持分移轉
SPROMLTKQHPFFBA56EA,圓環段一小段,11.00,都市：其他,持分移轉
RPRNMLTKQHPFFBA98EA,漢中段一小段,5.00,都市：其他,持分移轉
RPRNMLTKQHPFFBA98EA,漢中段一小段,15.75,都市：其他,持分移轉
RPSNMLOLQHPFFBA68EA,公園段二小段,11.83,都市：其他,持分移轉
RPSNMLOLQHPFFBA68EA,公園段二小段,2.50,都市：其他,持分移轉
RPSNMLOLQHPFFBA68EA,公園段二小段,6.00,都市：其他,持分移轉
RPSNMLOLQHPFFBA68EA,公園段二小段,1.33,都市：其他,持分移轉
RPXNMLKKQHPFFCA78EA,長春段二小段,28.41,都市：其他,持分移轉
RPXNMLKKQHPFFCA78EA,長春段二小段,5.97,都市：其他,持分移轉
RPPPMLSKQHPFFCA98EA,潭美段三小段,10.70,都市：其他,持分移轉
RPPPMLSKQHPFFCA98EA,潭美段三小段,10.70,都市：其他,持分移轉
RPRNMLTKQHPFFFA66DA,懷生段三小段,10.11,都市：其他,持分移轉
RPXOMLSKQHPFFCA07EA,康寧段三小段,37.41,都市：其他,持分移轉
RPWOMLSKQHPFFCA96EA,文德段四小段,15.18,都市：其他,持分移轉
RPWOMLSKQHPFFCA96EA,文德段四小段,15.18,都市：其他,持分移轉
RPTNMLRKPHPFFBA88EA,市府段三小段,29.59,都市：其他,持分移轉
RPTNMLRKPHPFFBA88EA,市府段三小段,1.06,都市：其他,持分移轉
RPTNMLRKPHPFFBA88EA,市府段三小段,2.32,都市：其他,持分移轉
RPTNMLRKPHPFFBA88EA,市府段三小段,.31,都市：其他,持分移轉
RPTNMLKKQHPFFAA18EA,永昌段四小段,26.31,都市：其他,持分移轉
RPTNMLKKQHPFFAA18EA,永昌段四小段,.01,都市：其他,持分移轉
RPRQMLTKQHPFFCA76EA,吉林段三小段,9.38,都市：其他,持分移轉
RPVPMLTKQHPFFCA07EA,西湖段二小段,28.59,都市：其他,持分移轉
RPWPMLSKQHPFFCA07EA,文德段一小段,25.11,都市：其他,持分移轉
RPQQMLTKQHPFFCA66EA,石潭段四小段,.19,都市：其他,持分移轉
RPQQMLTKQHPFFCA66EA,石潭段四小段,.01,都市：其他,持分移轉
RPQQMLTKQHPFFCA66EA,石潭段四小段,.00,都市：其他,持分移轉
RPXPMLSKQHPFFCA17EA,康寧段四小段,11.80,都市：其他,持分移轉
RPXPMLSKQHPFFCA17EA,康寧段四小段,.04,都市：其他,持分移轉
RPXPMLSKQHPFFCA17EA,康寧段四小段,.04,都市：其他,持分移轉
RPXPMLSKQHPFFCA17EA,康寧段三小段,.44,都市：其他,持分移轉
RPUQMLTKQHPFFCA07EA,潭美段五小段,22.08,都市：其他,持分移轉
TPRQMLTKQHPFFCA96EA,文德段二小段,.60,都市：其他,持分移轉
RPPPMLTKQHPFFDA56EA,新光段三小段,4.72,都市：其他,持分移轉
RPSQMLTKQHPFFCA86EA,碧湖段二小段,193.00,都市：其他,全筆移轉
SPPPMLTKQHPFFDA66EA,新光段二小段,19.00,都市：其他,全筆移轉
RPOQMLQJQHPFFDA78EA,寶清段七小段,11.09,都市：其他,持分移轉
RPUPMLTKQHPFFDA07EA,寶清段五小段,3.90,都市：其他,持分移轉
RPOOMLSKQHPFFDA88EA,永吉段二小段,24.00,都市：其他,持分移轉
RPOOMLSKQHPFFDA88EA,永吉段二小段,10.00,都市：其他,持分移轉
RPSNMLTKQHPFFDA66EA,信義段二小段,11.59,都市：其他,持分移轉
RPSNMLTKQHPFFDA66EA,信義段二小段,4.06,都市：其他,持分移轉
RPSNMLTKQHPFFDA66EA,信義段二小段,.01,都市：其他,持分移轉
RPQPMLTKQHPFFDA66EA,玉成段三小段,31.72,都市：其他,持分移轉
SPRQMLTKQHPFFCA86EA,文德段二小段,20.28,都市：其他,持分移轉
RPSNMLTKQHPFFEA76EA,行義段三小段,.16,都市：其他,持分移轉
RPSNMLTKQHPFFEA76EA,行義段三小段,.17,都市：其他,持分移轉
RPSNMLTKQHPFFEA76EA,行義段三小段,44.87,都市：其他,持分移轉
RPSNMLTKQHPFFEA76EA,行義段三小段,.24,都市：其他,持分移轉
RPVNMLTKQHPFFEA07EA,永平段二小段,18.10,都市：其他,持分移轉
RPVNMLTKQHPFFEA07EA,永平段二小段,11.82,都市：其他,持分移轉
RPVNMLTKQHPFFEA07EA,永平段二小段,.19,都市：其他,持分移轉
RPOQMLKLQHPFFDA38EA,祥和段四小段,31.25,都市：其他,持分移轉
RPSPMLTKQHPFFEA96EA,富安段三小段,13.70,都市：其他,持分移轉
RPOOMLTKQHPFFEA09EA,永新段一小段,1.98,都市：其他,持分移轉
RPOOMLTKQHPFFEA09EA,永新段一小段,31.20,都市：其他,持分移轉
RPOOMLTKQHPFFEA09EA,永新段一小段,.03,都市：其他,持分移轉
RPOOMLTKQHPFFEA09EA,永新段一小段,.79,都市：其他,持分移轉
RPPQMLTKQHPFFEA76EA,關渡段二小段,1.04,都市：其他,持分移轉
RPPQMLTKQHPFFEA76EA,關渡段二小段,.08,都市：其他,持分移轉
RPROMLTKQHPFFEA76EA,豐年段四小段,1254.00,都市：其他,全筆移轉
RPROMLTKQHPFFEA76EA,豐年段四小段,136.00,都市：其他,全筆移轉
RPSRMLTKQHPFFEA17EA,文林段五小段,211.92,都市：其他,持分移轉
SPSRMLTKQHPFFEA27EA,開明段一小段,10.00,都市：其他,全筆移轉
RPXPMLTKQHPFFCA27EA,德惠段三小段,2.44,都市：其他,持分移轉
RPXPMLTKQHPFFCA27EA,德惠段三小段,4.12,都市：其他,持分移轉
RPTOMLTKQHPFFEA96EA,大業段四小段,169.36,都市：其他,持分移轉
TPSRMLTKQHPFFEA37EA,開明段一小段,53.50,都市：其他,全筆移轉
UPSRMLTKQHPFFEA47EA,天山段二小段,12.50,都市：其他,持分移轉
VPSRMLTKQHPFFEA57EA,芝山段二小段,9.19,都市：其他,持分移轉
RPUQMLTKQHPFFEA27EA,三玉段三小段,11.32,都市：其他,持分移轉
XPSRMLTKQHPFFEA77EA,永新段四小段,.80,都市：其他,持分移轉
WPSRMLTKQHPFFEA67EA,陽明段一小段,1.19,都市：其他,持分移轉
RPTOMLTKQHPFFCA76EA,吉林段五小段,20.50,都市：其他,持分移轉
RPTOMLTKQHPFFCA76EA,吉林段五小段,2.48,都市：其他,持分移轉
RPTOMLTKQHPFFCA76EA,吉林段五小段,.21,都市：其他,持分移轉
SPROMLTKQHPFFFA96EA,通化段六小段,2.02,都市：其他,持分移轉
RPTNMLRLPHPFFFA76EA,復興段一小段,44.75,都市：其他,持分移轉
RPOOMLTKQHPFFFA56EA,通化段三小段,3.02,都市：其他,持分移轉
TPROMLTKQHPFFFA07EA,通化段六小段,.19,都市：其他,持分移轉
RPPNMLTKQHPFFEA09EA,百齡段五小段,37.75,都市：其他,持分移轉
RPWOMLTKQHPFFEA27EA,新民段二小段,8.27,都市：其他,持分移轉
RPROMLTKQHPFFFA86EA,通化段六小段,1.33,都市：其他,持分移轉
RPUOMLTKQHPFFFA17EA,龍泉段二小段,12.33,都市：其他,持分移轉
RPRPMLTKQHPFFFA96EA,龍泉段三小段,26.50,都市：其他,持分移轉
RPRPMLTKQHPFFFA96EA,龍泉段二小段,31.00,都市：其他,全筆移轉
RPVPMLTKQHPFFFA37EA,通化段一小段,13.33,都市：其他,持分移轉
UPROMLTKQHPFFFA17EA,懷生段一小段,5.38,都市：其他,持分移轉
SPVPMLTKQHPFFFA47EA,通化段一小段,11.67,都市：其他,持分移轉
