鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
內湖區,建物,臺北市內湖區行善路31~60號,0.0,住,,,1090717,土地0建物1車位0,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870506,124.08,3,2,2,有,有,有,26000,210,,0.0,0,,RPXOMLLLPHPFFCA98CC
內湖區,建物,臺北市內湖區內湖路一段31~60號,0.0,住,,,1090706,土地0建物0車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780920,60.45,2,1,1,有,無,有,31000,513,,0.0,0,第2層共分成19間，一房平均面積約為30.23平方公尺，兩房平均面積約為60.45平方公尺,RPOPMLLLPHPFFCA18CC
內湖區,建物,臺北市內湖區內湖路一段31~60號,0.0,住,,,1090713,土地0建物0車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780920,60.45,2,1,1,有,無,有,27300,452,,0.0,0,第2層共分成19間，一房平均面積約為30.23平方公尺，兩房平均面積約為60.45平方公尺,RPPPMLLLPHPFFCA28CC
內湖區,建物,臺北市內湖區民權東路六段1~30號,0.0,工,,,1090623,土地0建物1車位1,二層,7,廠辦,見其他登記事項,鋼筋混凝土造,0980327,1453.4299999999998,0,0,0,無,有,無,357000,246,坡道平面,31.24,0,,RPTQMLLLPHPFFCA78CC
中山區,建物,臺北市中山區民生東路三段31~60號,0.0,商,,,1090623,土地0建物1車位0,十三層,16,辦公商業大樓,商業用,鋼筋混凝土造,0750412,841.18,0,0,0,無,有,無,509050,605,,0.0,0,,RPVQMLLLPHPFFCA98CC
中山區,建物,臺北市中山區建國北路三段121~150號,0.0,商,,,1090630,土地0建物1車位0,一層,8,店面(店鋪),商業用,鋼筋混凝土造,0780123,122.73,0,0,0,無,無,無,48814,398,,0.0,0,,RPURMLLLPHPFFCA98CC
內湖區,建物,臺北市內湖區洲子街61~90號,0.0,工,,,1090701,土地0建物1車位0,一層,10,廠辦,工業用,鋼筋混凝土造,0871029,250.5,0,0,0,無,有,無,204336,816,,0.0,0,,RPQSMLLLPHPFFCA68CC
中山區,建物,臺北市中山區農安街1~30號,0.0,商,,,1090703,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0890501,136.32,2,2,1,有,有,有,39000,286,,0.0,0,,RPOTMLLLPHPFFCA58CC
大同區,建物,臺北市大同區市民大道一段181~210號,0.0,其他,,,1090701,土地0建物1車位0,九層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0980724,79.91,1,1,1,有,有,有,45000,563,,0.0,0,租賃範圍不含車位，且無法區分車位面積。;含管理費、稅金或水電等費用。;,RPTNMLLLPHPFFBA38CC
中正區,房地(土地+建物),臺北市中正區許昌街31~60號,159.99,商,,,1090713,土地3建物1車位0,九層,11,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,,846.88,0,1,3,有,有,有,330000,390,,0.0,0,,RPROMLLLPHPFFBA28CC
大同區,車位,臺北市大同區南京西路18巷1~30號,0.0,商,,,1090718,土地0建物0車位1,,0,其他,見其他登記事項,鋼筋混凝土造,1001129,6.84,0,0,0,有,有,無,3500,,塔式車位,0.0,3500,續租。;租金含管理費,RPTOMLLLPHPFFBA48CC
信義區,建物,臺北市信義區忠孝東路五段481~510號,0.0,住,,,1090624,土地0建物1車位0,十層,17,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,0820514,86.56,0,0,0,無,無,無,35000,404,,0.0,0,,RPROMLLLPHPFFDA48CC
信義區,建物,臺北市信義區忠孝東路五段481~510號,0.0,住,,,1090708,土地0建物1車位0,十層,27,辦公商業大樓,商業用,鋼骨混凝土造,0820813,195.38,1,1,1,有,有,無,90000,461,,0.0,0,,RPTOMLLLPHPFFDA68CC
信義區,建物,臺北市信義區基隆路一段421~450號,0.0,商,,,1090703,土地0建物1車位0,一層,15,店面(店鋪),商業用,鋼筋混凝土造,,118.08,0,0,0,無,有,無,80000,678,,0.0,0,,RPWOMLLLPHPFFDA98CC
松山區,建物,臺北市松山區南京東路三段271~300號,0.0,商,,,1090721,土地0建物0車位0,十層,14,辦公商業大樓,商業用,鋼筋混凝土造,0750923,130.38,2,0,2,有,有,有,80000,614,,0.0,0,,RPQPMLLLPHPFFDA48CC
南港區,建物,臺北市南港區園區街1~30號,0.0,其他,,,1090629,土地0建物1車位4,十層,21,廠辦,見其他登記事項,見其他登記事項,0920530,687.79,0,0,0,無,有,無,280800,408,坡道平面,142.5,0,,RPPQMLLLPHPFFDA48CC
北投區,建物,臺北市北投區西安街一段271~300號,0.0,商,,,1090628,土地0建物1車位0,一層,4,店面(店鋪),商業用,鋼筋混凝土造,0641022,87.57,0,1,1,有,無,無,40000,457,,0.0,0,,RPRNMLLLPHPFFEA48CC
士林區,建物,臺北市士林區福華路1~30號,0.0,住,,,1090622,土地0建物1車位1,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070709,154.97,3,2,2,有,有,有,40856,264,升降平面,37.8,0,,RPVNMLLLPHPFFEA88CC
北投區,建物,臺北市北投區實踐街61~90號,0.0,住,,,1090701,土地0建物1車位0,一層,8,店面(店鋪),商業用,鋼筋混凝土造,0831102,35.16,0,1,1,有,無,無,25000,711,,0.0,0,,RPSOMLLLPHPFFEA68CC
士林區,建物,臺北市士林區福華路121~150號,0.0,住,,,1090717,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610623,94.01,3,2,1,有,無,有,29500,314,,0.0,0,,RPXOMLLLPHPFFEA56CC
北投區,建物,臺北市北投區明德路331巷31~60號,33.82,商,,,1090710,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690408,145.85,4,2,2,有,無,無,32000,219,,0.0,0,,RPTPMLLLPHPFFEA88CC
士林區,建物,臺北市士林區承德路四段331~360號,0.0,住,,,1090709,土地0建物0車位0,五層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0700820,38.89,1,0,1,有,無,有,13300,342,,0.0,0,,RPQQMLLLPHPFFEA68CC
大安區,車位,臺北市大安區和平東路一段75巷61~90號,0.0,,,,1090623,土地0建物0車位1,,12,其他,見使用執照,鋼筋混凝土造,0751224,34.64,0,0,0,有,有,無,4000,,升降平面,34.64,4000,,RPUNMLLLPHPFFFA88CC
大安區,車位,臺北市大安區和平東路一段91~120號,0.0,,,,1090629,土地0建物0車位1,,18,其他,停車空間,鋼筋混凝土造,0860702,38.24,0,0,0,有,有,無,6400,,坡道平面,38.24,6400,,RPVNMLLLPHPFFFA98CC
大安區,建物,臺北市大安區忠孝東路三段217巷4弄1~30號,0.0,住,,,1090702,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,152.58,4,2,2,有,有,有,58000,380,,0.0,0,,RPQOMLLLPHPFFFA58CC
大安區,建物,臺北市大安區羅斯福路三段151~180號,0.0,其他,,,1090701,土地0建物1車位0,十六層,16,套房(1房1廳1衛),住家用,鋼筋混凝土造,0941102,52.379999999999995,1,1,1,有,有,有,35000,668,,0.0,0,租金含管理費。,RPSOMLLLPHPFFFA78CC
中正區,建物,臺北市中正區和平西路一段1~30號,0.0,商,,,1090714,土地0建物0車位0,十一層,11,套房(1房1廳1衛),商業用,鋼筋混凝土造,,40.67,1,0,1,有,無,有,12800,315,,0.0,0,此為分租套房，房號215，第11層分成22間，一間平均面積為40.67平方公尺,RPVNMLLLPHPFFAA48CC
文山區,建物,臺北市文山區萬隆街52巷1~30號,0.0,住,,,1090701,土地0建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930827,64.87,2,1,1,有,有,有,17000,262,,0.0,0,,RPPOMLLLPHPFFAA97CC
