編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPPMLLLPHPFFCA28CC,西湖段二小段,.00,都市：住,全筆移轉
RPPPMLLLPHPFFCA28CC,西湖段二小段,.00,都市：住,全筆移轉
RPXOMLLLPHPFFCA98CC,舊宗段,.00,都市：住,全筆移轉
RPTNMLLLPHPFFBA38CC,市府段一小段,.00,都市：其他,全筆移轉
RPTQMLLLPHPFFCA78CC,舊宗段,.00,都市：工,全筆移轉
RPTQMLLLPHPFFCA78CC,舊宗段,.00,都市：工,全筆移轉
RPOTMLLLPHPFFCA58CC,中山段一小段,.00,都市：商,全筆移轉
RPOPMLLLPHPFFCA18CC,西湖段二小段,.00,都市：住,全筆移轉
RPOPMLLLPHPFFCA18CC,西湖段二小段,.00,都市：住,全筆移轉
RPQSMLLLPHPFFCA68CC,西湖段四小段,.00,都市：工,全筆移轉
RPVQMLLLPHPFFCA98CC,榮星段五小段,.00,都市：商,全筆移轉
RPURMLLLPHPFFCA98CC,榮星段四小段,.00,都市：商,全筆移轉
RPROMLLLPHPFFBA28CC,公園段二小段,15.09,都市：商,全筆移轉
RPROMLLLPHPFFBA28CC,公園段二小段,144.18,都市：商,全筆移轉
RPROMLLLPHPFFBA28CC,公園段二小段,.72,都市：其他,全筆移轉
RPQPMLLLPHPFFDA48CC,敦化段一小段,.00,都市：商,全筆移轉
RPQPMLLLPHPFFDA48CC,敦化段一小段,.00,都市：商,全筆移轉
RPQPMLLLPHPFFDA48CC,敦化段一小段,.00,都市：商,全筆移轉
RPQPMLLLPHPFFDA48CC,敦化段一小段,.00,都市：商,全筆移轉
RPQPMLLLPHPFFDA48CC,敦化段一小段,.00,都市：商,全筆移轉
RPTOMLLLPHPFFBA48CC,市府段一小段,.00,都市：商,全筆移轉
RPTOMLLLPHPFFDA68CC,福德段三小段,.00,都市：住,全筆移轉
RPROMLLLPHPFFDA48CC,福德段三小段,.00,都市：住,全筆移轉
RPWOMLLLPHPFFDA98CC,逸仙段三小段,.00,都市：商,全筆移轉
RPWOMLLLPHPFFDA98CC,逸仙段三小段,.00,都市：商,全筆移轉
RPPQMLLLPHPFFDA48CC,經貿段,.00,都市：其他,全筆移轉
RPVNMLLLPHPFFEA88CC,蘭雅段三小段,.00,都市：住,全筆移轉
RPRNMLLLPHPFFEA48CC,文林段四小段,.00,都市：商,全筆移轉
RPXOMLLLPHPFFEA56CC,蘭雅段二小段,.00,都市：住,全筆移轉
RPSOMLLLPHPFFEA68CC,立農段一小段,.00,都市：住,全筆移轉
RPTPMLLLPHPFFEA88CC,振興段二小段,21.92,都市：商,全筆移轉
RPTPMLLLPHPFFEA88CC,振興段二小段,11.90,都市：住,全筆移轉
RPPOMLLLPHPFFAA97CC,萬隆段二小段,.00,都市：住,全筆移轉
RPVNMLLLPHPFFAA48CC,南海段二小段,.00,都市：商,全筆移轉
RPQQMLLLPHPFFEA68CC,百齡段一小段,.00,都市：住,全筆移轉
RPQOMLLLPHPFFFA58CC,懷生段一小段,.00,都市：住,全筆移轉
RPSOMLLLPHPFFFA78CC,龍泉段二小段,.00,都市：其他,全筆移轉
