編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSPMLNJQHPFFAB48DA,坡道平面,0,33.49,地下三樓
RPSPMLTLPHPFFAB56DA,坡道機械,0,,地下三樓
RPQNMLSKQHPFFAB68DA,升降平面,0,,地下一樓
RPSNMLTJQHPFFAB88DA,升降機械,0,8.27,地下三樓
RPVNMLSKQHPFFAB56DA,坡道平面,0,,地下二樓
RPOOMLSKQHPFFAB58DA,坡道機械,0,,地下一樓
RPXSMLPKPHPFFBB96DA,坡道機械,0,,地下一樓
RPVPMLTKQHPFFAB86DA,坡道機械,0,,地下一樓
RPRPMLTKQHPFFAB09DA,坡道平面,0,,地下二樓
RPWNMLSLPHPFFBB76DA,坡道平面,0,,地下二樓
RPWNMLPJQHPFFBB98DA,坡道平面,0,24.47,地下三樓
RPSRNLLKQHPFFBB78DA,坡道平面,0,31.30,地下一樓
RPSUNLLKQHPFFBB09DA,坡道平面,0,31.42,地下二樓
RPOQMLMKQHPFFBB28DA,坡道平面,0,29.95,地下一樓
RPWPMLNKQHPFFBB09DA,坡道機械,0,6.48,地下二樓
RPXQMLNKQHPFFBB66DA,坡道平面,0,36.33,地下五樓含以下
RPPQMLNKQHPFFBB48DA,坡道平面,0,34.09,地下二樓
RPTQMLNKQHPFFBB88DA,坡道平面,0,30.58,地下一樓
RPTQMLRKQHPFFBB66DA,坡道機械,1000000,,
RPRNMLQKQHPFFBB68DA,升降機械,0,,地下三樓
RPPSMLRKQHPFFBB09DA,坡道平面,0,,地下一樓
RPPSMLRKQHPFFBB09DA,坡道平面,0,,地下一樓
RPOSMLRKQHPFFBB98DA,坡道平面,0,35.56,地下三樓
RPUOMLSKQHPFFBB66DA,坡道平面,0,26.87,地下三樓
RPXOMLSKQHPFFBB96DA,坡道機械,0,,地下二樓
RPXOMLTKQHPFFBB07DA,坡道平面,0,24.06,地下二樓
RPSQMLTKQHPFFBB76DA,坡道平面,0,24.82,地下三樓
RPTTMLMLPHPFFCB56DA,坡道平面,0,,地下二樓
RPTTMLMLPHPFFCB56DA,坡道平面,0,,地下二樓
RPPQMLNLPHPFFCB58DA,坡道平面,0,29.08,地下三樓
RPROMLOJQHPFFCB58DA,坡道平面,0,29.60,地下二樓
RPRUMLKKQHPFFCB88DA,坡道平面,0,,地下一樓
RPSRMLOKQHPFFCB09DA,坡道機械,0,,地下一樓
RPQSMLOKQHPFFCB98DA,升降機械,0,,地下二樓
RPVNMLSKQHPFFCB76DA,坡道平面,0,35.63,地下三樓
RPRQMLRKQHPFFCB56DA,坡道平面,0,28.90,地下二樓
RPQOMLSKQHPFFCB98DA,坡道機械,0,,地下一樓
RPPPMLSKQHPFFCB98DA,坡道平面,0,37.54,地下一樓
RPPPMLSKQHPFFCB98DA,坡道平面,0,37.54,地下四樓
RPPPMLSKQHPFFCB98DA,坡道平面,0,37.54,地下一樓
RPPPMLSKQHPFFCB98DA,坡道平面,0,37.54,地下四樓
RPOPMLRKQHPFFCB78DA,坡道平面,1000000,21.33,地下四樓
RPOPMLRKQHPFFCB78DA,坡道平面,1000000,17.96,地下四樓
RPPRMLSKQHPFFCB56DA,坡道機械,0,,地下三樓
RPTSMLOKQHPFFCB66DA,坡道平面,0,,地下一樓
RPWPMLTKQHPFFCB17DA,坡道平面,0,14.57,地下一樓
RPWPMLTKQHPFFCB17DA,坡道平面,0,14.57,地下一樓
RPRUMLTKQHPFFCB17DA,升降機械,0,,地下一樓
RPRUMLTKQHPFFCB17DA,升降機械,0,,地下一樓
RPSOMLTKQHPFFCB66DA,坡道機械,0,16.78,地下二樓
RPSOMLTKQHPFFCB66DA,坡道機械,0,16.78,地下二樓
RPWUMLTKQHPFFCB67DA,坡道平面,0,,地下二樓
RPWUMLTKQHPFFCB67DA,坡道平面,0,,地下二樓
RPXOMLNKQHPFFDB66DA,坡道機械,0,,地下一樓
RPQNMLRKQHPFFDB88DA,坡道機械,0,,地下一樓
RPTNMLSKQHPFFDB66DA,坡道機械,0,,地下一樓
RPQOMLSKQHPFFHB86DA,升降機械,0,,地下一樓
RPXNMLTKQHPFFIB67DA,坡道平面,0,30.05,地下二樓
RPUNMLMKQHPFFJB76DA,坡道平面,0,,地下一樓
RPSNMLSKQHPFFJB17DA,坡道機械,0,19.26,地下三樓
RPSNMLSKQHPFFJB17DA,坡道機械,0,19.26,地下三樓
RPTOMLMKQHPFFJB76DA,坡道機械,0,,地下二樓
RPPOMLMKQHPFFJB98DA,坡道機械,0,17.03,地下二樓
RPPOMLMKQHPFFJB98DA,坡道平面,0,34.06,地下一樓
RPXNMLSKQHPFFKB77DA,升降機械,480000,18.19,地下一樓
RPOPMLSKQHPFFBB88EA,坡道平面,0,,地下二樓
RPQQMLTKQHPFFBB66EA,坡道平面,1200000,33.24,地下一樓
RPRRMLSKQHPFFCB86EA,坡道平面,0,41.65,地下一樓
RPRRMLSKQHPFFCB86EA,坡道平面,0,41.65,地下四樓
RPSSMLSKQHPFFCB07EA,坡道平面,0,,地下五樓含以下
RPUSMLTKQHPFFCB37EA,坡道平面,1500000,,地下二樓
RPPOMLTKQHPFFDB56EA,坡道機械,0,12.33,地下二樓
RPWSMLTKQHPFFCB57EA,坡道機械,900000,,地下一樓
RPXPMLSKQHPFFCB27EA,坡道平面,0,,地下一樓
RPRNMLKLQHPFFJB09EA,坡道平面,1200000,34.60,地下二樓
RPRNMLKLQHPFFJB09EA,坡道平面,1200000,34.60,地下二樓
RPSNMLKLQHPFFJB56EA,坡道平面,1050000,34.60,地下三樓
RPRNMLTKQHPFFJB27EA,坡道平面,0,,地下一樓
RPVNMLKLQHPFFJB86EA,坡道平面,1100000,34.60,地下三樓
RPTNMLKLQHPFFJB66EA,坡道平面,1100000,34.60,地下三樓
RPUNMLKLQHPFFJB76EA,坡道平面,1200000,34.60,地下二樓
RPUNMLKLQHPFFJB76EA,坡道平面,1200000,34.60,地下二樓
RPWNMLKLQHPFFHB66DA,坡道機械,0,17.11,地下二樓
RPTOMLSKQHPFFHB17DA,坡道機械,0,,地下三樓
RPXUMLTKQHPFFCB77DA,坡道平面,0,,地下一樓
RPXUMLTKQHPFFCB77DA,坡道平面,0,,地下一樓
RPXQMLTKQHPFFCB37DA,坡道平面,0,31.62,地下一樓
RPXQMLTKQHPFFCB37DA,坡道機械,0,15.81,地下三樓
RPXQMLTKQHPFFCB37DA,坡道機械,0,15.81,地下三樓
RPTQMLTKQHPFFCB96DA,坡道平面,0,,地下一樓
RPOOMLTKQHPFFCB88DA,坡道平面,0,,地下四樓
RPRTMLSKQHPFFCB96DA,坡道平面,2400000,44.96,地下二樓
RPRSMLSKQHPFFCB86DA,坡道平面,0,23.51,地下二樓
RPUTMLTKQHPFFCB37DA,坡道平面,0,31.49,地下二樓
RPUTMLTKQHPFFCB37DA,坡道平面,0,31.49,地下二樓
RPOQMLKLQHPFFCB28DA,坡道平面,0,,地下一樓
RPQPMLSKQHPFFCB09DA,坡道平面,0,31.49,地下二樓
RPOQMLSKQHPFFCB98DA,坡道平面,0,,地下二樓
RPUPMLLLQHPFFCB88DA,坡道平面,0,34.41,地下三樓
RPUPMLLLQHPFFCB88DA,坡道平面,0,34.41,地下三樓
RPTNMLNKQHPFFCB68DA,坡道平面,0,24.79,地下三樓
RPTNMLNKQHPFFCB68DA,坡道平面,0,24.79,地下三樓
RPUONLRJQHPFFCB66DA,坡道平面,0,,地下一樓
RPTVMLQJQHPFFCB07DA,坡道平面,0,,地下二樓
RPSOMLKLQHPFFBB38DA,坡道平面,0,,地下二樓
RPSOMLKLQHPFFBB38DA,坡道平面,0,,地下二樓
RPVSMLTKQHPFFBB27DA,坡道平面,1400000,36.94,地下一樓
RPWSMLTKQHPFFBB37DA,坡道平面,1400000,36.94,地下一樓
RPXSMLTKQHPFFBB47DA,坡道平面,1200000,36.94,地下三樓
