編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSRMLLLPHPFFBB68CB,坡道平面,1400000,29.43,
RPRQMLLLPHPFFBB48CB,坡道平面,1500000,29.43,
RPXPMLLLPHPFFBB98CB,坡道平面,1350000,29.43,
RPTSMLLLPHPFFBB88CB,坡道平面,1350000,29.43,
RPWRMLLLPHPFFBB09CB,坡道平面,1300000,29.43,
RPQTMLLLPHPFFBB68CB,坡道平面,1350000,29.43,
RPPSMLLLPHPFFBB48CB,坡道平面,1350000,29.43,
RPOTMLLLPHPFFBB48CB,坡道平面,1400000,29.43,
RPTRMLLLPHPFFBB78CB,坡道平面,1400000,29.43,
RPVSMLLLPHPFFBB09CB,坡道平面,1400000,29.43,
RPWTMLLLPHPFFBB66CB,坡道平面,1350000,29.43,
RPUTMLLLPHPFFBB09CB,坡道平面,1350000,29.43,
RPQUMLLLPHPFFBB78CB,坡道平面,1350000,29.43,
RPPOMLMLPHPFFBB18CB,坡道平面,1400000,29.43,
RPROMLMLPHPFFBB38CB,坡道平面,1500000,29.43,
RPWOMLMLPHPFFBB88CB,坡道平面,1400000,29.43,
RPSOMLMLPHPFFBB48CB,坡道平面,1350000,29.43,
RPPPMLMLPHPFFBB28CB,坡道平面,1400000,29.43,
RPWPMLMLPHPFFBB98CB,坡道平面,1450000,29.43,
RPUPMLMLPHPFFBB78CB,坡道平面,1500000,29.43,
RPRQMLMLPHPFFBB58CB,坡道平面,1500000,29.43,
RPPRMLMLPHPFFBB48CB,坡道平面,1450000,29.43,
RPRRMLMLPHPFFBB68CB,坡道平面,1350000,29.43,
RPRPMLMLPHPFFBB48CB,坡道平面,1450000,29.43,
RPTRMLMLPHPFFBB88CB,坡道平面,1450000,29.43,
RPTRMLMLPHPFFBB88CB,坡道平面,1450000,29.43,
RPSQMLMLPHPFFBB68CB,坡道平面,1400000,29.43,
RPOSMLMLPHPFFBB48CB,坡道平面,1300000,29.43,
RPQSMLMLPHPFFBB68CB,坡道平面,1350000,29.43,
RPTSMLMLPHPFFBB98CB,坡道平面,1350000,29.43,
RPWSMLMLPHPFFBB66CB,坡道平面,1450000,29.43,
RPUTMLMLPHPFFBB56CB,坡道平面,1400000,29.43,
RPVTMLMLPHPFFBB66CB,坡道平面,1350000,29.43,
RPOUMLMLPHPFFBB68CB,坡道平面,1300000,29.43,
RPQUMLMLPHPFFBB88CB,坡道平面,1300000,29.43,
RPXUMLMLPHPFFBB96CB,坡道平面,1350000,29.43,
RPUSMLMLPHPFFBB09CB,坡道平面,1350000,29.43,
RPUUMLMLPHPFFBB66CB,坡道平面,1300000,29.43,
RPPVMLMLPHPFFBB88CB,坡道平面,1350000,29.43,
RPWTMLMLPHPFFBB76CB,坡道平面,1350000,29.43,
RPRVMLMLPHPFFBB09CB,坡道平面,1450000,29.43,
RPOWMLMLPHPFFBB88CB,坡道平面,1400000,29.43,
RPOWMLMLPHPFFBB88CB,坡道平面,1350000,29.43,
RPTVMLMLPHPFFBB66CB,坡道平面,1450000,29.43,
RPTVMLMLPHPFFBB66CB,坡道平面,1400000,29.43,
RPUWMLMLPHPFFBB86CB,坡道平面,1400000,29.43,
RPUWMLMLPHPFFBB86CB,坡道平面,1400000,29.43,
RPWWMLMLPHPFFBB07CB,坡道平面,1400000,29.43,
RPWWMLMLPHPFFBB07CB,坡道平面,1400000,29.43,
RPXWMLMLPHPFFBB17CB,坡道平面,1350000,29.43,
RPSNNLMLPHPFFBB48CB,坡道平面,1400000,29.43,
RPQNNLMLPHPFFBB28CB,坡道平面,1300000,29.43,
RPQNNLMLPHPFFBB28CB,坡道平面,1300000,29.43,
RPPNNLMLPHPFFBB18CB,坡道平面,1350000,29.43,
RPPNNLMLPHPFFBB18CB,坡道平面,1300000,29.43,
RPVNNLMLPHPFFBB78CB,坡道平面,1350000,29.43,
RPVNNLMLPHPFFBB78CB,坡道平面,1350000,29.43,
RPWNNLMLPHPFFBB88CB,坡道平面,1350000,29.43,
RPXNNLMLPHPFFBB98CB,坡道平面,1300000,29.43,
RPPONLMLPHPFFBB28CB,坡道平面,1300000,29.43,
RPPONLMLPHPFFBB28CB,坡道平面,1300000,29.43,
RPQONLMLPHPFFBB38CB,坡道平面,1300000,29.43,
RPQONLMLPHPFFBB38CB,坡道平面,1300000,29.43,
RPSONLMLPHPFFBB58CB,坡道平面,1500000,29.43,
RPSONLMLPHPFFBB58CB,坡道平面,1500000,29.43,
RPVONLMLPHPFFBB88CB,坡道平面,1450000,29.43,
RPTONLMLPHPFFBB68CB,坡道平面,1350000,29.43,
RPUONLMLPHPFFBB78CB,坡道平面,1350000,29.43,
RPQPNLMLPHPFFBB48CB,坡道平面,1300000,29.43,
RPXONLMLPHPFFBB09CB,坡道平面,1300000,29.43,
RPXONLMLPHPFFBB09CB,坡道平面,1300000,29.43,
RPPPNLMLPHPFFBB38CB,坡道平面,1300000,29.43,
RPRPNLMLPHPFFBB58CB,坡道平面,1350000,29.43,
RPRPNLMLPHPFFBB58CB,坡道平面,1350000,29.43,
RPSPNLMLPHPFFBB68CB,坡道平面,1350000,29.43,
RPOPNLMLPHPFFBB28CB,坡道平面,1300000,29.43,
RPVPNLMLPHPFFBB98CB,坡道平面,1350000,29.43,
RPUPNLMLPHPFFBB88CB,坡道平面,1250000,29.43,
RPUPNLMLPHPFFBB88CB,坡道平面,1300000,29.43,
RPPQNLMLPHPFFBB48CB,坡道平面,1350000,29.43,
