鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北區,建物,臺中市北區永定一街1~30號,0.0,,,,1090713,土地0建物1車位0,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821122,85.06,3,2,2,有,無,有,17500,206,,0.0,0,,RPQOMLLLPHPFFBB28CC
北區,建物,臺中市北區漢口路四段1~30號,0.0,,,,1090703,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810622,30.59,2,1,1,有,無,有,13800,451,,0.0,0,,RPUOMLLLPHPFFBB68CC
北屯區,房地(土地+建物),臺中市北屯區旅順路二段391~420號,16.26,住,,,1090720,土地1建物1車位0,一層,5,店面(店鋪),商業用,鋼筋混凝土造,0790220,109.1,0,0,0,無,無,有,50000,458,,0.0,0,,RPVPMLLLPHPFFBB88CC
北區,建物,臺中市北區精武路511~540號,0.0,,,,1090715,土地0建物0車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0910429,35.44,1,0,1,有,無,有,9000,254,,0.0,0,,RPVTMLLLPHPFFBB66CC
西屯區,建物,臺中市西屯區烈美街91~120號,0.0,住,,,1090717,土地0建物0車位0,四層,5,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1081007,12.97,1,0,1,有,有,有,12500,964,,0.0,0,,RPVPMLLLPHPFFCB98CC
西屯區,建物,臺中市西屯區市政北一路241~270號,0.0,其他,,,1090702,土地0建物1車位1,二十六層,28,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951113,144.76999999999998,3,2,2,有,有,有,26540,183,坡道平面,34.86,0,,RPTWMLLLPHPFFCB86CC
西屯區,建物,臺中市西屯區國安一路91~120號,0.0,住,,,1090702,土地0建物1車位1,二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971127,73.28999999999999,1,2,1,有,有,有,16000,218,坡道機械,13.92,0,,RPVWMLLLPHPFFCB07CC
南屯區,建物,臺中市南屯區永春東一路571~600號,0.0,住,,,1090702,土地0建物1車位2,十三層,23,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050727,319.01,4,2,3,有,有,有,45540,143,坡道平面,76.74,0,,RPONNLLLPHPFFCB18CC
大里區,建物,臺中市大里區科技路1~30號,0.0,,,,1090708,土地0建物1車位0,二層,13,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1051230,141.0,1,1,1,有,無,有,13500,96,,0.0,0,,RPSNMLLLPHPFFIB09CC
