編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVPMLLLPHPFFBB88CC,30,109.10,商業用,鋼筋混凝土造,79年2月20日,五層,
RPQOMLLLPHPFFBB28CC,27,85.06,住家用,鋼筋混凝土造,82年11月22日,十一層,
RPVTMLLLPHPFFBB66CC,18,35.44,見其他登記事項,鋼筋混凝土造,91年4月29日,四層,
RPSNMLLLPHPFFIB09CC,4,64.10,見其他登記事項,見其他登記事項,105年12月30日,13,
RPSNMLLLPHPFFIB09CC,4,27.10,見其他登記事項,見其他登記事項,105年12月30日,13,
RPSNMLLLPHPFFIB09CC,4,11.10,見其他登記事項,見其他登記事項,105年12月30日,13,
RPSNMLLLPHPFFIB09CC,4,38.70,見其他登記事項,見其他登記事項,105年12月30日,13,
RPONNLLLPHPFFCB18CC,4,165.53,見其他登記事項,鋼筋混凝土造,105年7月27日,二十三層,
RPONNLLLPHPFFCB18CC,4,153.48,見其他登記事項,鋼筋混凝土造,105年7月27日,二十三層,
RPVWMLLLPHPFFCB07CC,12,41.43,住家用,鋼筋混凝土造,97年11月27日,二十二層,
RPVWMLLLPHPFFCB07CC,12,31.86,見其他登記事項,鋼筋混凝土造,97年11月27日,二十二層,
RPVPMLLLPHPFFCB98CC,1,12.97,見其他登記事項,鋼筋混凝土造,108年10月7日,五層,
RPTWMLLLPHPFFCB86CC,14,77.99,住家用,鋼筋混凝土造,95年11月13日,二十八層,
RPTWMLLLPHPFFCB86CC,14,66.78,見其他登記事項,鋼筋混凝土造,95年11月13日,二十八層,
RPUOMLLLPHPFFBB68CC,28,30.59,住家用,鋼筋混凝土造,81年6月22日,七層,
RPSNMLLLPHPFFKB66CC,8,22.60,見其他登記事項,鋼筋混凝土造,101年1月16日,五層,
RPSNNLLLPHPFFCB78EC,3,173.84,見其他登記事項,鋼筋混凝土造,106年3月6日,十一層,
RPSNNLLLPHPFFCB78EC,3,43.12,見其他登記事項,鋼筋混凝土造,106年3月6日,十一層,
RPVQMLMLPHPFFCB66DC,26,412.93,見其他登記事項,鋼筋混凝土造,83年10月20日,四層,
RPTNNLLLPHPFFCB88EC,2,44.87,見其他登記事項,鋼筋混凝土造,107年3月1日,七層,
RPSSMLMLPHPFFCB09CC,23,54.21,住家用,鋼筋混凝土造,86年9月22日,十二層,
RPSSMLMLPHPFFCB09CC,23,20.09,共有部分,鋼筋混凝土造,86年9月22日,十二層,
RPUNMLMLPHPFFHB76DC,26,131.90,住家用,鋼筋混凝土造,83年6月10日,八層,
RPUNMLMLPHPFFHB76DC,26,20.69,共有部份,鋼筋混凝土造,83年6月10日,十六層,
RPVONLMLPHPFFCB09CC,1,8.45,見其他登記事項,鋼筋混凝土造,108年10月7日,五層,
RPPSMLMLPHPFFCB78CC,26,119.85,住家用,鋼筋混凝土造,83年7月7日,十三層,
RPPSMLMLPHPFFCB78CC,26,5.38,共有部分,鋼筋混凝土造,83年7月7日,十三層,
RPPSMLMLPHPFFCB78CC,26,16.99,共有部分,鋼筋混凝土造,83年7月7日,十三層,
RPWPMLMLPHPFFAB98CC,39,41.72,住家用,鋼筋混凝土造,70年11月11日,五層,
RPVNMLNLPHPFFDB09CC,50,71.82,住家用,加強磚造,59年11月1日,二層,
RPRVMLNLPHPFFBB66CC,12,232.40,見其他登記事項,鋼筋混凝土造,97年11月28日,十七層,
RPUPMLOLPHPFFFB86CC,1,3318.89,見其他登記事項,見其他登記事項,108年3月6日,一層,
RPVPMLOLPHPFFFB96CC,3,101.74,見其他登記事項,鋼筋混凝土造,106年9月5日,十五層,
RPVPMLOLPHPFFFB96CC,3,13.67,見其他登記事項,鋼筋混凝土造,106年9月5日,十五層,
RPVPMLOLPHPFFFB96CC,3,1.36,見其他登記事項,鋼筋混凝土造,106年9月5日,十五層,
RPVPMLOLPHPFFFB96CC,3,29.54,見其他登記事項,鋼筋混凝土造,106年9月5日,十五層,
RPVOMLOLPHPFFIB17CC,6,87.04,見其他登記事項,鋼筋混凝土造,103年5月19日,十二層,
RPVOMLOLPHPFFIB17CC,6,69.20,見其他登記事項,鋼筋混凝土造,103年5月19日,十二層,
RPOQMLOLPHPFFIB66CC,5,84.72,見其他登記事項,鋼筋混凝土造,104年8月10日,九層,
RPOQMLOLPHPFFIB66CC,5,60.20,見其他登記事項,鋼筋混凝土造,104年8月10日,九層,
RPXNNLOLPHPFFBB66CC,15,31.88,共有部份,鋼筋混凝土造,94年12月8日,十八層,
RPOTMLOLPHPFFBB88CC,50,119.66,住家用,鋼筋混凝土加強磚造,59年12月2日,二層,
RPOTMLOLPHPFFBB88CC,50,116.88,住家用,鋼筋混凝土加強磚造,59年12月2日,二層,
RPUTMLOLPHPFFBB86CC,21,151.09,見其他登記事項,鋼筋混凝土造,88年6月16日,三層,
RPUTMLOLPHPFFBB86CC,21,36.48,共有部份,鋼筋混凝土造,88年6月16日,四層,
RPUTMLOLPHPFFBB86CC,21,1.64,共有部份,鋼筋混凝土造,88年6月16日,三層,
RPUUMLOLPHPFFBB96CC,20,60.60,住家用,鋼筋混凝土造,89年2月18日,十四層,
RPUUMLOLPHPFFBB96CC,20,21.64,共有部份,鋼筋混凝土造,89年2月18日,十四層,
RPUNNLOLPHPFFBB98CC,7,67.28,住家用,鋼筋混凝土造,102年7月25日,二十二層,
RPUNNLOLPHPFFBB98CC,7,18.08,見其他登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPUNNLOLPHPFFBB98CC,7,28.03,見其他登記事項,鋼筋混凝土造,102年7月25日,二十二層,
RPWNNLOLPHPFFBB56CC,15,47.39,住家用,鋼筋混凝土造,94年12月8日,十八層,
RPWNNLOLPHPFFBB56CC,15,19.00,共有部份,鋼筋混凝土造,94年12月8日,十八層,
RPXPMLOLPHPFFAB66CC,22,96.55,住家用,鋼筋混凝土造,87年5月7日,十四層,
RPQOMLOLPHPFFAB48CC,29,61.91,住家用,鋼筋混凝土造,80年11月11日,五層,
RPQOMLOLPHPFFAB48CC,29,5.96,住家用,鋼筋混凝土造,80年11月11日,五層,
RPQOMLOLPHPFFAB48CC,29,10.83,共有部份,鋼筋混凝土造,80年11月11日,五層,
RPPPMLOLPHPFFCB68CC,10,247.73,住家用,鋼筋混凝土造,99年10月21日,二十六層,
RPPPMLOLPHPFFCB68CC,10,13.37,見其他登記事項,鋼筋混凝土造,99年10月21日,二十八層,
RPPPMLOLPHPFFCB68CC,10,56.45,見其他登記事項,鋼筋混凝土造,99年10月21日,二十八層,
