編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPVPMLLLPHPFFBB88CC,東山段,16.26,都市：住,全筆移轉
RPQOMLLLPHPFFBB28CC,東義段,.00,非都市： ; 非都市編定：,全筆移轉
RPVTMLLLPHPFFBB66CC,文正段,.00,非都市： ; 非都市編定：,全筆移轉
RPSNMLLLPHPFFIB09CC,東湖段,.00,非都市： ; 非都市編定：,全筆移轉
RPONNLLLPHPFFCB18CC,豐業段,.00,都市：住,全筆移轉
RPVWMLLLPHPFFCB07CC,國安段,.00,都市：住,全筆移轉
RPVPMLLLPHPFFCB98CC,西屯段,.00,都市：住,全筆移轉
RPTWMLLLPHPFFCB86CC,惠民段,.00,都市：其他,全筆移轉
RPUOMLLLPHPFFBB68CC,賴厝段,.00,非都市： ; 非都市編定：,全筆移轉
RPSNMLLLPHPFFKB66CC,東園段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,全筆移轉
RPSNNLLLPHPFFCB78EC,寶文段,48.94,都市：住,全筆移轉
RPVQMLMLPHPFFCB66DC,豐業段,26.81,都市：住,全筆移轉
RPVQMLMLPHPFFCB66DC,豐業段,183.34,都市：住,全筆移轉
RPTNNLLLPHPFFCB88EC,寶文段,12.35,都市：住,全筆移轉
RPSSMLMLPHPFFCB09CC,田心段,.00,都市：住,全筆移轉
RPSSMLMLPHPFFCB09CC,田心段,.00,都市：住,全筆移轉
RPUNMLMLPHPFFHB76DC,興華段,24.19,都市：住,全筆移轉
RPVONLMLPHPFFCB09CC,西屯段,.00,都市：住,全筆移轉
RPPSMLMLPHPFFCB78CC,大墩段,.00,都市：住,全筆移轉
RPWPMLMLPHPFFAB98CC,麻園頭段,.00,都市：其他,全筆移轉
RPVNMLNLPHPFFDB09CC,五汴段,50.07,都市：住,全筆移轉
RPRVMLNLPHPFFBB66CC,賴厝82bb段,19.91,都市：商,全筆移轉
RPUPMLOLPHPFFFB86CC,民權段,4790.00,都市：工,全筆移轉
RPVPMLOLPHPFFFB96CC,市鎮北段,19.12,都市：商,全筆移轉
RPVOMLOLPHPFFIB17CC,新榮泉段,.00,都市：住,全筆移轉
RPOQMLOLPHPFFIB66CC,新甲段,.00,都市：住,全筆移轉
RPXNNLOLPHPFFBB66CC,賴厝段,.29,都市：商,全筆移轉
RPXNNLOLPHPFFBB66CC,邱厝子段,.23,都市：商,全筆移轉
RPOTMLOLPHPFFBB88CC,邱厝子段,.00,非都市： ; 非都市編定：,全筆移轉
RPOTMLOLPHPFFBB88CC,邱厝子段,.00,非都市： ; 非都市編定：,全筆移轉
RPUTMLOLPHPFFBB86CC,同榮段,.00,都市：農,全筆移轉
RPUTMLOLPHPFFBB86CC,同榮段,.00,都市：農,全筆移轉
RPUTMLOLPHPFFBB86CC,同榮段,.00,都市：其他,全筆移轉
