編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPONNLLLPHPFFCB18CC,坡道平面,0,38.37,
RPONNLLLPHPFFCB18CC,坡道平面,0,38.37,
RPVWMLLLPHPFFCB07CC,坡道機械,0,13.92,
RPTWMLLLPHPFFCB86CC,坡道平面,0,34.86,
RPSNNLLLPHPFFCB78EC,坡道平面,0,24.85,
RPSNNLLLPHPFFCB78EC,坡道平面,0,24.85,
RPPSMLMLPHPFFCB78CC,坡道平面,0,,
RPVOMLOLPHPFFIB17CC,坡道平面,0,31.39,
RPXNNLOLPHPFFBB66CC,坡道平面,0,,
RPPPMLOLPHPFFCB68CC,坡道平面,0,,
RPPPMLOLPHPFFCB68CC,坡道機械,0,,
RPPPMLOLPHPFFCB68CC,坡道機械,0,,
RPUTMLOLPHPFFCB96CC,坡道平面,0,,
RPSSMLRLPHPFFCB96CC,坡道平面,2500,15.00,
RPTOMLSLPHPFFCB76CC,坡道機械,0,,
RPTNMLSLPHPFFAB09CC,坡道平面,3000,15.35,
RPTNNLTLPHPFFBB76CC,坡道機械,1000,8.99,
RPRQNLTLPHPFFBB86CC,坡道平面,0,25.81,
RPPPMLTLPHPFFCB56CC,坡道機械,0,,
RPUNNLTLPHPFFBB86CC,坡道平面,500,33.07,
RPTOMLTLPHPFFDB96CC,坡道機械,500,12.33,
RPVOMLKMPHPFFCB09EC,坡道平面,0,26.89,
RPXOMLKMPHPFFIB07CC,坡道平面,0,21.77,
RPORMLLMPHPFFBB48CC,坡道平面,0,,
RPPPMLLMPHPFFDB58CC,坡道機械,500,12.33,
