編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPOMLKKPHPFFCC08DA,坡道平面,0,,
RPOOMLKMPHPFFCC18DA,坡道機械,0,17.92,
RPSNMLRKQHPFFCC56EA,升降機械,0,,
RPXOMLSKQHPFFCC27EA,坡道平面,0,,
RPXOMLSKQHPFFCC27EA,坡道平面,0,,
RPPNMLTKQHPFFCC09EA,坡道平面,0,,
RPVNMLTKQHPFFCC07EA,坡道平面,0,,
RPQNMLSKQHPFFCC09EA,坡道平面,0,23.92,
RPTNMLTKQHPFFCC86EA,其他,0,,
RPTNMLTKQHPFFCC86EA,其他,0,,
RPPNMLMKQHPFFCC28DA,坡道平面,0,,
RPOOMLKKQHPFFBC97DA,坡道平面,900000,49.62,
RPWNMLKLQHPFFBC78DA,坡道平面,0,,
RPWNMLSKQHPFFBC86DA,坡道平面,0,,
RPSOMLTKQHPFFBC66DA,坡道平面,800000,45.94,
RPVNMLKLQHPFFCC78DA,坡道平面,1800000,34.67,
RPUNMLKLQHPFFCC68DA,坡道平面,1700000,34.67,
RPWNMLKLQHPFFCC88DA,坡道平面,1700000,34.67,
RPQOMLKLQHPFFCC38DA,坡道平面,0,,
RPRNMLSKQHPFFCC56EA,坡道機械,0,15.16,
RPPPMLMKQHPFFBC48EA,坡道平面,0,34.17,
RPTNMLSKQHPFFCC76EA,其他,1200000,,
RPPNMLOLQHPFFCC68EA,坡道平面,0,28.94,
RPVNMLSLPHPFFCC96EA,坡道平面,0,38.45,
RPQNMLNLQHPFFBC48DA,坡道平面,0,,
RPOOMLLLQHPFFCC28DA,坡道平面,0,30.05,
RPXNMLLLQHPFFCC09DA,坡道平面,0,28.62,
RPTOMLOLQHPFFCC09DA,坡道平面,0,,
RPUOMLOLQHPFFCC56DA,坡道平面,0,,
RPPNMLPLQHPFFCC78EA,坡道平面,1000000,38.61,
RPQNMLPLQHPFFCC88EA,坡道平面,1000000,38.61,
RPUOMLSKQHPFFCC86DA,坡道平面,1300000,32.86,
RPTNMLNLQHPFFBC78DA,升降機械,0,23.14,
RPROMLOLQHPFFBC78DA,坡道平面,1050000,35.96,
RPTOMLOLQHPFFBC98DA,坡道平面,1150000,31.21,
RPUOMLOLQHPFFBC09DA,坡道平面,1050000,35.96,
RPXNMLKLQHPFFCC98DA,坡道平面,0,27.04,
RPQOMLOLQHPFFBC68DA,坡道平面,1200000,35.96,
RPSOMLOLQHPFFBC88DA,坡道平面,1200000,35.96,
RPSNMLQLQHPFFCC56EA,升降機械,850000,18.60,
RPVNMLQLQHPFFBC66DA,坡道平面,0,,
RPUOMLRLQHPFFBC76DA,坡道平面,0,,
RPTOMLQLQHPFFCC66DA,坡道平面,0,,
