編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTQMLMLPHPFFCC09CC,39,90.30,住家用,鋼筋混凝土造,70年6月17日,五層,
RPVPMLMLPHPFFCC56CC,30,93.65,住家用,鋼筋混凝土造,79年9月15日,五層,
RPVPMLMLPHPFFCC56CC,30,6.96,共用部份,鋼筋混凝土造,79年9月15日,五層,
RPWOMLLLPHPFFBC98CC,37,88.15,住家用,鋼筋混凝土造,72年10月8日,五層,
RPOQMLMLPHPFFCC58CC,36,82.44,住家用,鋼筋混凝土造,73年1月12日,四層,
RPPPMLMLPHPFFCC58CC,24,59.46,住家用,鋼筋混凝土造,85年2月16日,七層,
RPPPMLMLPHPFFCC58CC,24,48.59,共用部份,鋼筋混凝土造,85年2月16日,七層,
RPOOMLMLPHPFFBC28CC,21,32.49,住家用,鋼筋混凝土造,88年1月22日,七層,
RPOOMLMLPHPFFBC28CC,21,5.76,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPOOMLMLPHPFFBC28CC,21,3.99,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPOOMLMLPHPFFBC28CC,21,.80,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPOOMLMLPHPFFBC28CC,21,.88,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPPOMLMLPHPFFBC38CC,21,57.92,住家用,鋼筋混凝土造,88年1月14日,十六層,
RPSQMLMLPHPFFCC98CC,27,79.53,住家用,鋼筋混凝土造,82年9月10日,五層,
RPPOMLMLPHPFFBC38CC,21,7.88,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPSQMLMLPHPFFCC98CC,27,4.00,共用部份,鋼筋混凝土造,82年9月10日,五層,
RPPOMLMLPHPFFBC38CC,21,.70,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPOPMLLLPHPFFBC28CC,41,70.04,住家用,鋼筋混凝土造,68年4月25日,五層,
RPPOMLMLPHPFFBC38CC,21,2.10,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPPOMLMLPHPFFBC38CC,21,41.38,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPPOMLMLPHPFFBC38CC,21,1.41,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPPOMLMLPHPFFBC38CC,21,.69,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPXPMLMLPHPFFBC66CC,22,107.02,住家用,鋼筋混凝土造,87年8月31日,五層,
RPQOMLMLPHPFFBC48CC,36,95.99,住家用,鋼筋混凝土造,73年3月20日,五層,
RPXPMLMLPHPFFBC66CC,22,16.70,共用部份,鋼筋混凝土造,87年8月31日,五層,
RPVOMLLLPHPFFCC98CC,2,125.39,見其他登記事項,鋼筋混凝土造,107年10月9日,七層,
RPRQMLMLPHPFFCC88CC,37,88.70,住家用,鋼筋混凝土造,72年7月19日,五層,
RPPQMLMLPHPFFBC58CC,39,82.20,住家用,鋼筋混凝土造,70年7月1日,五層,
RPRQMLMLPHPFFBC78CC,30,37.70,住家用,鋼筋混凝土造,79年11月24日,五層,
RPQQMLMLPHPFFBC68CC,21,57.92,住家用,鋼筋混凝土造,88年1月14日,十六層,
RPQQMLMLPHPFFBC68CC,21,8.42,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPQQMLMLPHPFFBC68CC,21,2.33,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPQQMLMLPHPFFBC68CC,21,1.41,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPQQMLMLPHPFFBC68CC,21,.69,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPVQMLMLPHPFFBC56CC,27,93.64,住家用,鋼筋混凝土造,82年12月2日,五層,
RPVQMLMLPHPFFBC56CC,27,2.40,共用部份,鋼筋混凝土造,82年12月2日,五層,
RPXQMLMLPHPFFBC76CC,22,83.66,住家用,鋼筋混凝土造,87年5月21日,五層,
RPXQMLMLPHPFFBC76CC,22,9.05,共用部份,鋼筋混凝土造,87年5月21日,五層,
RPORMLMLPHPFFBC58CC,46,56.92,住家用,鋼筋混凝土加強磚造,64年1月9日,四層,
RPWQMLMLPHPFFBC66CC,22,83.57,住家用,鋼筋混凝土造,87年5月21日,五層,
RPWQMLMLPHPFFBC66CC,22,9.05,共用部份,鋼筋混凝土造,87年5月21日,五層,
RPTQMLMLPHPFFBC98CC,21,79.53,住家用,鋼筋混凝土造,88年1月22日,七層,
RPTQMLMLPHPFFBC98CC,21,14.47,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPTQMLMLPHPFFBC98CC,21,5.32,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPTQMLMLPHPFFBC98CC,21,31.60,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPTQMLMLPHPFFBC98CC,21,2.11,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPXNMLOLPHPFFBC76DC,37,119.32,商業用,鋼筋混凝土造,72年7月29日,五層,
RPVNMLOLPHPFFBC09CC,24,32.11,住家用,鋼筋混凝土造,85年4月26日,十六層,
RPVNMLOLPHPFFBC09CC,24,6.02,共用部份,鋼筋混凝土造,85年4月26日,十六層,
RPVNMLOLPHPFFBC09CC,24,3.75,共用部份,鋼筋混凝土造,85年4月26日,十六層,
RPPRMLMLPHPFFBC68CC,48,72.31,住家用,鋼筋混凝土加強磚造,61年5月9日,四層,
RPSOMLTLPHPFFBC76CC,3,55.06,見其他登記事項,鋼筋混凝土造,106年11月9日,十層,
RPSOMLTLPHPFFBC76CC,3,27.78,見其他登記事項,鋼筋混凝土造,106年11月9日,十層,
RPQOMLKMPHPFFBC38CC,39,37.55,商業用,鋼筋混凝土造,70年7月18日,六層,
